fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	comments	electronic editor	electronic encoder	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument
op01n01a	1: 4/4	1: -1	14	14	56	14	14	56		224	280	110	0	0	64	F	2.3.0	Lars Opfermann, Ya-Chuan Wu (2.1.1), Hanné Becker (2.3.0)	HB, JH	1681	1681	Arcangelo Corelli	Sonata da chiesa	1	Grave	op. 1, no. 1					2018-10-12	3.02	Microsoft Windows			Sonata da chiesa op. 1, no. 1	1. Grave	Arcangelo Corelli	3.6.2	1.1.2	MS3	MS3/op01n01a.mscx	False	36-84 (C2-C6)		W.B. Hewlett	Frances Bennion & Steven Rasmussen	xml	74-84 (D5-C6)	StringInstrument	67-81 (G4-A5)	StringInstrument	36-60 (C2-C4)	StringInstrument	36-60 (C2-C4)	Keyboard
op01n01b	1: 4/4	1: -1	38	38	152	38	38	152		559.75	721	441	0	0	141	F	2.3.0	Lars Opfermann , Ya-Chuan Wu (2.1.1), Hanné Becker (2.3.0)	HB, JH	1681	1681	Arcangelo Corelli	Sonata da chiesa	2	Allegro	op. 1, no. 1					2018-10-12	3.02	Microsoft Windows			Sonata da chiesa op. 1, no. 1	2. Allegro	Arcangelo Corelli	3.6.2	1.1.2	MS3	MS3/op01n01b.mscx	False	38-86 (D2-D6)		W.B. Hewlett	Frances Bennion & Steven Rasmussen	xml	60-82 (C4-Bb5)	StringInstrument	62-86 (D4-D6)	StringInstrument	41-65 (F2-F4)	StringInstrument	38-62 (D2-D4)	Keyboard
op01n01c	1: 3/4	1: -1	37	37	111	37	37	111		430	304	113	0	0	97	F	2.3.0	Lars Opfermann and Ya-Chuan Wu (2.1.1), Hanné Becker (2.3.0)	AN, HB	1681	1681	Arcangelo Corelli	Sonata da chiesa	3	Adagio	op. 1, no. 1					2018-10-12	3.02	Microsoft Windows			Sonata da chiesa op. 1, no. 1	3. Adagio	Arcangelo Corelli	3.6.2	1.1.2	MS3	MS3/op01n01c.mscx	False	36-86 (C2-D6)		W.B. Hewlett	Frances Bennion & Steven Rasmussen	xml	64-86 (E4-D6)	StringInstrument	62-84 (D4-C6)	StringInstrument	36-60 (C2-C4)	StringInstrument	36-60 (C2-C4)	Keyboard
op01n01d	1: 3/4	1: -1	98	98	294	196	196	588		963	878	391	0	0	147	F	2.3.0	Lars Opfermann, Ya-Chuan Wu (2.1.1), Hanné Becker (2.3.0)	HB, AN, JH	1681	1681	Arcangelo Corelli	Sonata da chiesa	4	Allegro	op. 1, no. 1					2018-10-12	3.02	Microsoft Windows			Sonata da chiesa op. 1, no. 1	4. Allegro	Arcangelo Corelli	3.6.2	1.1.2	MS3	MS3/op01n01d.mscx	False	36-86 (C2-D6)		W.B. Hewlett	Frances Bennion & Steven Rasmussen	xml	64-86 (E4-D6)	StringInstrument	65-86 (F4-D6)	StringInstrument	36-64 (C2-E4)	StringInstrument	36-81 (C2-A5)	Keyboard
op01n02a	1: 4/4	1: 1	19	19	76	19	19	76		288	317	123	0	0	76	e	2.3.0	Lars Opfermann (2.1.1), Ya-Chuan Wu (2.1.1), Hanné Becker (2.3.0)	AN	1681	1681	Arcangelo Corelli	Sonata da chiesa	1	Grave	op. 1, no. 2					2018-10-12	3.02	Microsoft Windows			Sonata da chiesa op. 1, no. 2	1. Grave	Arcangelo Corelli	3.6.2	1.1.2	MS3	MS3/op01n02a.mscx	False	38-83 (D2-B5)		W.B. Hewlett	Frances Bennion & Steven Rasmussen	xml	67-83 (G4-B5)	StringInstrument	59-83 (B3-B5)	StringInstrument	38-64 (D2-E4)	StringInstrument	38-64 (D2-E4)	Keyboard
op01n02b	1: 4/4	1: 1	36	36	144	72	72	288		522.5	500	236	0	0	121	e	2.3.0	Lars Opfermann (2.1.1), Ya-Chuan Wu (2.1.1), Hanné Becker (2.3.0)	AN, HB	1681	1681	Arcangelo Corelli	Sonata da chiesa	2	Vivace	op. 1, no. 2					2018-10-12	3.02	Microsoft Windows			Sonata da chiesa op. 1, no. 2	2. Vivace	Arcangelo Corelli	3.6.2	1.1.2	MS3	MS3/op01n02b.mscx	False	38-84 (D2-C6)		W.B. Hewlett	Frances Bennion & Steven Rasmussen	xml	64-84 (E4-C6)	StringInstrument	63-84 (D#4-C6)	StringInstrument	38-66 (D2-F#4)	StringInstrument	38-76 (D2-E5)	Keyboard
op01n02c	1: 3/4	1: 1	29	29	87	29	29	87		344	210	74	0	0	67	e	2.3.0	Lars Opfermann (2.1.1), Ya-Chuan Wu (2.1.1), Hanné Becker (2.3.0)	AN	1681	1681	Arcangelo Corelli	Sonata da chiesa	3	Adagio	op. 1, no. 2					2018-10-12	3.02	Microsoft Windows			Sonata da chiesa op. 1, no. 2	3. Adagio	Arcangelo Corelli	3.6.2	1.1.2	MS3	MS3/op01n02c.mscx	False	40-83 (E2-B5)		W.B. Hewlett	Frances Bennion & Steven Rasmussen	xml	62-83 (D4-B5)	StringInstrument	63-83 (D#4-B5)	StringInstrument	40-60 (E2-C4)	StringInstrument	40-60 (E2-C4)	Keyboard
op01n02d	1: 3/8	1: 1	117	117	175.5	234	234	351		586.5	815	318	0	0	174	e	2.3.0	Lars Opfermann (2.1.1), Ya-Chuan Wu (2.1.1), Hanné Becker (2.3.0)	AN, HB	1681	1681	Arcangelo Corelli	Sonata da chiesa	4	Allegro	op. 1, no. 2					2018-10-12	3.02	Microsoft Windows			Sonata da chiesa op. 1, no. 2	4. Allegro	Arcangelo Corelli	3.6.2	1.1.2	MS3	MS3/op01n02d.mscx	False	38-86 (D2-D6)		W.B. Hewlett	Frances Bennion & Steven Rasmussen	xml	64-83 (E4-B5)	StringInstrument	63-86 (D#4-D6)	StringInstrument	38-66 (D2-F#4)	StringInstrument	38-66 (D2-F#4)	Keyboard
op01n03a	1: 4/4	1: 2	17	17	68	17	17	68		270.5	259	122	0	0	66	A	2.3.0	Lars Opfermann (2.1.1), Ya-Chuan Wu (2.1.1), Hanné Becker (2.3.0)	AN	1681	1681	Arcangelo Corelli	Sonata da chiesa	1	Grave	op. 1, no. 3					2018-10-12	3.02	Microsoft Windows			Sonata da chiesa op. 1, no. 3	1. Grave	Arcangelo Corelli	3.6.2	1.1.2	MS3	MS3/op01n03a.mscx	False	40-83 (E2-B5)		W.B. Hewlett	Frances Bennion & Steven Rasmussen	xml	64-83 (E4-B5)	StringInstrument	64-80 (E4-G#5)	StringInstrument	40-59 (E2-B3)	StringInstrument	40-59 (E2-B3)	Keyboard
op01n03b	1: 4/4	1: 2	54	54	216	54	54	216		818	1154	483	0	0	223	A	2.3.0	Lars Opfermann (2.1.1), Ya-Chuan Wu (2.1.1), Hanné Becker (2.3.0)	AN, HB	1681	1681	Arcangelo Corelli	Sonata da chiesa	2	Allegro	op. 1, no. 3					2018-10-12	3.02	Microsoft Windows			Sonata da chiesa op. 1, no. 3	2. Allegro	Arcangelo Corelli	3.6.2	1.1.2	MS3	MS3/op01n03b.mscx	False	37-85 (C#2-C#6)		W.B. Hewlett	Frances Bennion & Steven Rasmussen	xml	59-85 (B3-C#6)	StringInstrument	59-83 (B3-B5)	StringInstrument	37-64 (C#2-E4)	StringInstrument	37-61 (C#2-C#4)	Keyboard
