mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.G.I	G	I		I	I						M	0	0	0, 4, 1		0.0	0.0
5	5	0	V	G	I		V	V						M	0	0	1, 5, 2		1.0	1.0
9	9	0	I	G	I		I	I						M	0	0	0, 4, 1		0.0	0.0
10	10	1/4	I6	G	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
10	10	1/2	V	G	I		V	V						M	0	0	1, 5, 2		1.0	1.0
11	11	0	I	G	I		I	I						M	0	0	0, 4, 1		0.0	0.0
14	14	0	V.I	G	V		I	I						M	0	0	0, 4, 1		0.0	0.0
14	14	1/2	I6	G	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
15	15	0	IV	G	V		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
15	15	1/4	V(4)	G	V		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
15	15	5/8	V	G	V		V	V						M	0	0	1, 5, 2		1.0	1.0
16	16	0	I\\	G	V		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
21	21	1/4	I6	G	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
21	21	1/2	V(4)	G	V		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
21	21	5/8	V	G	V		V	V						M	0	0	1, 5, 2		1.0	1.0
22	22	0	I	G	V		I	I						M	0	0	0, 4, 1		0.0	0.0
24	24	0	IV	G	V		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
25	25	0	.bVII	G	V		bVII	bVII						M	0	0	-2, 2, -1		-2.0	-2.0
25	25	1/4	V6	G	V		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
26	26	0	I	G	V		I	I						M	0	0	0, 4, 1		0.0	0.0
26	26	1/4	vi.V6	G	vi		V6	V		6				M	0	1	5, 2, 1		1.0	5.0
27	27	0	i	G	vi		i	i						m	0	1	0, -3, 1		0.0	0.0
28	28	0	V	G	vi		V	V						M	0	1	1, 5, 2		1.0	1.0
30	30	0	V(64)	G	vi		V(64)	V			64			M	0	1	1, 0, -3		1.0	1.0
31	31	0	V\\	G	vi		V	V					\\	M	0	1	1, 5, 2		1.0	1.0
31	31	1/2	i6	G	vi		i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
32	32	0	.bII6	G	vi		bII6	bII		6				M	0	1	-1, -4, -5		-5.0	-1.0
32	32	1/4	iv	G	vi		iv	iv						m	0	1	-1, -4, 0		-1.0	-1.0
32	32	1/2	V	G	vi		V	V						M	0	1	1, 5, 2		1.0	1.0
33	33	0	iv6	G	vi		iv6	iv		6				m	0	1	-4, 0, -1		-1.0	-4.0
33	33	1/4	i64	G	vi		i64	i		64				m	0	1	1, 0, -3		0.0	1.0
33	33	1/2	ii%65	G	vi		ii%65	ii	%	65				%7	0	1	1, 8, 0, 2		2.0	1.0
34	34	0	V(64)	G	vi		V(64)	V			64			M	0	1	1, 0, -3		1.0	1.0
34	34	1/4	V(4)	G	vi		V(4)	V			4			M	0	1	1, 0, 2		1.0	1.0
34	34	5/8	V	G	vi		V	V						M	0	1	1, 5, 2		1.0	1.0
35	35	0	i\\	G	vi		i	i					\\	m	0	1	0, -3, 1		0.0	0.0
36	36	0	I	G	vi		I	I						M	0	1	0, 4, 1		0.0	0.0
37	37	0	I.V/V	G	I		V/V	V				V		M	0	0	2, 6, 3		2.0	2.0
39	39	0	V	G	I		V	V						M	0	0	1, 5, 2		1.0	1.0
41	41	0	I	G	I		I	I						M	0	0	0, 4, 1		0.0	0.0
42	42	0	\\	G	I								\\		0	0				
49	49	0	V	G	I		V	V						M	0	0	1, 5, 2		1.0	1.0
50	50	0	V\\	G	I		V	V					\\	M	0	0	1, 5, 2		1.0	1.0
51	51	1/4	I6	G	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
51	51	1/2	IV(9)	G	I		IV(9)	IV			9			M	0	0	-1, 3, 0	1	-1.0	-1.0
51	51	3/4	IV6	G	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
52	52	0	V65	G	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
52	52	1/4	I	G	I		I	I						M	0	0	0, 4, 1		0.0	0.0
52	52	1/2	IVM65	G	I		IVM65	IV	M	65				MM7	0	0	3, 0, 4, -1		-1.0	3.0
52	52	3/4	viio	G	I		viio	vii	o					o	0	0	5, 2, -1		5.0	5.0
53	53	0	I(9)	G	I		I(9)	I			9			M	0	0	0, 4, 1	2	0.0	0.0
53	53	1/4	i	G	I		i	i						m	0	0	0, -3, 1		0.0	0.0
53	53	3/8	IV7	G	I		IV7	IV		7				Mm7	0	0	-1, 3, 0, -3		-1.0	-1.0
53	53	1/2	V(4)	G	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
53	53	3/4	V	G	I		V	V						M	0	0	1, 5, 2		1.0	1.0
54	54	0	empty_harmony	G	I										0	0				
