mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	color_r	color_g	color_b	color_a	color	color_html	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	f.i{								f	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	3/4	3/4	4/4	1	1	VI6								f	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
2	2	0	0	4/4	1	1	III		170	0	0	255	/	#aa0000	f	i		III	III							M	1	1	-3, 1, -2		-3	-3
2	2	0	0	4/4	1	1	i		0	85	0	255	/	#005500	f	i		i	i							m	1	1	0, -3, 1		0	0
2	2	1/4	1/4	4/4	1	1	i6		170	0	0	255	/	#aa0000	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	1/2	1/2	4/4	1	1	V(4)		170	0	0	255	/	#aa0000	f	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
2	2	3/4	3/4	4/4	1	1	V		170	0	0	255	/	#aa0000	f	i		V	V							M	1	1	1, 5, 2		1	1
2	2	3/4	3/4	4/4	1	1	V6		0	85	0	255	/	#005500	f	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	0	0	4/4	2	1	i								f	i		i	i							m	1	1	0, -3, 1		0	0
3	3	1/2	1/2	4/4	2	1	i/v								f	i		i/v	i				v			m	1	1	1, -2, 2		1	1
3	3	3/4	3/4	4/4	2	1	VI6/v								f	i		VI6/v	VI		6		v			M	1	1	1, -2, -3		-3	1
4	4	0	0	4/4	2	1	III/v								f	i		III/v	III				v			M	1	1	-2, 2, -1		-2	-2
4	4	1/4	1/4	4/4	2	1	i6/v								f	i		i6/v	i		6		v			m	1	1	-2, 2, 1		1	-2
4	4	1/2	1/2	4/4	2	1	V(4)/v								f	i		V(4)/v	V			4	v			M	1	1	2, 1, 3		2	2
4	4	3/4	3/4	4/4	2	1	V/v								f	i		V/v	V				v			M	1	1	2, 6, 3		2	2
5	5	0	0	4/4	2	1	i/v								f	i		i/v	i				v			m	1	1	1, -2, 2		1	1
5	5	1/2	1/2	4/4	2	1	iv6(2)		170	0	0	255	/	#aa0000	f	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
5	5	1/2	1/2	4/4	2	1	IV6(2)		0	85	0	255	/	#005500	f	i		IV6(2)	IV		6	2				M	1	1	3, 0, 1		-1	3
5	5	3/4	3/4	4/4	2	1	iv6		170	0	0	255	/	#aa0000	f	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	3/4	3/4	4/4	2	1	IV6		0	85	0	255	/	#005500	f	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
5	5	7/8	7/8	4/4	2	1	V65								f	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
6	6	0	0	4/4	2	1	i(4)								f	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
6	6	1/4	1/4	4/4	2	1	i								f	i		i	i							m	1	1	0, -3, 1		0	0
