mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6/8	3	1		g.i{		g	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	3/8	3/8	6/8	3	1		ii%2	ii2	g	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
1	1	5/8	5/8	6/8	3	1		v6		g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
2	2	0	0	6/8	3	1		VIM7		g	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
2	2	1/4	1/4	6/8	3	1		ii%65		g	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
2	2	3/8	3/8	6/8	3	1		V(4)		g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
2	2	1/2	1/2	6/8	3	1		V		g	i		V	V							M	1	1	1, 5, 2		1	1
3	3	0	0	6/8	3	1		i		g	i		i	i							m	1	1	0, -3, 1		0	0
3	3	3/8	3/8	6/8	3	1		v.i6		g	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	5/8	5/8	6/8	3	1		i		g	v		i	i							m	1	1	0, -3, 1		0	0
4	4	0	0	6/8	3	1		V(4)		g	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
4	4	1/4	1/4	6/8	3	1		V		g	v		V	V							M	1	1	1, 5, 2		1	1
4	4	3/8	3/8	6/8	3	1		VI		g	v		VI	VI							M	1	1	-4, 0, -3		-4	-4
4	4	5/8	5/8	6/8	3	1		i		g	v		i	i							m	1	1	0, -3, 1		0	0
5	5	0	0	6/8	3	1		V(4)		g	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
5	5	1/8	1/8	6/8	3	1		V		g	v		V	V							M	1	1	1, 5, 2		1	1
5	5	3/8	3/8	6/8	3	1		i		g	v		i	i							m	1	1	0, -3, 1		0	0
5	5	5/8	5/8	6/8	3	1		VI		g	v		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	6	0	0	6/8	3	1		i.ii		g	i		ii	ii							m	1	1	2, -1, 3		2	2
6	6	1/4	1/4	6/8	3	1		#viio6		g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
6	6	3/8	3/8	6/8	3	1		i		g	i		i	i							m	1	1	0, -3, 1		0	0
