mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	1	i					i	i								m	0, -3, 1		0	0
1	1	1/4	1/4	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
1	1	1/2	1/2	4/4	3	1	V					V	V								M	1, 5, 2		1	1
1	1	3/4	3/4	4/4	3	1	V6					V6	V		6						M	5, 2, 1		1	5
2	2	0	0	4/4	3	1	i					i	i								m	0, -3, 1		0	0
2	2	1/4	1/4	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
2	2	1/2	1/2	4/4	3	1	iv					iv	iv								m	-1, -4, 0		-1	-1
2	2	3/4	3/4	4/4	3	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
3	3	0	0	4/4	3	1	VII					VII	VII								M	-2, 2, -1		-2	-2
3	3	1/4	1/4	4/4	3	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
3	3	1/2	1/2	4/4	3	1	III					III	III								M	-3, 1, -2		-3	-3
3	3	3/4	3/4	4/4	3	1	III6					III6	III		6						M	1, -2, -3		-3	1
4	4	0	0	4/4	3	1	V(4)/III					V(4)/III	V			4	III				M	-2, -3, -1		-2	-2
4	4	1/4	1/4	4/4	3	1	V6/III					V6/III	V		6		III				M	2, -1, -2		-2	2
4	4	3/8	3/8	4/4	3	1	V65	#viio				V65	V		65						Mm7	5, 2, -1, 1		1	5
4	4	1/2	1/2	4/4	3	1	i(2)					i(2)	i			2					m	2, -3, 1		0	2
4	4	3/4	3/4	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
5	5	0	0	4/4	3	1	V(4)					V(4)	V			4					M	1, 0, 2		1	1
5	5	1/4	1/4	4/4	3	1	V					V	V								M	1, 5, 2		1	1
5	5	1/2	1/2	4/4	3	1	iv6(2)					iv6(2)	iv		6	2					m	-4, 0, 1		-1	-4
5	5	3/4	3/4	4/4	3	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
5	5	7/8	7/8	4/4	3	1	iio6					iio6	ii	o	6						o	-1, -4, 2		2	-1
6	6	0	0	4/4	3	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
6	6	1/4	1/4	4/4	3	1	VI					VI	VI								M	-4, 0, -3		-4	-4
6	6	1/2	1/2	4/4	3	1	ii%65					ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
6	6	3/4	3/4	4/4	3	1	V					V	V								M	1, 5, 2		1	1
7	7	0	0	4/4	3	1	i|PAC}{					i	i						PAC	}{	m	0, -3, 1		0	0
7	7	1/4	1/4	4/4	3	1	V6					V6	V		6						M	5, 2, 1		1	5
7	7	1/2	1/2	4/4	3	1	i					i	i								m	0, -3, 1		0	0
7	7	3/4	3/4	4/4	3	1	V6					V6	V		6						M	5, 2, 1		1	5
8	8	0	0	4/4	3	1	i					i	i								m	0, -3, 1		0	0
8	8	1/8	1/8	4/4	3	1	I/III					I/III	I				III				M	-3, 1, -2		-3	-3
8	8	1/4	1/4	4/4	3	1	V6/III					V6/III	V		6		III				M	2, -1, -2		-2	2
8	8	1/2	1/2	4/4	3	1	I/III					I/III	I				III				M	-3, 1, -2		-3	-3
8	8	3/4	3/4	4/4	3	1	V6/III					V6/III	V		6		III				M	2, -1, -2		-2	2
9	9	0	0	4/4	3	1	I/III					I/III	I				III				M	-3, 1, -2		-3	-3
9	9	1/8	1/8	4/4	3	1	i/iv					i/iv	i				iv				m	-1, -4, 0		-1	-1
9	9	1/4	1/4	4/4	3	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
9	9	1/2	1/2	4/4	3	1	i/iv					i/iv	i				iv				m	-1, -4, 0		-1	-1
9	9	3/4	3/4	4/4	3	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
10	10	0	0	4/4	3	1	i/iv					i/iv	i				iv				m	-1, -4, 0		-1	-1
10	10	1/4	1/4	4/4	3	1	V					V	V								M	1, 5, 2		1	1
10	10	1/2	1/2	4/4	3	1	iv6(2)					iv6(2)	iv		6	2					m	-4, 0, 1		-1	-4
10	10	3/4	3/4	4/4	3	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
11	11	0	0	4/4	3	1	V|HC}					V	V						HC	}	M	1, 5, 2		1	1
11	11	1/4	1/4	4/4	3	1	{													{					
11	11	3/8	3/8	4/4	3	1	V2					V2	V		2						Mm7	-1, 1, 5, 2		1	-1
11	11	1/2	1/2	4/4	3	1	i6					i6	i		6						m	-3, 1, 0		0	-3
11	11	3/4	3/4	4/4	3	1	III.vi7			III		vi7	vi		7						mm7	3, 0, 4, 1		3	3
12	12	0	0	4/4	3	1	ii					ii	ii								m	2, -1, 3		2	2
12	12	3/8	3/8	4/4	3	1	ii2					ii2	ii		2						mm7	0, 2, -1, 3		2	0
12	12	1/2	1/2	4/4	3	1	V6					V6	V		6						M	5, 2, 1		1	5
12	12	3/4	3/4	4/4	3	1	V7					V7	V		7						Mm7	1, 5, 2, -1		1	1
