mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	color_r	color_g	color_b	color_a	color	color_html	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	1	Bb.I{							Bb	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	4/4	3	1	V6							Bb	I		V6	V		6					M	0	0	5, 2, 1		1	5
1	1	3/8	3/8	4/4	3	1	V							Bb	I		V	V							M	0	0	1, 5, 2		1	1
1	1	1/2	1/2	4/4	3	1	I	0	85	0	255	/	#005500	Bb	I		I	I							M	0	0	0, 4, 1		0	0
1	1	5/8	5/8	4/4	3	1	I	170	0	0	255	/	#aa0000	Bb	I		I	I							M	0	0	0, 4, 1		0	0
1	1	3/4	3/4	4/4	3	1	V6							Bb	I		V6	V		6					M	0	0	5, 2, 1		1	5
1	1	7/8	7/8	4/4	3	1	V							Bb	I		V	V							M	0	0	1, 5, 2		1	1
2	2	0	0	4/4	3	1	vi	0	85	0	255	/	#005500	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	1/8	1/8	4/4	3	1	vi	170	0	0	255	/	#aa0000	Bb	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	1/4	1/4	4/4	3	1	iii6							Bb	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
2	2	3/8	3/8	4/4	3	1	iii							Bb	I		iii	iii							m	0	0	4, 1, 5		4	4
2	2	1/2	1/2	4/4	3	1	IV	0	85	0	255	/	#005500	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	2	5/8	5/8	4/4	3	1	IV	170	0	0	255	/	#aa0000	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	2	3/4	3/4	4/4	3	1	I6							Bb	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	7/8	7/8	4/4	3	1	I							Bb	I		I	I							M	0	0	0, 4, 1		0	0
3	3	0	0	4/4	3	1	IV	0	85	0	255	/	#005500	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	1/8	1/8	4/4	3	1	IV	170	0	0	255	/	#aa0000	Bb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	1/4	1/4	4/4	3	1	V							Bb	I		V	V							M	0	0	1, 5, 2		1	1
3	3	1/2	1/2	4/4	3	1	I	0	85	0	255	/	#005500	Bb	I		I	I							M	0	0	0, 4, 1		0	0
3	3	5/8	5/8	4/4	3	1	I	170	0	0	255	/	#aa0000	Bb	I		I	I							M	0	0	0, 4, 1		0	0
3	3	3/4	3/4	4/4	3	1	V6							Bb	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	7/8	7/8	4/4	3	1	V							Bb	I		V	V							M	0	0	1, 5, 2		1	1
4	4	0	0	4/4	3	1	V.IV	0	85	0	255	/	#005500	Bb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	1/8	1/8	4/4	3	1	V.IV	170	0	0	255	/	#aa0000	Bb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	1/4	1/4	4/4	3	1	V							Bb	V		V	V							M	0	0	1, 5, 2		1	1
4	4	1/2	1/2	4/4	3	1	I	0	85	0	255	/	#005500	Bb	V		I	I							M	0	0	0, 4, 1		0	0
