mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	4	1	a.i{	a	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	2/2	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
1	1	1/2	1/2	2/2	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
1	1	3/4	3/4	2/2	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
2	2	0	0	2/2	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
2	2	1/2	1/2	2/2	4	1	III	a	i		III	III							M	1	1	-3, 1, -2		-3	-3
2	2	3/4	3/4	2/2	4	1	V/III	a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
3	3	0	0	2/2	4	1	III	a	i		III	III							M	1	1	-3, 1, -2		-3	-3
3	3	1/4	1/4	2/2	4	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	1/2	1/2	2/2	4	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	3/4	3/4	2/2	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
4	4	0	0	2/2	4	1	iv6(9)	a	i		iv6(9)	iv		6	9				m	1	1	-4, 0, -1	1	-1	-4
4	4	1/4	1/4	2/2	4	1	iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	1/2	1/2	2/2	4	1	V|HC}	a	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
5	5	0	0	2/2	4	1	V6{	a	i		V6	V		6				{	M	1	1	5, 2, 1		1	5
5	5	1/2	1/2	2/2	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
5	5	3/4	3/4	2/2	4	1	i2	a	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
6	6	0	0	2/2	4	1	III.V6/V	a	III		V6/V	V		6		V			M	1	0	6, 3, 2		2	6
6	6	1/2	1/2	2/2	4	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
6	6	3/4	3/4	2/2	4	1	V2	a	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
7	7	0	0	2/2	4	1	I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
7	7	1/2	1/2	2/2	4	1	IV	a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
7	7	3/4	3/4	2/2	4	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
8	8	0	0	2/2	4	1	V(4)	a	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
8	8	1/4	1/4	2/2	4	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
8	8	1/2	1/2	2/2	4	1	I|PAC}	a	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
8	8	3/4	3/4	2/2	4	1	I2{	a	III		I2	I		2				{	Mm7	1	0	-2, 0, 4, 1		0	-2
9	9	0	0	2/2	4	1	i.V/IV	a	i		V/IV	V				IV			M	1	1	0, 4, 1		0	0
9	9	1/2	1/2	2/2	4	1	IV	a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
9	9	3/4	3/4	2/2	4	1	IV2	a	i		IV2	IV		2					Mm7	1	1	-3, -1, 3, 0		-1	-3
10	10	0	0	2/2	4	1	V/V	a	i		V/V	V				V			M	1	1	2, 6, 3		2	2
10	10	1/2	1/2	2/2	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
10	10	3/4	3/4	2/2	4	1	V2	a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
11	11	0	0	2/2	4	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
11	11	1/2	1/2	2/2	4	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
11	11	3/4	3/4	2/2	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
12	12	0	0	2/2	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
12	12	1/2	1/2	2/2	4	1	i|PAC}	a	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
