mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	4	1	F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	3/4	4	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	0	0	3/4	4	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	1/2	1/2	3/4	4	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
3	3	0	0	3/4	4	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
3	3	1/4	1/4	3/4	4	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	0	0	3/4	4	1	V|HC}	F	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
5	5	0	0	3/4	4	1	I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
6	6	0	0	3/4	4	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	6	1/2	1/2	3/4	4	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	0	0	3/4	4	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
7	7	1/4	1/4	3/4	4	1	V(4)	F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
7	7	1/2	1/2	3/4	4	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
8	8	0	0	3/4	4	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	9	0	0	3/4	4	1	{	F	I									{		0	0				
9	9	1/2	1/2	3/4	4	1	vi6	F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
10	10	0	0	3/4	4	1	V.I	F	V		I	I							M	0	0	0, 4, 1		0	0
11	11	0	0	3/4	4	1	ii7	F	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
11	11	1/4	1/4	3/4	4	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	0	3/4	4	1	I|IAC}	F	V		I	I					IAC	}	M	0	0	0, 4, 1		0	0
13	13	0	0	3/4	4	1	IV{	F	V		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
13	13	1/2	1/2	3/4	4	1	ii6	F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
14	14	0	0	3/4	4	1	V2	F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
14	14	1/2	1/2	3/4	4	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	0	0	3/4	4	1	ii65	F	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	15	1/4	1/4	3/4	4	1	V(4)	F	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
15	15	1/2	1/2	3/4	4	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1
16	16	0	0	3/4	4	1	I|PAC}	F	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
16	16	1/2	1/2	3/4	4	1	I.V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
