mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3.0	0	0	4/4	4	1	d.i{	above	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	3	3	1.0	3/4	3/4	4/4	4	1	#viio6	above	d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	4	4	1.0	0	0	4/4	4	1	i6	above	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	5	5	1.0	1/4	1/4	4/4	4	1	iv7	above	d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	6	6	2.0	1/2	1/2	4/4	4	1	V	above	d	i		V	V							M	1	1	1, 5, 2		1	1
3	3	8	8	1.0	0	0	4/4	4	1	iv6(2)	above	d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
3	3	9	9	1.0	1/4	1/4	4/4	4	1	iv6	above	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	10	10	2.0	1/2	1/2	4/4	4	1	V|HC}	above	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
4	4	12	12	3.0	0	0	4/4	4	1	v.i{	above	d	v		i	i						{	m	1	1	0, -3, 1		0	0
4	4	15	15	1.0	3/4	3/4	4/4	4	1	#viio6	above	d	v		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
5	5	16	16	1.0	0	0	4/4	4	1	i6	above	d	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	17	17	1.0	1/4	1/4	4/4	4	1	iv7	above	d	v		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
5	5	18	18	2.0	1/2	1/2	4/4	4	1	V	above	d	v		V	V							M	1	1	1, 5, 2		1	1
6	6	20	20	1.0	0	0	4/4	4	1	iv6(2)	above	d	v		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
6	6	21	21	1.0	1/4	1/4	4/4	4	1	iv6	above	d	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	6	22	22	2.0	1/2	1/2	4/4	4	1	V|HC}	above	d	v		V	V					HC	}	M	1	1	1, 5, 2		1	1
6	6	23	23	0.0	3/4	3/4	4/4	4	1	{	above	d	v									{		1	1				
7	7	24	24	1.0	0	0	4/4	4	1	#vi%7	above	d	v		#vi%7	#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
7	7	25	25	1.0	1/4	1/4	4/4	4	1	#viio	above	d	v		#viio	#vii	o						o	1	1	5, 2, -1		5	5
7	7	26	26	1.0	1/2	1/2	4/4	4	1	i(4)	above	d	v		i(4)	i			4				m	1	1	0, -1, 1		0	0
7	7	27	27	1.0	3/4	3/4	4/4	4	1	i	above	d	v		i	i							m	1	1	0, -3, 1		0	0
8	8	28	28	1.0	0	0	4/4	4	1	ii6(2)	above	d	v		ii6(2)	ii		6	2				m	1	1	-1, 3, -3		2	-1
8	8	29	29	1.0	1/4	1/4	4/4	4	1	bII6	above	d	v		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
8	8	30	30	1.0	1/2	1/2	4/4	4	1	V(9)	above	d	v		V(9)	V			9				M	1	1	1, 5, 2	-4	1	1
8	8	31	31	1.0	3/4	3/4	4/4	4	1	V	above	d	v		V	V							M	1	1	1, 5, 2		1	1
