mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6.0	0	0	12/8	4	1	E.I{		E	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	6	6	6.0	0	0	12/8	4	1	viio6		E	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
3	3	12	12	3.0	0	0	12/8	4	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	15	15	3.0	3/4	3/4	12/8	4	1	IV7		E	I		IV7	IV		7					Mm7	0	0	-1, 3, 0, -3		-1	-1
4	4	18	18	2.0	0	0	12/8	4	1	V|HC}		E	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
4	4	19	19	0.0	1/4	1/4	12/8	4	1	{		E	I									{		0	0				
4	4	20	20	1.0	1/2	1/2	12/8	4	1	vi7		E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
4	4	21	21	3.0	3/4	3/4	12/8	4	1	viio		E	I		viio	vii	o						o	0	0	5, 2, -1		5	5
5	5	24	24	1.0	0	0	12/8	4	1	I(4)		E	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
5	5	25	25	1.0	1/4	1/4	12/8	4	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	26	26	1.0	1/2	1/2	12/8	4	1	ii65		E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
5	5	27	27	3.0	3/4	3/4	12/8	4	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
6	6	30	30	2.0	0	0	12/8	4	1	I|PAC}		E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
6	6	31	31	0.0	1/4	1/4	12/8	4	1	{		E	I									{		0	0				
6	6	32	32	1.0	1/2	1/2	12/8	4	1	ii2		E	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
6	6	33	33	3.0	3/4	3/4	12/8	4	1	V6		E	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	36	36	1.0	0	0	12/8	4	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
7	7	37	37	1.0	1/4	1/4	12/8	4	1	V.I		E	V		I	I							M	0	0	0, 4, 1		0	0
7	7	38	38	1.0	1/2	1/2	12/8	4	1	ii2		E	V		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
7	7	39	39	3.0	3/4	3/4	12/8	4	1	V6		E	V		V6	V		6					M	0	0	5, 2, 1		1	5
8	8	42	42	1.0	0	0	12/8	4	1	I		E	V		I	I							M	0	0	0, 4, 1		0	0
8	8	43	43	1.0	1/4	1/4	12/8	4	1	I6		E	V		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	44	44	1.0	1/2	1/2	12/8	4	1	vi7		E	V		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
8	8	45	45	3.0	3/4	3/4	12/8	4	1	ii7		E	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
9	9	48	48	1.0	0	0	12/8	4	1	V7		E	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	49	49	1.0	1/4	1/4	12/8	4	1	I		E	V		I	I							M	0	0	0, 4, 1		0	0
9	9	50	50	1.0	1/2	1/2	12/8	4	1	ii65		E	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
9	9	51	51	3.0	3/4	3/4	12/8	4	1	V7		E	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	54	54	1.0	0	0	12/8	4	1	I|PAC}{		E	V		I	I					PAC	}{	M	0	0	0, 4, 1		0	0
10	10	55	55	1.0	1/4	1/4	12/8	4	1	I.I6{		E	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
10	10	56	56	1.0	1/2	1/2	12/8	4	1	vi7		E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
10	10	57	57	3.0	3/4	3/4	12/8	4	1	ii7		E	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
11	11	60	60	1.0	0	0	12/8	4	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	61	61	1.0	1/4	1/4	12/8	4	1	IM7		E	I		IM7	I	M	7					MM7	0	0	0, 4, 1, 5		0	0
11	11	62	62	1.0	1/2	1/2	12/8	4	1	IVM7	ii6(2)	E	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
11	11	63	63	3.0	3/4	3/4	12/8	4	1	ii6		E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
12	12	66	66	1.0	0	0	12/8	4	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	67	67	1.0	1/4	1/4	12/8	4	1	vi		E	I		vi	vi							m	0	0	3, 0, 4		3	3
12	12	68	68	1.0	1/2	1/2	12/8	4	1	ii65		E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
12	12	69	69	0.5	3/4	3/4	12/8	4	1	V(4)		E	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
12	12	139/2	139/2	2.5	7/8	7/8	12/8	4	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
13	13	72	72	1.0	0	0	12/8	4	1	I|PAC}		E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
13	13	73	73	1.0	1/4	1/4	12/8	4	1	IV{		E	I		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
13	13	74	74	1.0	1/2	1/2	12/8	4	1	V2		E	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	13	75	75	3.0	3/4	3/4	12/8	4	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	78	78	1.0	0	0	12/8	4	1	ii65		E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
14	14	79	79	1.0	1/4	1/4	12/8	4	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
14	14	80	80	4.0	1/2	1/2	12/8	4	1	I|PAC}		E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
15	15	84	84	2.0	0	0	12/8	4	1	V.V/ii{		E	V		V/ii	V				ii		{	M	0	0	3, 7, 4		3	3
15	15	86	86	4.0	1/2	1/2	12/8	4	1	ii		E	V		ii	ii							m	0	0	2, -1, 3		2	2
16	16	90	90	2.0	0	0	12/8	4	1	V/ii		E	V		V/ii	V				ii			M	0	0	3, 7, 4		3	3
16	16	92	92	4.0	1/2	1/2	12/8	4	1	ii}		E	V		ii	ii						}	m	0	0	2, -1, 3		2	2
17	17	96	96	2.0	0	0	12/8	4	1	V{		E	V		V	V						{	M	0	0	1, 5, 2		1	1
17	17	98	98	4.0	1/2	1/2	12/8	4	1	I		E	V		I	I							M	0	0	0, 4, 1		0	0
18	18	102	102	2.0	0	0	12/8	4	1	V		E	V		V	V							M	0	0	1, 5, 2		1	1
18	18	104	104	4.0	1/2	1/2	12/8	4	1	I}		E	V		I	I						}	M	0	0	0, 4, 1		0	0
19	19	108	108	1.0	0	0	12/8	4	1	I6{		E	V		I6	I		6				{	M	0	0	4, 1, 0		0	4
19	19	109	109	1.0	1/4	1/4	12/8	4	1	IV		E	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	110	110	1.0	1/2	1/2	12/8	4	1	V7		E	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	111	111	3.0	3/4	3/4	12/8	4	1	I		E	V		I	I							M	0	0	0, 4, 1		0	0
20	20	114	114	1.0	0	0	12/8	4	1	V(4)		E	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
20	20	115	115	1.0	1/4	1/4	12/8	4	1	V		E	V		V	V							M	0	0	1, 5, 2		1	1
20	20	116	116	4.0	1/2	1/2	12/8	4	1	I|PAC}		E	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
21	21	120	120	1.0	0	0	12/8	4	1	vi.i6{		E	vi		i6	i		6				{	m	0	1	-3, 1, 0		0	-3
21	21	121	121	1.0	1/4	1/4	12/8	4	1	iv		E	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
21	21	122	122	1.0	1/2	1/2	12/8	4	1	V7		E	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
21	21	123	123	3.0	3/4	3/4	12/8	4	1	i		E	vi		i	i							m	0	1	0, -3, 1		0	0
22	22	126	126	1.0	0	0	12/8	4	1	V(4)		E	vi		V(4)	V			4				M	0	1	1, 0, 2		1	1
22	22	127	127	1.0	1/4	1/4	12/8	4	1	V		E	vi		V	V							M	0	1	1, 5, 2		1	1
22	22	128	128	4.0	1/2	1/2	12/8	4	1	i|PAC}{		E	vi		i	i					PAC	}{	m	0	1	0, -3, 1		0	0
23	23	132	132	2.0	0	0	12/8	4	1	i.V7/V		E	i		V7/V	V		7		V			Mm7	0	1	2, 6, 3, 0		2	2
23	23	134	134	4.0	1/2	1/2	12/8	4	1	v		E	i		v	v							m	0	1	1, -2, 2		1	1
24	24	138	138	2.0	0	0	12/8	4	1	V7/IV		E	i		V7/IV	V		7		IV			Mm7	0	1	0, 4, 1, -2		0	0
24	24	140	140	4.0	1/2	1/2	12/8	4	1	IV		E	i		IV	IV							M	0	1	-1, 3, 0		-1	-1
25	25	144	144	2.0	0	0	12/8	4	1	V		E	i		V	V							M	0	1	1, 5, 2		1	1
25	25	146	146	4.0	1/2	1/2	12/8	4	1	I		E	i		I	I							M	0	1	0, 4, 1		0	0
26	26	150	150	1.0	0	0	12/8	4	1	V6		E	i		V6	V		6					M	0	1	5, 2, 1		1	5
26	26	151	151	1.0	1/4	1/4	12/8	4	1	iii7		E	i		iii7	iii		7					mm7	0	1	-3, -6, -2, -5		-3	-3
26	26	152	152	1.0	1/2	1/2	12/8	4	1	vi7		E	i		vi7	vi		7					mm7	0	1	-4, -7, -3, -6		-4	-4
26	26	153	153	3.0	3/4	3/4	12/8	4	1	ii7		E	i		ii7	ii		7					mm7	0	1	2, -1, 3, 0		2	2
27	27	156	156	1.0	0	0	12/8	4	1	V7		E	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
27	27	157	157	1.0	1/4	1/4	12/8	4	1	I		E	i		I	I							M	0	1	0, 4, 1		0	0
27	27	158	158	1.0	1/2	1/2	12/8	4	1	ii65		E	i		ii65	ii		65					mm7	0	1	-1, 3, 0, 2		2	-1
27	27	159	159	3.0	3/4	3/4	12/8	4	1	V		E	i		V	V							M	0	1	1, 5, 2		1	1
28	28	162	162	2.0	0	0	12/8	4	1	I|IAC}{		E	i		I	I					IAC	}{	M	0	1	0, 4, 1		0	0
28	28	164	164	1.0	1/2	1/2	12/8	4	1	V6		E	i		V6	V		6					M	0	1	5, 2, 1		1	5
28	28	165	165	3.0	3/4	3/4	12/8	4	1	iii7		E	i		iii7	iii		7					mm7	0	1	-3, -6, -2, -5		-3	-3
29	29	168	168	1.0	0	0	12/8	4	1	vi7		E	i		vi7	vi		7					mm7	0	1	-4, -7, -3, -6		-4	-4
29	29	169	169	1.0	1/4	1/4	12/8	4	1	ii7		E	i		ii7	ii		7					mm7	0	1	2, -1, 3, 0		2	2
29	29	170	170	1.0	1/2	1/2	12/8	4	1	V7		E	i		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
29	29	171	171	3.0	3/4	3/4	12/8	4	1	I		E	i		I	I							M	0	1	0, 4, 1		0	0
30	30	174	174	1.0	0	0	12/8	4	1	ii65		E	i		ii65	ii		65					mm7	0	1	-1, 3, 0, 2		2	-1
30	30	175	175	1.0	1/4	1/4	12/8	4	1	V		E	i		V	V							M	0	1	1, 5, 2		1	1
30	30	176	176	4.0	1/2	1/2	12/8	4	1	I|PAC}		E	i		I	I					PAC	}	M	0	1	0, 4, 1		0	0
