mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/2	3	1	G.I{	above	G	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	1.0	1/4	1/4	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
1	1	2	2	1.0	1/2	1/2	2/2	3	1	I	above	G	I		I	I							M	0	0	0, 4, 1		0	0
1	1	3	3	1.0	3/4	3/4	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
2	2	4	4	1.0	0	0	2/2	3	1	vi	above	G	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	5	5	1.0	1/4	1/4	2/2	3	1	V/vi	above	G	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
2	2	6	6	1.0	1/2	1/2	2/2	3	1	vi	above	G	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	7	7	1.0	3/4	3/4	2/2	3	1	V/vi	above	G	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
3	3	8	8	1.0	0	0	2/2	3	1	vi	above	G	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	9	9	1.0	1/4	1/4	2/2	3	1	I	above	G	I		I	I							M	0	0	0, 4, 1		0	0
3	3	10	10	1.0	1/2	1/2	2/2	3	1	IV	above	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	11	11	1.0	3/4	3/4	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
4	4	12	12	2.0	0	0	2/2	3	1	ii6	above	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	14	14	3.0	1/2	1/2	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
5	5	17	17	1.0	1/4	1/4	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
5	5	18	18	3.0	1/2	1/2	2/2	3	1	vi7	above	G	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
6	6	21	21	1.0	1/4	1/4	2/2	2	1	viio		G	I		viio	vii	o						o	0	0	5, 2, -1		5	5
6	6	22	22	1.0	1/2	1/2	2/2	2	1	I(4)		G	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
6	6	23	23	1.0	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
7	7	24	24	1.0	0	0	2/2	2	1	IV(9)		G	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
7	7	25	25	1.0	1/4	1/4	2/2	2	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	26	26	1.0	1/2	1/2	2/2	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
7	7	27	27	1.0	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
8	8	28	28	1.0	0	0	2/2	3	1	V(4)	above	G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
8	8	29	29	1.0	1/4	1/4	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
8	8	30	30	2.0	1/2	1/2	2/2	3	1	I|PAC}	above	G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	9	32	32	2.0	0	0	2/2	3	1	I{	above	G	I		I	I						{	M	0	0	0, 4, 1		0	0
9	9	34	34	2.0	1/2	1/2	2/2	3	1	V6	above	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	10	36	36	1.0	0	0	2/2	3	1	vi7	above	G	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
10	10	37	37	1.0	1/4	1/4	2/2	2	1	V65/V		G	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
10	10	38	38	2.0	1/2	1/2	2/2	2	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
11	11	40	40	1.0	0	0	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
11	11	41	41	1.0	1/4	1/4	2/2	2	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
11	11	42	42	1.0	1/2	1/2	2/2	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11	43	43	1.0	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
12	12	44	44	1.0	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
12	12	45	45	1.0	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
12	12	46	46	3.0	1/2	1/2	2/2	3	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
13	13	48	48	0.0	0	0	2/2	3	1	{		G	I									{		0	0				
13	13	49	49	1.0	1/4	1/4	2/2	3	1	I.I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	50	50	1.0	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	13	51	51	2.0	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	53	53	1.0	1/4	1/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	54	54	1.0	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
14	14	55	55	2.0	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	57	57	1.0	1/4	1/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	58	58	1.0	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
15	15	59	59	1.0	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	60	60	1.0	0	0	2/2	3	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
16	16	61	61	1.0	1/4	1/4	2/2	3	1	ii2		G	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
16	16	62	62	1.0	1/2	1/2	2/2	3	1	V65		G	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
16	16	63	63	1.0	3/4	3/4	2/2	3	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
17	17	64	64	1.0	0	0	2/2	2	1	IV(9)		G	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
17	17	65	65	1.0	1/4	1/4	2/2	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	17	66	66	1.0	1/2	1/2	2/2	2	1	V7		G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	67	67	1.0	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
18	18	68	68	1.0	0	0	2/2	3	1	V(4)		G	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
18	18	69	69	1.0	1/4	1/4	2/2	3	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
18	18	70	70	3.0	1/2	1/2	2/2	3	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
19	19	72	72	0.0	0	0	2/2	3	1	{		G	I									{		0	0				
19	19	73	73	1.0	1/4	1/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	19	74	74	1.0	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	75	75	2.0	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	20	77	77	1.0	1/4	1/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	20	78	78	1.0	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
20	20	79	79	2.0	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	21	81	81	1.0	1/4	1/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	21	82	82	1.0	1/2	1/2	2/2	3	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
21	21	83	83	1.0	3/4	3/4	2/2	3	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
