mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	4/4	4	1	C.I{		above	C	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	3	1.0	3/4	3/4	4/4	4	1	ii6		above	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
2	2	4	1.5	0	0	4/4	4	1	V		above	C	I		V	V							M	0	0	1, 5, 2		1	1
2	2	11/2	0.5	3/8	3/8	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	6	0.5	1/2	1/2	4/4	4	1	IV		above	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	2	13/2	0.5	5/8	5/8	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	7	0.5	3/4	3/4	4/4	4	1	ii7		above	C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
2	2	15/2	0.5	7/8	7/8	4/4	4	1	V7		above	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	8	1.0	0	0	4/4	4	1	I|IAC}		above	C	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
3	3	17/2	0.0	1/8	1/8	4/4	4	1	{		above	C	I									{		0	0				
3	3	9	1.0	1/4	1/4	4/4	4	1	V6		above	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	10	1.0	1/2	1/2	4/4	4	1	IV6		above	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
3	3	11	1.0	3/4	3/4	4/4	4	1	iii6		above	C	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
4	4	12	1.0	0	0	4/4	4	1	ii6		above	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	13	1.0	1/4	1/4	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	14	1.0	1/2	1/2	4/4	4	1	ii		above	C	I		ii	ii							m	0	0	2, -1, 3		2	2
4	4	15	1.0	3/4	3/4	4/4	4	1	V7	V65	above	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	16	1.0	0	0	4/4	4	1	I(9)		above	C	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
5	5	17	0.5	1/4	1/4	4/4	4	1	I6		above	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	35/2	0.5	3/8	3/8	4/4	4	1	IV		above	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	5	18	1.0	1/2	1/2	4/4	4	1	V(4)		above	C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
5	5	19	1.0	3/4	3/4	4/4	4	1	V	V6	above	C	I		V	V							M	0	0	1, 5, 2		1	1
6	6	20	1.0	0	0	4/4	4	1	V.ii(9)		above	C	V		ii(9)	ii			9				m	0	0	2, -1, 3	4	2	2
6	6	21	1.0	1/4	1/4	4/4	4	1	V7		above	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	22	1.0	1/2	1/2	4/4	4	1	I(9)		above	C	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
6	6	23	1.0	3/4	3/4	4/4	4	1	I	I6	above	C	V		I	I							M	0	0	0, 4, 1		0	0
7	7	24	1.0	0	0	4/4	4	1	ii7	ii65	above	C	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
7	7	25	1.0	1/4	1/4	4/4	4	1	V		above	C	V		V	V							M	0	0	1, 5, 2		1	1
7	7	26	1.0	1/2	1/2	4/4	4	1	I|PAC}		above	C	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
7	7	27	1.0	3/4	3/4	4/4	4	1	I.V{		above	C	I		V	V						{	M	0	0	1, 5, 2		1	1
8	8	28	1.5	0	0	4/4	4	1	vi7		above	C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
8	8	59/2	0.5	3/8	3/8	4/4	4	1	viio		above	C	I		viio	vii	o						o	0	0	5, 2, -1		5	5
8	8	30	1.0	1/2	1/2	4/4	4	1	I(4)		above	C	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
8	8	31	1.0	3/4	3/4	4/4	4	1	I		above	C	I		I	I							M	0	0	0, 4, 1		0	0
9	9	32	1.0	0	0	4/4	4	1	V(4)		above	C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
