mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	7/8	4/4	3	1	g.i	g	i		i	i							m	1	1	0, -3, 1		0	0
3	2	1/8	1/8	4/4	3	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
3	2	1/4	1/4	4/4	3	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
3	2	3/8	3/8	4/4	3	1	viio6	g	i		viio6	vii	o	6					o	1	1	-5, -8, -2		-2	-5
3	2	1/2	1/2	4/4	3	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	5/8	5/8	4/4	3	1	viio6	g	i		viio6	vii	o	6					o	1	1	-5, -8, -2		-2	-5
3	2	3/4	3/4	4/4	3	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
3	2	7/8	7/8	4/4	3	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	3	0	0	4/4	3	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
4	3	1/8	1/8	4/4	3	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
4	3	1/4	1/4	4/4	3	1	VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
4	3	3/8	3/8	4/4	3	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	3	1/2	1/2	4/4	3	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
4	3	5/8	5/8	4/4	3	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	3	3/4	3/4	4/4	3	1	VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
4	3	7/8	7/8	4/4	3	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	4	0	0	4/4	3	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
5	4	1/8	1/8	4/4	3	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	4	1/4	1/4	4/4	3	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
5	4	3/8	3/8	4/4	3	1	iv6	g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	4	1/2	1/2	4/4	3	1	V\\	g	i		V	V						\\	M	1	1	1, 5, 2		1	1
6	5	0	0	4/4	3	1	V6/iv	g	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
6	5	1/2	1/2	4/4	3	1	iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	6	0	0	4/4	3	1	V65/III	g	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
7	6	1/2	1/2	4/4	3	1	I/III	g	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
8	7	0	0	4/4	3	1	V(4)/III	g	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
8	7	1/4	1/4	4/4	3	1	V/III	g	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
8	7	3/8	3/8	4/4	3	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
8	7	1/2	1/2	4/4	3	1	i(9)	g	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
8	7	3/4	3/4	4/4	3	1	I6	g	i		I6	I		6					M	1	1	4, 1, 0		0	4
9	8	0	0	4/4	3	1	v.V65	g	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
9	8	1/4	1/4	4/4	3	1	i	g	v		i	i							m	1	1	0, -3, 1		0	0
9	8	1/2	1/2	4/4	3	1	bII6	g	v		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
9	8	5/8	5/8	4/4	3	1	V	g	v		V	V							M	1	1	1, 5, 2		1	1
9	8	3/4	3/4	4/4	3	1	VI	g	v		VI	VI							M	1	1	-4, 0, -3		-4	-4
9	8	7/8	7/8	4/4	3	1	iio65	g	v		iio65	ii	o	65					o7	1	1	-1, -4, -7, 2		2	-1
10	9	0	0	4/4	3	1	V64	g	v		V64	V		64					M	1	1	2, 1, 5		1	2
10	9	1/8	1/8	4/4	3	1	V(4)	g	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
10	9	3/8	3/8	4/4	3	1	V	g	v		V	V							M	1	1	1, 5, 2		1	1
10	9	1/2	1/2	4/4	3	1	i\\	g	v		i	i						\\	m	1	1	0, -3, 1		0	0
10	9	7/8	7/8	4/4	3	1	I/III	g	v		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
11	10	0	0	4/4	3	1	V6/III	g	v		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
11	10	1/4	1/4	4/4	3	1	I/III	g	v		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
11	10	1/2	1/2	4/4	3	1	V/III	g	v		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
11	10	3/4	3/4	4/4	3	1	i/iv	g	v		i/iv	i				iv			m	1	1	-1, -4, 0		-1	-1
12	11	0	0	4/4	3	1	V6/iv	g	v		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
12	11	1/4	1/4	4/4	3	1	i/iv	g	v		i/iv	i				iv			m	1	1	-1, -4, 0		-1	-1
12	11	1/2	1/2	4/4	3	1	V/iv	g	v		V/iv	V				iv			M	1	1	0, 4, 1		0	0
12	11	3/4	3/4	4/4	3	1	v.i	g	v		i	i							m	1	1	0, -3, 1		0	0
13	12	0	0	4/4	3	1	V6	g	v		V6	V		6					M	1	1	5, 2, 1		1	5
13	12	1/4	1/4	4/4	3	1	i	g	v		i	i							m	1	1	0, -3, 1		0	0
13	12	1/2	1/2	4/4	3	1	V	g	v		V	V							M	1	1	1, 5, 2		1	1
13	12	3/4	3/4	4/4	3	1	i	g	v		i	i							m	1	1	0, -3, 1		0	0
14	13	0	0	4/4	3	1	iv	g	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
14	13	1/8	1/8	4/4	3	1	i	g	v		i	i							m	1	1	0, -3, 1		0	0
