mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	12/8	4	1		E.I{	E	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	3/4	3/4	12/8	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
2	2	0	0	12/8	4	1		viio6	E	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	3/4	3/4	12/8	4	1		ii	E	I		ii	ii							m	0	0	2, -1, 3		2	2
3	3	0	0	12/8	4	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	3/4	3/4	12/8	4	1		IV7	E	I		IV7	IV		7					Mm7	0	0	-1, 3, 0, -3		-1	-1
4	4	0	0	12/8	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
4	4	1/2	1/2	12/8	4	1		vi7	E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
4	4	3/4	3/4	12/8	4	1		viio	E	I		viio	vii	o						o	0	0	5, 2, -1		5	5
5	5	0	0	12/8	4	1		I(4)	E	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
5	5	1/4	1/4	12/8	4	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	1/2	1/2	12/8	4	1		ii65	E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
5	5	3/4	3/4	12/8	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
6	6	0	0	12/8	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
6	6	1/4	1/4	12/8	4	1		I(4)	E	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
6	6	1/2	1/2	12/8	4	1		ii2	E	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
6	6	3/4	3/4	12/8	4	1		V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	0	0	12/8	4	1		I	E	I		I	I							M	0	0	0, 4, 1		0	0
7	7	1/4	1/4	12/8	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
7	7	1/2	1/2	12/8	4	1		vi2	E	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
7	7	3/4	3/4	12/8	4	1		V6/V	E	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
8	8	0	0	12/8	4	1		V	E	I		V	V							M	0	0	1, 5, 2		1	1
8	8	1/4	1/4	12/8	4	1		V6	E	I		V6	V		6					M	0	0	5, 2, 1		1	5
8	8	1/2	1/2	12/8	4	1		iii7	E	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
8	8	3/4	3/4	12/8	4	1		vi7	E	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
9	9	0	0	12/8	4	1		V7/V	E	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
9	9	1/4	1/4	12/8	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	1/2	1/2	12/8	4	1		V7/IV	E	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
9	9	3/4	3/4	12/8	4	1		V7/V	E	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
10	10	0	0	12/8	4	1		V|PAC}{	E	I		V	V					PAC	}{	M	0	0	1, 5, 2		1	1
10	10	1/4	1/4	12/8	4	1		I6	E	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	1/2	1/2	12/8	4	1		IV7	E	I		IV7	IV		7					Mm7	0	0	-1, 3, 0, -3		-1	-1
10	10	3/4	3/4	12/8	4	1		viio65	E	I		viio65	vii	o	65					o7	0	0	2, -1, -4, 5		5	2
11	11	0	0	12/8	4	1		V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
