mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/2	4	1		b.i	b	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1	1	3/2	4	1		v6	b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
2	2	0	0	3/2	4	1		VI	b	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	2	1/2	1/2	3/2	4	1		iv6	b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	2	1	1	3/2	4	1		iv	b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	0	0	3/2	4	1		V(4)	b	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
3	3	1/2	1/2	3/2	4	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
3	3	1	1	3/2	4	1		V2	b	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
4	4	0	0	3/2	4	1		i6(2)	b	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3
4	4	1/2	1/2	3/2	4	1		i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	0	0	3/2	4	1		IV(9)	b	i		IV(9)	IV			9				M	1	1	-1, 3, 0	1	-1	-1
5	5	1/2	1/2	3/2	4	1		V7	b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	1	1	3/2	4	1		VI	b	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
6	6	0	0	3/2	4	1		iv7	b	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
6	6	1/2	1/2	3/2	4	1		V(4)	b	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
6	6	5/4	5/4	3/2	4	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
7	7	0	0	3/2	4	1		i\\	b	i		i	i						\\	m	1	1	0, -3, 1		0	0
8	8	0	0	3/2	4	1		III.V(4)	b	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
8	8	1/2	1/2	3/2	4	1		V	b	III		V	V							M	1	0	1, 5, 2		1	1
9	9	0	0	3/2	4	1		I(9)	b	III		I(9)	I			9				M	1	0	0, 4, 1	2	0	0
9	9	1/2	1/2	3/2	4	1		I	b	III		I	I							M	1	0	0, 4, 1		0	0
10	10	0	0	3/2	4	1		IV(9)	b	III		IV(9)	IV			9				M	1	0	-1, 3, 0	1	-1	-1
10	10	1	1	3/2	4	1		IV	b	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
11	11	0	0	3/2	4	1		V7	b	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
11	11	1/2	1/2	3/2	4	1		vi	b	III		vi	vi							m	1	0	3, 0, 4		3	3
11	11	1	1	3/2	4	1		ii6	b	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
12	12	0	0	3/2	4	1		V(64)	b	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
12	12	1/2	1/2	3/2	4	1		V(4)	b	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
12	12	5/4	5/4	3/2	4	1		V	b	III		V	V							M	1	0	1, 5, 2		1	1
13	13	0	0	3/2	4	1		I\\	b	III		I	I						\\	M	1	0	0, 4, 1		0	0
14	14	0	0	3/2	4	1		V	b	III		V	V							M	1	0	1, 5, 2		1	1
14	14	1/2	1/2	3/2	4	1		V7	b	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
14	14	1	1	3/2	4	1		viio7/vi	b	III		viio7/vi	vii	o	7		vi			o7	1	0	1, -2, -5, -8		1	1
15	15	0	0	3/2	4	1		vi	b	III		vi	vi							m	1	0	3, 0, 4		3	3
15	15	1	1	3/2	4	1		i.i	b	i		i	i							m	1	1	0, -3, 1		0	0
16	16	0	0	3/2	4	1		iio6(112)	b	i		iio6(112)	ii	o	6	112				o	1	1	-1, -4, -3	1	2	-1
16	16	1	1	3/2	4	1		iio6	b	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
17	17	0	0	3/2	4	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
18	18	0	0	3/2	4	1		i(9)	b	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
18	18	1/2	1/2	3/2	4	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
18	18	1	1	3/2	4	1		v.ii%65	b	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
19	19	0	0	3/2	4	1		V(9)	b	v		V(9)	V			9				M	1	1	1, 5, 2	-4	1	1
19	19	1/2	1/2	3/2	4	1		V(64)	b	v		V(64)	V			64				M	1	1	1, 0, -3		1	1
19	19	1	1	3/2	4	1		#viio	b	v		#viio	#vii	o						o	1	1	5, 2, -1		5	5
20	20	0	0	3/2	4	1		i(4)	b	v		i(4)	i			4				m	1	1	0, -1, 1		0	0
20	20	1/2	1/2	3/2	4	1		i	b	v		i	i							m	1	1	0, -3, 1		0	0
20	20	1	1	3/2	4	1		ii%65	b	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
21	21	0	0	3/2	4	1		iv7	b	v		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
21	21	1/2	1/2	3/2	4	1		V(4)	b	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
21	21	5/4	5/4	3/2	4	1		V	b	v		V	V							M	1	1	1, 5, 2		1	1
22	22	0	0	3/2	4	1		i\\	b	v		i	i						\\	m	1	1	0, -3, 1		0	0
22	22	1	1	3/2	4	1		III.I6	b	III		I6	I		6					M	1	0	4, 1, 0		0	4
23	23	0	0	3/2	4	1		ii6	b	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
23	23	1/2	1/2	3/2	4	1		I6	b	III		I6	I		6					M	1	0	4, 1, 0		0	4
24	24	0	0	3/2	4	1		ii6	b	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
24	24	1/2	1/2	3/2	4	1		I6	b	III		I6	I		6					M	1	0	4, 1, 0		0	4
25	25	0	0	3/2	4	1		ii	b	III		ii	ii							m	1	0	2, -1, 3		2	2
25	25	1/2	1/2	3/2	4	1		viio6	b	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
25	25	1	1	3/2	4	1		I	b	III		I	I							M	1	0	0, 4, 1		0	0
