mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	color_r	color_g	color_b	color_a	color	color_html	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.F.I								F	I		I	I						M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	4/4	1	1	viio6								F	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
1	1	1/2	1/2	4/4	1	1	I6								F	I		I6	I		6				M	0	0	4, 1, 0		0	4
2	2	0	0	4/4	1	1	IV								F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
2	2	1/8	1/8	4/4	1	1	I								F	I		I	I						M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	4/4	1	1	V(4)								F	I		V(4)	V			4			M	0	0	1, 0, 2		1	1
2	2	7/16	7/16	4/4	1	1	V								F	I		V	V						M	0	0	1, 5, 2		1	1
2	2	1/2	1/2	4/4	1	1	I\\								F	I		I	I					\\	M	0	0	0, 4, 1		0	0
3	3	1/4	1/4	4/4	1	1	I6								F	I		I6	I		6				M	0	0	4, 1, 0		0	4
3	3	3/8	3/8	4/4	1	1	vii%7/V								F	I		vii%7/V	vii	%	7		V		%7	0	0	6, 3, 0, 4		6	6
3	3	1/2	1/2	4/4	1	1	V								F	I		V	V						M	0	0	1, 5, 2		1	1
3	3	3/4	3/4	4/4	1	1	iii6								F	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
4	4	0	0	4/4	1	1	ii6(2)								F	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2	-1
4	4	1/4	1/4	4/4	1	1	ii6								F	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
4	4	1/2	1/2	4/4	1	1	I6(2)								F	I		I6(2)	I		6	2			M	0	0	4, 1, 2		0	4
4	4	3/4	3/4	4/4	1	1	I6								F	I		I6	I		6				M	0	0	4, 1, 0		0	4
5	5	0	0	4/4	1	1	V.V								F	V		V	V						M	0	0	1, 5, 2		1	1
5	5	1/4	1/4	4/4	1	1	vi								F	V		vi	vi						m	0	0	3, 0, 4		3	3
5	5	1/2	1/2	4/4	1	1	ii65								F	V		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
5	5	3/4	3/4	4/4	1	1	V								F	V		V	V						M	0	0	1, 5, 2		1	1
6	6	0	0	4/4	1	1	I\\								F	V		I	I					\\	M	0	0	0, 4, 1		0	0
6	6	1/4	1/4	4/4	1	1	I.I6								F	I		I6	I		6				M	0	0	4, 1, 0		0	4
6	6	1/2	1/2	4/4	1	1	IV(9)								F	I		IV(9)	IV			9			M	0	0	-1, 3, 0	1	-1	-1
6	6	3/4	3/4	4/4	1	1	IV								F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
7	7	0	0	4/4	1	1	V7								F	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	7	1/4	1/4	4/4	1	1	vi.i								F	vi		i	i						m	0	1	0, -3, 1		0	0
7	7	1/2	1/2	4/4	1	1	vi65								F	vi		vi65	vi		65				mm7	0	1	-7, -3, -6, -4		-4	-7
7	7	3/4	3/4	4/4	1	1	iio6								F	vi		iio6	ii	o	6				o	0	1	-1, -4, 2		2	-1
8	8	0	0	4/4	1	1	III65	V(65)							F	vi		III65	III		65				Mm7	0	1	1, -2, -5, -3		-3	1
8	8	1/4	1/4	4/4	1	1	i6								F	vi		i6	i		6				m	0	1	-3, 1, 0		0	-3
8	8	1/2	1/2	4/4	1	1	ii%65								F	vi		ii%65	ii	%	65				%7	0	1	-1, -4, 0, 2		2	-1
8	8	3/4	3/4	4/4	1	1	V		85	0	255	255	/	#5500ff	F	vi		V	V						M	0	1	1, 5, 2		1	1
9	9	0	0	4/4	1	1	i\\								F	vi		i	i					\\	m	0	1	0, -3, 1		0	0
9	9	1/4	1/4	4/4	1	1	I.IV6								F	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
9	9	1/2	1/2	4/4	1	1	iii6(2)								F	I		iii6(2)	iii		6	2			m	0	0	1, 5, -1		4	1
9	9	3/4	3/4	4/4	1	1	iii6								F	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
10	10	0	0	4/4	1	1	ii6(2)								F	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2	-1
10	10	1/4	1/4	4/4	1	1	V6/V								F	I		V6/V	V		6		V		M	0	0	6, 3, 2		2	6
10	10	3/8	3/8	4/4	1	1	V65/V								F	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
10	10	1/2	1/2	4/4	1	1	V								F	I		V	V						M	0	0	1, 5, 2		1	1
10	10	3/4	3/4	4/4	1	1	I6								F	I		I6	I		6				M	0	0	4, 1, 0		0	4
10	10	7/8	7/8	4/4	1	1	IV								F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
11	11	0	0	4/4	1	1	vi								F	I		vi	vi						m	0	0	3, 0, 4		3	3
11	11	1/8	1/8	4/4	1	1	IV								F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
11	11	1/4	1/4	4/4	1	1	V(4)								F	I		V(4)	V			4			M	0	0	1, 0, 2		1	1
11	11	7/16	7/16	4/4	1	1	V								F	I		V	V						M	0	0	1, 5, 2		1	1
11	11	1/2	1/2	4/4	1	1	I\\								F	I		I	I					\\	M	0	0	0, 4, 1		0	0
11	11	3/4	3/4	4/4	1	1	IV6								F	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
12	12	0	0	4/4	1	1	iii6(2)								F	I		iii6(2)	iii		6	2			m	0	0	1, 5, -1		4	1
12	12	1/4	1/4	4/4	1	1	iii6								F	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
12	12	1/2	1/2	4/4	1	1	ii6(2)								F	I		ii6(2)	ii		6	2			m	0	0	-1, 3, 4		2	-1
12	12	3/4	3/4	4/4	1	1	V6/V								F	I		V6/V	V		6		V		M	0	0	6, 3, 2		2	6
12	12	7/8	7/8	4/4	1	1	V65/V								F	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
13	13	0	0	4/4	1	1	V								F	I		V	V						M	0	0	1, 5, 2		1	1
13	13	1/4	1/4	4/4	1	1	I6								F	I		I6	I		6				M	0	0	4, 1, 0		0	4
13	13	3/8	3/8	4/4	1	1	IV								F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
13	13	1/2	1/2	4/4	1	1	vi								F	I		vi	vi						m	0	0	3, 0, 4		3	3
13	13	5/8	5/8	4/4	1	1	IV								F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
13	13	3/4	3/4	4/4	1	1	V(4)								F	I		V(4)	V			4			M	0	0	1, 0, 2		1	1
13	13	15/16	15/16	4/4	1	1	V								F	I		V	V						M	0	0	1, 5, 2		1	1
14	14	0	0	4/4	1	1	I\\								F	I		I	I					\\	M	0	0	0, 4, 1		0	0
