mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1	a.i	a	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	4/4	4	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
1	1	3/4	3/4	4/4	4	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	0	0	4/4	4	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	1/2	1/2	4/4	4	1	ii6	a	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
2	2	3/4	3/4	4/4	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
3	3	0	0	4/4	4	1	V/V	a	i		V/V	V				V			M	1	1	2, 6, 3		2	2
3	3	1/4	1/4	4/4	4	1	V6	a	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	1/2	1/2	4/4	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
3	3	3/4	3/4	4/4	4	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	0	0	4/4	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
4	4	1/4	1/4	4/4	4	1	VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
4	4	1/2	1/2	4/4	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
4	4	3/4	3/4	4/4	4	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	0	0	4/4	4	1	iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	1/2	1/2	4/4	4	1	V\\	a	i		V	V						\\	M	1	1	1, 5, 2		1	1
6	6	0	0	4/4	4	1	III.V7	a	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
6	6	1/4	1/4	4/4	4	1	I	a	III		I	I							M	1	0	0, 4, 1		0	0
7	7	0	0	4/4	4	1	IV	a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
7	7	1/2	1/2	4/4	4	1	ii	a	III		ii	ii							m	1	0	2, -1, 3		2	2
8	8	0	0	4/4	4	1	iii	a	III		iii	iii							m	1	0	4, 1, 5		4	4
8	8	1/2	1/2	4/4	4	1	vi	a	III		vi	vi							m	1	0	3, 0, 4		3	3
9	9	0	0	4/4	4	1	IV	a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
9	9	1/2	1/2	4/4	4	1	ii	a	III		ii	ii							m	1	0	2, -1, 3		2	2
9	9	3/4	3/4	4/4	4	1	viio6	a	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
10	10	0	0	4/4	4	1	I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
10	10	1/4	1/4	4/4	4	1	IV7	a	III		IV7	IV		7					Mm7	1	0	-1, 3, 0, -3		-1	-1
10	10	1/2	1/2	4/4	4	1	V(4)	a	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
10	10	3/4	3/4	4/4	4	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
11	11	0	0	4/4	4	1	I\\	a	III		I	I						\\	M	1	0	0, 4, 1		0	0
11	11	1/2	1/2	4/4	4	1	V	a	III		V	V							M	1	0	1, 5, 2		1	1
12	12	0	0	4/4	4	1	ii	a	III		ii	ii							m	1	0	2, -1, 3		2	2
12	12	1/2	1/2	4/4	4	1	vi	a	III		vi	vi							m	1	0	3, 0, 4		3	3
13	13	0	0	4/4	4	1	i.V	a	i		V	V							M	1	1	1, 5, 2		1	1
13	13	1/2	1/2	4/4	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
14	14	0	0	4/4	4	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
14	14	1/2	1/2	4/4	4	1	iio6	a	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
15	15	0	0	4/4	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
15	15	1/4	1/4	4/4	4	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
15	15	1/2	1/2	4/4	4	1	V(4)	a	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
15	15	3/4	3/4	4/4	4	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
16	16	0	0	4/4	4	1	i\\	a	i		i	i						\\	m	1	1	0, -3, 1		0	0
16	16	1/2	1/2	4/4	4	1	V6/III	a	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
