mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1	d.i{	above	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	3/4	3/4	4/4	4	1	#viio6	above	d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	0	0	4/4	4	1	i6	above	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	1/4	1/4	4/4	4	1	iv7	above	d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	1/2	1/2	4/4	4	1	V	above	d	i		V	V							M	1	1	1, 5, 2		1	1
3	3	0	0	4/4	4	1	iv6(2)	above	d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
3	3	1/4	1/4	4/4	4	1	iv6	above	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	1/2	1/2	4/4	4	1	V|HC}	above	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
4	4	0	0	4/4	4	1	v.i{	above	d	v		i	i						{	m	1	1	0, -3, 1		0	0
4	4	3/4	3/4	4/4	4	1	#viio6	above	d	v		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
5	5	0	0	4/4	4	1	i6	above	d	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	1/4	1/4	4/4	4	1	iv7	above	d	v		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
5	5	1/2	1/2	4/4	4	1	V	above	d	v		V	V							M	1	1	1, 5, 2		1	1
6	6	0	0	4/4	4	1	iv6(2)	above	d	v		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
6	6	1/4	1/4	4/4	4	1	iv6	above	d	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	6	1/2	1/2	4/4	4	1	V|HC}	above	d	v		V	V					HC	}	M	1	1	1, 5, 2		1	1
6	6	3/4	3/4	4/4	4	1	{	above	d	v									{		1	1				
7	7	0	0	4/4	4	1	#vi%7	above	d	v		#vi%7	#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
7	7	1/4	1/4	4/4	4	1	#viio	above	d	v		#viio	#vii	o						o	1	1	5, 2, -1		5	5
7	7	1/2	1/2	4/4	4	1	i(4)	above	d	v		i(4)	i			4				m	1	1	0, -1, 1		0	0
7	7	3/4	3/4	4/4	4	1	i	above	d	v		i	i							m	1	1	0, -3, 1		0	0
8	8	0	0	4/4	4	1	ii6(2)	above	d	v		ii6(2)	ii		6	2				m	1	1	-1, 3, -3		2	-1
8	8	1/4	1/4	4/4	4	1	bII6	above	d	v		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
8	8	1/2	1/2	4/4	4	1	V(9)	above	d	v		V(9)	V			9				M	1	1	1, 5, 2	-4	1	1
8	8	3/4	3/4	4/4	4	1	V	above	d	v		V	V							M	1	1	1, 5, 2		1	1
9	9	0	0	4/4	4	1	i	above	d	v		i	i							m	1	1	0, -3, 1		0	0
9	9	1/2	1/2	4/4	4	1	IV(9)	above	d	v		IV(9)	IV			9				M	1	1	-1, 3, 0	1	-1	-1
9	9	3/4	3/4	4/4	4	1	IV	above	d	v		IV	IV							M	1	1	-1, 3, 0		-1	-1
10	10	0	0	4/4	4	1	V7	above	d	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	10	1/4	1/4	4/4	4	1	V(64)	above	d	v		V(64)	V			64				M	1	1	1, 0, -3		1	1
10	10	1/2	1/2	4/4	4	1	V(4)	above	d	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
10	10	3/4	3/4	4/4	4	1	V	above	d	v		V	V							M	1	1	1, 5, 2		1	1
11	11	0	0	4/4	4	1	i|PAC}	above	d	v		i	i					PAC	}	m	1	1	0, -3, 1		0	0
