mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.C.I{	C	I		I	I					{	M	0	0	0, 4, 1		0.0	0.0
1	1	1/4	V6	C	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
1	1	3/8	vi	C	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
2	2	0	V	C	I		V	V						M	0	0	1, 5, 2		1.0	1.0
2	2	1/4	V7	C	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
2	2	3/8	I}	C	I		I	I					}	M	0	0	0, 4, 1		0.0	0.0
3	3	0	V.I6{	C	V		I6	I		6			{	M	0	0	4, 1, 0		0.0	4.0
3	3	1/4	V6	C	V		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
3	3	3/8	vi	C	V		vi	vi						m	0	0	3, 0, 4		3.0	3.0
4	4	0	V(4)	C	V		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
4	4	1/4	V7	C	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
4	4	3/8	I}	C	V		I	I					}	M	0	0	0, 4, 1		0.0	0.0
5	5	0	I.I{	C	I		I	I					{	M	0	0	0, 4, 1		0.0	0.0
5	5	1/4	V	C	I		V	V						M	0	0	1, 5, 2		1.0	1.0
5	5	3/8	I	C	I		I	I						M	0	0	0, 4, 1		0.0	0.0
6	6	0	V(4)	C	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
6	6	1/4	V7	C	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
6	6	3/8	I}	C	I		I	I					}	M	0	0	0, 4, 1		0.0	0.0
7	7	0	{	C	I								{		0	0				
7	7	5/8	v.viio6	C	v		viio6	vii	o	6				o	0	1	-5, -8, -2		-2.0	-5.0
8	8	1/4	i	C	v		i	i						m	0	1	0, -3, 1		0.0	0.0
8	8	3/8	V6	C	v		V6	V		6				M	0	1	5, 2, 1		1.0	5.0
8	8	5/8	V	C	v		V	V						M	0	1	1, 5, 2		1.0	1.0
9	9	0	i6	C	v		i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
9	9	1/4	VII6	C	v		VII6	VII		6				M	0	1	2, -1, -2		-2.0	2.0
9	9	3/8	VI6	C	v		VI6	VI		6				M	0	1	0, -3, -4		-4.0	0.0
9	9	5/8	v6	C	v		v6	v		6				m	0	1	-2, 2, 1		1.0	-2.0
10	10	0	iv6(2)	C	v		iv6(2)	iv		6	2			m	0	1	-4, 0, 1		-1.0	-4.0
10	10	1/4	iv6	C	v		iv6	iv		6				m	0	1	-4, 0, -1		-1.0	-4.0
10	10	3/8	V}	C	v		V	V					}	M	0	1	1, 5, 2		1.0	1.0
11	11	0	VI6{	C	v		VI6	VI		6			{	M	0	1	0, -3, -4		-4.0	0.0
11	11	1/4	v6	C	v		v6	v		6				m	0	1	-2, 2, 1		1.0	-2.0
11	11	3/8	iv6	C	v		iv6	iv		6				m	0	1	-4, 0, -1		-1.0	-4.0
11	11	5/8	III6	C	v		III6	III		6				M	0	1	1, -2, -3		-3.0	1.0
12	12	0	iv6	C	v		iv6	iv		6				m	0	1	-4, 0, -1		-1.0	-4.0
12	12	1/4	III6	C	v		III6	III		6				M	0	1	1, -2, -3		-3.0	1.0
12	12	3/8	.bII6	C	v		bII6	bII		6				M	0	1	-1, -4, -5		-5.0	-1.0
12	12	5/8	i6	C	v		i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
13	13	0	i	C	v		i	i						m	0	1	0, -3, 1		0.0	0.0
13	13	1/4	III	C	v		III	III						M	0	1	-3, 1, -2		-3.0	-3.0
13	13	3/8	IV	C	v		IV	IV						M	0	1	-1, 3, 0		-1.0	-1.0
13	13	9/16	V2	C	v		V2	V		2				Mm7	0	1	-1, 1, 5, 2		1.0	-1.0
13	13	5/8	i	C	v		i	i						m	0	1	0, -3, 1		0.0	0.0
14	14	0	V(4)	C	v		V(4)	V			4			M	0	1	1, 0, 2		1.0	1.0
14	14	1/4	V	C	v		V	V						M	0	1	1, 5, 2		1.0	1.0
14	14	3/8	i}	C	v		i	i					}	m	0	1	0, -3, 1		0.0	0.0
14	14	5/8	v6{	C	v		v6	v		6			{	m	0	1	-2, 2, 1		1.0	-2.0
15	15	0	VI	C	v		VI	VI						M	0	1	-4, 0, -3		-4.0	-4.0
15	15	3/8	V(64)	C	v		V(64)	V			64			M	0	1	1, 0, -3		1.0	1.0
15	15	5/8	V7	C	v		V7	V		7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
16	16	0	I.vi}{	C	I		vi	vi					}{	m	0	0	3, 0, 4		3.0	3.0
16	16	3/8	IVM65	C	I		IVM65	IV	M	65				MM7	0	0	3, 0, 4, -1		-1.0	3.0
17	17	0	viio	C	I		viio	vii	o					o	0	0	5, 2, -1		5.0	5.0
17	17	3/8	V65	C	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
18	18	0	I}	C	I		I	I					}	M	0	0	0, 4, 1		0.0	0.0
18	18	3/8	{	C	I								{		0	0				
18	18	5/8	viio6	C	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
19	19	0	I6	C	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
19	19	1/4	IVM7	C	I		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
19	19	3/8	V(4)	C	I		V(4)	V			4			M	0	0	1, 0, 2		1.0	1.0
19	19	5/8	V	C	I		V	V						M	0	0	1, 5, 2		1.0	1.0
20	20	0	I}{	C	I		I	I					}{	M	0	0	0, 4, 1		0.0	0.0
20	20	1/4	V6	C	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
20	20	3/8	vi	C	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
21	21	0	V	C	I		V	V						M	0	0	1, 5, 2		1.0	1.0
21	21	1/4	V7	C	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
21	21	3/8	I}	C	I		I	I					}	M	0	0	0, 4, 1		0.0	0.0
21	21	5/8	viio6/V	C	I		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6.0	3.0
22	22	0	V{	C	I		V	V					{	M	0	0	1, 5, 2		1.0	1.0
22	22	1/4	V/V	C	I		V/V	V				V		M	0	0	2, 6, 3		2.0	2.0
