mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	4	1		d.i{		below	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	4/4	4	1		ii2		below	d	i		ii2	ii		2					mm7	1	1	0, 2, -1, 3		2	0
1	1	3/4	3/4	4/4	4	1		#viio7		below	d	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
2	2	0	0	4/4	4	1		i|IAC}		below	d	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
3	3	0	0	4/4	4	1		i{		below	d	i		i	i						{	m	1	1	0, -3, 1		0	0
3	3	3/8	3/8	4/4	4	1		V2/iv		below	d	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
3	3	1/2	1/2	4/4	4	1		iv6		below	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	3/4	3/4	4/4	4	1		V65/iv		below	d	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
4	4	0	0	4/4	4	1		iv(9)		below	d	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
4	4	1/4	1/4	4/4	4	1		iv		below	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	1/2	1/2	4/4	4	1		V65		below	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	4	3/4	3/4	4/4	4	1		i		below	d	i		i	i							m	1	1	0, -3, 1		0	0
5	5	0	0	4/4	4	1		iv		below	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	5	1/4	1/4	4/4	4	1		V65/V		below	d	i		V65/V	V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
5	5	1/2	1/2	4/4	4	1		V(64)		below	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
5	5	3/4	3/4	4/4	4	1		V		below	d	i		V	V							M	1	1	1, 5, 2		1	1
6	6	0	0	4/4	4	1		i|PAC}{		below	d	i		i	i					PAC	}{	m	1	1	0, -3, 1		0	0
6	6	1/4	1/4	4/4	4	1		v6		below	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
6	6	1/2	1/2	4/4	4	1		iv6(2)		below	d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
6	6	3/4	3/4	4/4	4	1		iv6		below	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
7	7	0	0	4/4	4	1		V|HC}		below	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
7	7	1/2	1/2	4/4	4	1		{		below	d	i									{		1	1				
7	7	3/4	3/4	4/4	4	1		V6		below	d	i		V6	V		6					M	1	1	5, 2, 1		1	5
8	8	0	0	4/4	4	1		i(9)		below	d	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
8	8	1/4	1/4	4/4	4	1		i6		below	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	8	1/2	1/2	4/4	4	1		v(4)		below	d	i		v(4)	v			4				m	1	1	1, 0, 2		1	1
8	8	3/4	3/4	4/4	4	1		v		below	d	i		v	v							m	1	1	1, -2, 2		1	1
9	9	0	0	4/4	4	1		IVM65/III		below	d	i		IVM65/III	IV	M	65		III			MM7	1	1	0, -3, 1, -4		-4	0
9	9	1/4	1/4	4/4	4	1		V65/III		below	d	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
9	9	1/2	1/2	4/4	4	1		I(9)/III		below	d	i		I(9)/III	I			9	III			M	1	1	-3, 1, -2	-1	-3	-3
9	9	3/4	3/4	4/4	4	1		I6/III		below	d	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
10	10	0	0	4/4	4	1		IV65		below	d	i		IV65	IV		65					Mm7	1	1	3, 0, -3, -1		-1	3
10	10	1/4	1/4	4/4	4	1		V65		below	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
10	10	1/2	1/2	4/4	4	1		i(9)		below	d	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
10	10	3/4	3/4	4/4	4	1		i		below	d	i		i	i							m	1	1	0, -3, 1		0	0
11	11	0	0	4/4	4	1		v.V7		below	d	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	11	1/4	1/4	4/4	4	1		VI		below	d	v		VI	VI							M	1	1	-4, 0, -3		-4	-4
11	11	3/8	3/8	4/4	4	1		i6		below	d	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
11	11	1/2	1/2	4/4	4	1		ii%65		below	d	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
11	11	5/8	5/8	4/4	4	1		ii%7		below	d	v		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
11	11	3/4	3/4	4/4	4	1		V(4)		below	d	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
11	11	7/8	7/8	4/4	4	1		V		below	d	v		V	V							M	1	1	1, 5, 2		1	1
12	12	0	0	4/4	4	1		i|PAC}		below	d	v		i	i					PAC	}	m	1	1	0, -3, 1		0	0
12	12	1/4	1/4	4/4	4	1		{		below	d	v									{		1	1				
12	12	1/2	1/2	4/4	4	1		III.IV(9)		below	d	III		IV(9)	IV			9				M	1	0	-1, 3, 0	1	-1	-1
12	12	3/4	3/4	4/4	4	1		IV6		below	d	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
13	13	0	0	4/4	4	1		V(4)		below	d	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
