mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	4/4	4	1	F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	2	1.0	1/2	1/2	4/4	4	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
1	1	3	1.0	3/4	3/4	4/4	4	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	4	2.0	0	0	4/4	4	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
2	2	6	2.0	1/2	1/2	4/4	4	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	8	1.0	0	0	4/4	4	1	IV(9)	F	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
3	3	9	0.5	1/4	1/4	4/4	4	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	19/2	0.5	3/8	3/8	4/4	4	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
3	3	10	1.0	1/2	1/2	4/4	4	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	11	0.5	3/4	3/4	4/4	4	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	23/2	0.5	7/8	7/8	4/4	4	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	12	1.0	0	0	4/4	4	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
4	4	13	0.5	1/4	1/4	4/4	4	1	V(4)	F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
4	4	27/2	0.5	3/8	3/8	4/4	4	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
4	4	14	4.0	1/2	1/2	4/4	4	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
5	5	16	0.0	0	0	4/4	4	1	{	F	I									{		0	0				
5	5	18	1.0	1/2	1/2	4/4	4	1	V.I(4)	F	V		I(4)	I			4				M	0	0	0, -1, 1		0	0
5	5	19	1.0	3/4	3/4	4/4	4	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
6	6	20	1.0	0	0	4/4	4	1	ii(9)	F	V		ii(9)	ii			9				m	0	0	2, -1, 3	4	2	2
6	6	21	1.0	1/4	1/4	4/4	4	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	22	1.0	1/2	1/2	4/4	4	1	I(9)	F	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
6	6	23	0.5	3/4	3/4	4/4	4	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
6	6	47/2	0.5	7/8	7/8	4/4	4	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	24	1.0	0	0	4/4	4	1	ii65	F	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
7	7	25	1.0	1/4	1/4	4/4	4	1	V(4)	F	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
7	7	26	0.5	1/2	1/2	4/4	4	1	vi(11)	F	V		vi(11)	vi			11				m	0	0	3, 0, 4	2	3	3
7	7	53/2	0.5	5/8	5/8	4/4	4	1	vi	F	V		vi	vi							m	0	0	3, 0, 4		3	3
7	7	27	1.0	3/4	3/4	4/4	4	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	28	1.0	0	0	4/4	4	1	ii65	F	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
8	8	29	0.5	1/4	1/4	4/4	4	1	V(4)	F	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
8	8	59/2	0.5	3/8	3/8	4/4	4	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1
8	8	30	1.0	1/2	1/2	4/4	4	1	I|PAC}	F	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
8	8	31	1.0	3/4	3/4	4/4	4	1	I.I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
9	9	32	1.0	0	0	4/4	4	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
9	9	33	1.0	1/4	1/4	4/4	4	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
9	9	34	1.0	1/2	1/2	4/4	4	1	I(9)	F	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
9	9	35	1.0	3/4	3/4	4/4	4	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
10	10	36	1.0	0	0	4/4	4	1	IVM65	F	I		IVM65	IV	M	65					MM7	0	0	3, 0, 4, -1		-1	3
10	10	37	1.0	1/4	1/4	4/4	4	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	38	1.0	1/2	1/2	4/4	4	1	I(9)	F	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
10	10	39	1.0	3/4	3/4	4/4	4	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	11	40	1.0	0	0	4/4	4	1	vi.IV65	F	vi		IV65	IV		65					Mm7	0	1	3, 0, -3, -1		-1	3
11	11	41	1.0	1/4	1/4	4/4	4	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
11	11	42	1.0	1/2	1/2	4/4	4	1	i(9)	F	vi		i(9)	i			9				m	0	1	0, -3, 1	2	0	0
11	11	43	0.5	3/4	3/4	4/4	4	1	i	F	vi		i	i							m	0	1	0, -3, 1		0	0
11	11	87/2	0.5	7/8	7/8	4/4	4	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
12	12	44	1.0	0	0	4/4	4	1	ii%65	F	vi		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
12	12	45	0.5	1/4	1/4	4/4	4	1	V(4)	F	vi		V(4)	V			4				M	0	1	1, 0, 2		1	1
12	12	91/2	0.5	3/8	3/8	4/4	4	1	V	F	vi		V	V							M	0	1	1, 5, 2		1	1
12	12	46	1.0	1/2	1/2	4/4	4	1	i|PAC}	F	vi		i	i					PAC	}	m	0	1	0, -3, 1		0	0
12	12	47	1.0	3/4	3/4	4/4	4	1	I.IV6{	F	I		IV6	IV		6				{	M	0	0	3, 0, -1		-1	3
13	13	48	1.0	0	0	4/4	4	1	I(4)	F	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
13	13	49	1.0	1/4	1/4	4/4	4	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
