mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	4/4	3	1	d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	3	1.0	3/4	3/4	4/4	3	1	iv64	d	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
2	2	4	3.0	0	0	4/4	3	1	V65}	d	i		V65	V		65				}	Mm7	1	1	5, 2, -1, 1		1	5
2	2	7	1.0	3/4	3/4	4/4	3	1	i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
3	3	8	3.0	0	0	4/4	3	1	V2/iv	d	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
3	3	11	1.0	3/4	3/4	4/4	3	1	iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	12	3.0	0	0	4/4	3	1	V65/iv}	d	i		V65/iv	V		65		iv		}	Mm7	1	1	4, 1, -2, 0		0	4
4	4	15	1.0	3/4	3/4	4/4	3	1	iv{	d	i		iv	iv						{	m	1	1	-1, -4, 0		-1	-1
5	5	16	2.0	0	0	4/4	3	1	V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
5	5	18	2.0	1/2	1/2	4/4	3	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
6	6	20	2.0	0	0	4/4	3	1	iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	6	22	2.0	1/2	1/2	4/4	3	1	V|HC}	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
