mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	12/8	4	1	b.i{	b	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	2	2	4.0	1/2	1/2	12/8	4	1	v6	b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
2	2	6	6	1.0	0	0	12/8	4	1	iv6(2)	b	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
2	2	7	7	1.0	1/4	1/4	12/8	4	1	iv6	b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	2	8	8	1.0	1/2	1/2	12/8	4	1	V|HC}	b	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
2	2	9	9	3.0	3/4	3/4	12/8	4	1	i6{	b	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
3	3	12	12	1.0	0	0	12/8	4	1	iv(9)	b	i		iv(9)	iv			9				m	1	1	-1, -4, 0	1	-1	-1
3	3	13	13	1.0	1/4	1/4	12/8	4	1	iv	b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	14	14	1.0	1/2	1/2	12/8	4	1	V7	b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	15	15	3.0	3/4	3/4	12/8	4	1	VI	b	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
4	4	18	18	1.0	0	0	12/8	4	1	ii%65	b	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
4	4	19	19	1.0	1/4	1/4	12/8	4	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
4	4	20	20	4.0	1/2	1/2	12/8	4	1	i|PAC}	b	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
4	4	21	21	0.0	3/4	3/4	12/8	4	1	{	b	i									{		1	1				
5	5	24	24	1.0	0	0	12/8	4	1	ii%2	b	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
5	5	25	25	1.0	1/4	1/4	12/8	4	1	V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	5	26	26	1.0	1/2	1/2	12/8	4	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
5	5	27	27	3.0	3/4	3/4	12/8	4	1	III	b	i		III	III							M	1	1	-3, 1, -2		-3	-3
6	6	30	30	1.0	0	0	12/8	4	1	ii2/III	b	i		ii2/III	ii		2		III			mm7	1	1	-3, -1, -4, 0		-1	-3
6	6	31	31	1.0	1/4	1/4	12/8	4	1	V6/III	b	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
6	6	32	32	4.0	1/2	1/2	12/8	4	1	III	b	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	7	36	36	2.0	0	0	12/8	4	1	V6/iv	b	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
7	7	38	38	1.0	1/2	1/2	12/8	4	1	iv	b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	7	39	39	3.0	3/4	3/4	12/8	4	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
8	8	42	42	1.0	0	0	12/8	4	1	iv6(2)	b	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
8	8	43	43	1.0	1/4	1/4	12/8	4	1	iv6	b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
8	8	44	44	4.0	1/2	1/2	12/8	4	1	V|HC}	b	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
9	9	48	48	2.0	0	0	12/8	4	1	III.I{	b	III		I	I						{	M	1	0	0, 4, 1		0	0
9	9	50	50	1.0	1/2	1/2	12/8	4	1	V6	b	III		V6	V		6					M	1	0	5, 2, 1		1	5
9	9	51	51	3.0	3/4	3/4	12/8	4	1	V	b	III		V	V							M	1	0	1, 5, 2		1	1
10	10	54	54	2.0	0	0	12/8	4	1	I	b	III		I	I							M	1	0	0, 4, 1		0	0
10	10	56	56	4.0	1/2	1/2	12/8	4	1	iv.i	b	iv		i	i							m	1	1	0, -3, 1		0	0
11	11	60	60	1.0	0	0	12/8	4	1	V6	b	iv		V6	V		6					M	1	1	5, 2, 1		1	5
11	11	61	61	1.0	1/4	1/4	12/8	4	1	V	b	iv		V	V							M	1	1	1, 5, 2		1	1
11	11	62	62	4.0	1/2	1/2	12/8	4	1	i	b	iv		i	i							m	1	1	0, -3, 1		0	0
12	12	66	66	1.0	0	0	12/8	4	1	iv	b	iv		iv	iv							m	1	1	-1, -4, 0		-1	-1
12	12	67	67	1.0	1/4	1/4	12/8	4	1	iio6	b	iv		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
12	12	68	68	1.0	1/2	1/2	12/8	4	1	V	b	iv		V	V							M	1	1	1, 5, 2		1	1
