mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	3	1	G.I{	above	G	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
1	1	1/2	1/2	2/2	3	1	I	above	G	I		I	I							M	0	0	0, 4, 1		0	0
1	1	3/4	3/4	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
2	2	0	0	2/2	3	1	vi	above	G	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	1/4	1/4	2/2	3	1	V/vi	above	G	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
2	2	1/2	1/2	2/2	3	1	vi	above	G	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	3/4	3/4	2/2	3	1	V/vi	above	G	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
3	3	0	0	2/2	3	1	vi	above	G	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	1/4	1/4	2/2	3	1	I	above	G	I		I	I							M	0	0	0, 4, 1		0	0
3	3	1/2	1/2	2/2	3	1	IV	above	G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	3/4	3/4	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
4	4	0	0	2/2	3	1	ii6	above	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	1/2	1/2	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
5	5	1/4	1/4	2/2	3	1	V	above	G	I		V	V							M	0	0	1, 5, 2		1	1
5	5	1/2	1/2	2/2	3	1	vi7	above	G	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
6	6	1/4	1/4	2/2	2	1	viio		G	I		viio	vii	o						o	0	0	5, 2, -1		5	5
6	6	1/2	1/2	2/2	2	1	I(4)		G	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
6	6	3/4	3/4	2/2	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
