mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	1	d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	4/4	3	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
2	2	0	0	4/4	3	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
2	2	1/2	1/2	4/4	3	1	V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
3	3	0	0	4/4	3	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	1/4	1/4	4/4	3	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	1/2	1/2	4/4	3	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
3	3	3/4	3/4	4/4	3	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
4	4	0	0	4/4	3	1	iv6(2)		d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
4	4	1/4	1/4	4/4	3	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	1/2	1/2	4/4	3	1	V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
5	5	0	0	4/4	3	1	III.V/ii{		d	III		V/ii	V				ii		{	M	1	0	3, 7, 4		3	3
5	5	1/2	1/2	4/4	3	1	ii6		d	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
5	5	3/4	3/4	4/4	3	1	ii		d	III		ii	ii							m	1	0	2, -1, 3		2	2
6	6	0	0	4/4	3	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
6	6	1/2	1/2	4/4	3	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
6	6	3/4	3/4	4/4	3	1	I		d	III		I	I							M	1	0	0, 4, 1		0	0
7	7	0	0	4/4	3	1	IV		d	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
7	7	1/4	1/4	4/4	3	1	IV6		d	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
7	7	3/8	3/8	4/4	3	1	ii6		d	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
7	7	1/2	1/2	4/4	3	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
7	7	3/4	3/4	4/4	3	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
8	8	0	0	4/4	3	1	ii65		d	III		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
8	8	1/4	1/4	4/4	3	1	V7(4)		d	III		V7(4)	V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
8	8	3/8	3/8	4/4	3	1	V		d	III		V	V							M	1	0	1, 5, 2		1	1
8	8	1/2	1/2	4/4	3	1	I|PAC}{		d	III		I	I					PAC	}{	M	1	0	0, 4, 1		0	0
8	8	3/4	3/4	4/4	3	1	I6		d	III		I6	I		6					M	1	0	4, 1, 0		0	4
9	9	0	0	4/4	3	1	V(4)		d	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
9	9	1/4	1/4	4/4	3	1	V6		d	III		V6	V		6					M	1	0	5, 2, 1		1	5
9	9	3/8	3/8	4/4	3	1	v.V65/iv		d	v		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
