mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
26	26	1/2	1/2	4/4	3	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
26	26	3/4	3/4	4/4	3	1	vi				vi	vi								m	-4, -7, -3		-4	-4
27	27	0	0	4/4	3	1	ii7(9)				ii7(9)	ii		7	9					mm7	2, -1, 3, 0	-3	2	2
27	27	1/4	1/4	4/4	3	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
27	27	1/2	1/2	4/4	3	1	I(9)				I(9)	I			9					M	0, 4, 1	2	0	0
27	27	3/4	3/4	4/4	3	1	I6				I6	I		6						M	4, 1, 0		0	4
28	28	0	0	4/4	3	1	V(5)				V(5)	V			5					M	1, 5, 2		1	1
28	28	1/4	1/4	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
28	28	1/2	1/2	4/4	3	1	ii2/V				ii2/V	ii		2		V				mm7	1, 3, 0, 4		3	1
28	28	3/4	3/4	4/4	3	1	V65/V				V65/V	V		65		V				Mm7	6, 3, 0, 2		2	6
29	29	0	0	4/4	3	1	V|HC}{				V	V						HC	}{	M	1, 5, 2		1	1
29	29	1/4	1/4	4/4	3	1	I6				I6	I		6						M	4, 1, 0		0	4
29	29	1/2	1/2	4/4	3	1	IV				IV	IV								M	-1, 3, 0		-1	-1
29	29	3/4	3/4	4/4	3	1	ii6				ii6	ii		6						m	-1, 3, 2		2	-1
30	30	0	0	4/4	3	1	V				V	V								M	1, 5, 2		1	1
30	30	1/4	1/4	4/4	3	1	iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
30	30	1/2	1/2	4/4	3	1	vi				vi	vi								m	-4, -7, -3		-4	-4
30	30	3/4	3/4	4/4	3	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
31	31	0	0	4/4	3	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
31	31	1/8	1/8	4/4	3	1	iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
31	31	1/4	1/4	4/4	3	1	vi				vi	vi								m	-4, -7, -3		-4	-4
31	31	3/8	3/8	4/4	3	1	I6				I6	I		6						M	4, 1, 0		0	4
31	31	1/2	1/2	4/4	3	1	ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
31	31	3/4	3/4	4/4	3	1	V				V	V								M	1, 5, 2		1	1
32	32	0	0	4/4	3	1	I|PAC}{				I	I						PAC	}{	M	0, 4, 1		0	0
32	32	1/4	1/4	4/4	3	1	I6				I6	I		6						M	4, 1, 0		0	4
32	32	1/2	1/2	4/4	3	1	IV(9)				IV(9)	IV			9					M	-1, 3, 0	1	-1	-1
32	32	3/4	3/4	4/4	3	1	IV6				IV6	IV		6						M	3, 0, -1		-1	3
33	33	0	0	4/4	3	1	V|HC}				V	V						HC	}	M	1, 5, 2		1	1
