mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	1	1/2	1/2	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
2	2	0	0	4/4	3	1	vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
2	2	1/2	1/2	4/4	3	1	V				V	V								M	1, 5, 2		1	1
3	3	0	0	4/4	3	1	I				I	I								M	0, 4, 1		0	0
3	3	1/4	1/4	4/4	3	1	I6				I6	I		6						M	4, 1, 0		0	4
3	3	1/2	1/2	4/4	3	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
3	3	3/4	3/4	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
4	4	0	0	4/4	3	1	vi(9)				vi(9)	vi			9					m	-4, -7, -3	-2	-4	-4
4	4	1/4	1/4	4/4	3	1	vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
4	4	1/2	1/2	4/4	3	1	iii(4)				iii(4)	iii			4					m	-3, -4, -2		-3	-3
4	4	3/4	3/4	4/4	3	1	iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
5	5	0	0	4/4	3	1	IV(9)				IV(9)	IV			9					M	-1, 3, 0	1	-1	-1
5	5	1/4	1/4	4/4	3	1	ii%43				ii%43	ii	%	43						%7	-4, 0, 2, -1		2	-4
5	5	1/2	1/2	4/4	3	1	V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
5	5	3/4	3/4	4/4	3	1	vi				vi	vi								m	-4, -7, -3		-4	-4
6	6	0	0	4/4	3	1	ii(9)				ii(9)	ii			9					m	2, -1, 3	-3	2	2
6	6	1/4	1/4	4/4	3	1	V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
6	6	1/2	1/2	4/4	3	1	I(9)				I(9)	I			9					M	0, 4, 1	2	0	0
6	6	3/4	3/4	4/4	3	1	I6				I6	I		6						M	4, 1, 0		0	4
6	6	7/8	7/8	4/4	3	1	vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
7	7	1/4	1/4	4/4	3	1	vi/V				vi/V	vi				V				m	4, 1, 5		4	4
7	7	1/2	1/2	4/4	3	1	ii65/V				ii65/V	ii		65		V				mm7	0, 4, 1, 3		3	0
7	7	3/4	3/4	4/4	3	1	V/V				V/V	V				V				M	2, 6, 3		2	2
8	8	0	0	4/4	3	1	V|HC}{				V	V						HC	}{	M	1, 5, 2		1	1
8	8	1/2	1/2	4/4	3	1	I6				I6	I		6						M	4, 1, 0		0	4
9	9	0	0	4/4	3	1	IV				IV	IV								M	-1, 3, 0		-1	-1
9	9	1/2	1/2	4/4	3	1	V6/V				V6/V	V		6		V				M	6, 3, 2		2	6
10	10	0	0	4/4	3	1	V				V	V								M	1, 5, 2		1	1
10	10	1/2	1/2	4/4	3	1	V6/vi				V6/vi	V		6		vi				M	1, -2, -3		-3	1
11	11	0	0	4/4	3	1	vi				vi	vi								m	-4, -7, -3		-4	-4
11	11	1/2	1/2	4/4	3	1	iv.iv		iv		iv	iv								m	-1, -4, 0		-1	-1
11	11	3/4	3/4	4/4	3	1	iio64				iio64	ii	o	64						o	-4, 2, -1		2	-4
11	11	7/8	7/8	4/4	3	1	iv7				iv7	iv		7						mm7	-1, -4, 0, -3		-1	-1
12	12	0	0	4/4	3	1	V				V	V								M	1, 5, 2		1	1
12	12	1/4	1/4	4/4	3	1	i6				i6	i		6						m	-3, 1, 0		0	-3
12	12	1/2	1/2	4/4	3	1	ii%65				ii%65	ii	%	65						%7	-1, -4, 0, 2		2	-1
12	12	3/4	3/4	4/4	3	1	V				V	V								M	1, 5, 2		1	1
13	13	0	0	4/4	3	1	i|PAC}{				i	i						PAC	}{	m	0, -3, 1		0	0
13	13	1/2	1/2	4/4	3	1	V				V	V								M	1, 5, 2		1	1
13	13	3/4	3/4	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
14	14	0	0	4/4	3	1	i|IAC}{				i	i						IAC	}{	m	0, -3, 1		0	0
14	14	1/2	1/2	4/4	3	1	V				V	V								M	1, 5, 2		1	1
14	14	3/4	3/4	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
15	15	0	0	4/4	3	1	i|IAC}{				i	i						IAC	}{	m	0, -3, 1		0	0
15	15	1/2	1/2	4/4	3	1	V.V		V		V	V								M	1, 5, 2		1	1
15	15	3/4	3/4	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
16	16	0	0	4/4	3	1	I|IAC}{				I	I						IAC	}{	M	0, 4, 1		0	0
16	16	1/2	1/2	4/4	3	1	V				V	V								M	1, 5, 2		1	1
16	16	3/4	3/4	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
17	17	0	0	4/4	3	1	I|IAC}{				I	I						IAC	}{	M	0, 4, 1		0	0
17	17	1/2	1/2	4/4	3	1	iii.V		iii		V	V								M	1, 5, 2		1	1
17	17	3/4	3/4	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
18	18	0	0	4/4	3	1	i|IAC}{				i	i						IAC	}{	m	0, -3, 1		0	0
18	18	1/2	1/2	4/4	3	1	V				V	V								M	1, 5, 2		1	1
18	18	3/4	3/4	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
19	19	0	0	4/4	3	1	VI6				VI6	VI		6						M	0, -3, -4		-4	0
19	19	1/4	1/4	4/4	3	1	v6				v6	v		6						m	-2, 2, 1		1	-2
19	19	1/2	1/2	4/4	3	1	iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
19	19	3/4	3/4	4/4	3	1	iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
20	20	1/4	1/4	4/4	3	1	i6				i6	i		6						m	-3, 1, 0		0	-3
20	20	1/2	1/2	4/4	3	1	#viio6				#viio6	#vii	o	6						o	2, -1, 5		5	2
20	20	3/4	3/4	4/4	3	1	i				i	i								m	0, -3, 1		0	0
21	21	0	0	4/4	3	1	V(5)				V(5)	V			5					M	1, 5, 2		1	1
21	21	1/4	1/4	4/4	3	1	V				V	V								M	1, 5, 2		1	1
21	21	1/2	1/2	4/4	3	1	i|PAC}				i	i						PAC	}	m	0, -3, 1		0	0
22	22	1/2	1/2	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
23	23	0	0	4/4	3	1	vi7				vi7	vi		7						mm7	-4, -7, -3, -6		-4	-4
23	23	1/2	1/2	4/4	3	1	V				V	V								M	1, 5, 2		1	1
24	24	0	0	4/4	3	1	I				I	I								M	0, 4, 1		0	0
24	24	1/4	1/4	4/4	3	1	I6				I6	I		6						M	4, 1, 0		0	4
24	24	1/2	1/2	4/4	3	1	V(4)				V(4)	V			4					M	1, 0, 2		1	1
24	24	3/4	3/4	4/4	3	1	V6				V6	V		6						M	5, 2, 1		1	5
25	25	0	0	4/4	3	1	vi(9)				vi(9)	vi			9					m	-4, -7, -3	-2	-4	-4
25	25	1/4	1/4	4/4	3	1	vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
25	25	1/2	1/2	4/4	3	1	iii(4)				iii(4)	iii			4					m	-3, -4, -2		-3	-3
25	25	3/4	3/4	4/4	3	1	iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
26	26	0	0	4/4	3	1	IV(9)				IV(9)	IV			9					M	-1, 3, 0	1	-1	-1
26	26	1/4	1/4	4/4	3	1	ii%43				ii%43	ii	%	43						%7	-4, 0, 2, -1		2	-4
