mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.g.i	g	i		i	i						m	1	1	0, -3, 1		0.0	0.0
1	1	1/2	ii%2	g	i		ii%2	ii	%	2				%7	1	1	0, 2, 1, 8		2.0	0.0
1	1	3/4	v6	g	i		v6	v		6				m	1	1	-2, 2, 1		1.0	-2.0
2	2	0	VI	g	i		VI	VI						M	1	1	-4, 0, -3		-4.0	-4.0
2	2	1/4	VI6	g	i		VI6	VI		6				M	1	1	0, -3, -4		-4.0	0.0
2	2	1/2	III	g	i		III	III						M	1	1	-3, 1, -2		-3.0	-3.0
2	2	3/4	V65/iv	g	i		V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0.0	4.0
3	3	0	iv	g	i		iv	iv						m	1	1	-1, -4, 0		-1.0	-1.0
3	3	1/4	V65	g	i		V65	V		65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
3	3	1/2	i	g	i		i	i						m	1	1	0, -3, 1		0.0	0.0
3	3	5/8	iv	g	i		iv	iv						m	1	1	-1, -4, 0		-1.0	-1.0
3	3	3/4	V(4)	g	i		V(4)	V			4			M	1	1	1, 0, 2		1.0	1.0
3	3	7/8	V	g	i		V	V						M	1	1	1, 5, 2		1.0	1.0
4	4	0	i\\	g	i		i	i					\\	m	1	1	0, -3, 1		0.0	0.0
4	4	1/2	v6	g	i		v6	v		6				m	1	1	-2, 2, 1		1.0	-2.0
4	4	7/8	v	g	i		v	v						m	1	1	1, -2, 2		1.0	1.0
5	5	0	V(4)/v	g	i		V(4)/v	V			4	v		M	1	1	2, 1, 3		2.0	2.0
5	5	1/4	V/v	g	i		V/v	V				v		M	1	1	2, 6, 3		2.0	2.0
5	5	1/2	VI\\	g	i		VI	VI					\\	M	1	1	-4, 0, -3		-4.0	-4.0
5	5	5/8	i	g	i		i	i						m	1	1	0, -3, 1		0.0	0.0
5	5	7/8	iv	g	i		iv	iv						m	1	1	-1, -4, 0		-1.0	-1.0
6	6	0	V	g	i		V	V						M	1	1	1, 5, 2		1.0	1.0
6	6	1/2	i\\	g	i		i	i					\\	m	1	1	0, -3, 1		0.0	0.0
6	6	7/8	i6	g	i		i6	i		6				m	1	1	-3, 1, 0		0.0	-3.0
