mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5/8	3/4	4	1		A.I		A	I		I	I							M	0	0	0, 4, 1		0	0
3	2	0	0	3/4	4	1		V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	2	1/4	1/4	3/4	4	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
3	2	1/2	1/2	3/4	4	1		viio		A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
4	3	0	0	3/4	4	1		I\\		A	I		I	I						\\	M	0	0	0, 4, 1		0	0
4	3	5/8	5/8	3/4	4	1		vii%43/V		A	I		vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
5	4	0	0	3/4	4	1		V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	5	0	0	3/4	4	1		ii7/V		A	I		ii7/V	ii		7		V			mm7	0	0	3, 0, 4, 1		3	3
6	5	1/4	1/4	3/4	4	1		V/V		A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
6	5	1/2	1/2	3/4	4	1		V7/V		A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
7	6	0	0	3/4	4	1		I/V\\		A	I		I/V	I				V		\\	M	0	0	1, 5, 2		1	1
7	6	1/4	1/4	3/4	4	1		iii6		A	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
7	6	1/2	1/2	3/4	4	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
8	7	0	0	3/4	4	1		vi2		A	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
8	7	1/4	1/4	3/4	4	1		ii6		A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
9	8	0	0	3/4	4	1		V2		A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
9	8	1/4	1/4	3/4	4	1		iii		A	I		iii	iii							m	0	0	4, 1, 5		4	4
9	8	1/2	1/2	3/4	4	1		I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	9	0	0	3/4	4	1		IV		A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	9	1/4	1/4	3/4	4	1		IV6		A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
10	9	1/2	1/2	3/4	4	1		ii6		A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
11	10	0	0	3/4	4	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
11	10	1/4	1/4	3/4	4	1		V2		A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
11	10	1/2	1/2	3/4	4	1		I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	11	0	0	3/4	4	1		IV	ii65	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	11	1/4	1/4	3/4	4	1		V(4)		A	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
12	11	5/8	5/8	3/4	4	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
13	12	0	0	3/4	4	1		I\\		A	I		I	I						\\	M	0	0	0, 4, 1		0	0
14	13	0	0	3/4	4	1		V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	13	1/4	1/4	3/4	4	1		V		A	I		V	V							M	0	0	1, 5, 2		1	1
14	13	1/2	1/2	3/4	4	1		V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	14	0	0	3/4	4	1		I		A	I		I	I							M	0	0	0, 4, 1		0	0
16	15	0	0	3/4	4	1		V.V		A	V		V	V							M	0	0	1, 5, 2		1	1
17	16	0	0	3/4	4	1		I\\		A	V		I	I						\\	M	0	0	0, 4, 1		0	0
18	17	0	0	3/4	4	1		V6		A	V		V6	V		6					M	0	0	5, 2, 1		1	5
18	17	1/2	1/2	3/4	4	1		iii7		A	V		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
19	18	0	0	3/4	4	1		IV6(9)		A	V		IV6(9)	IV		6	9				M	0	0	3, 0, -1	1	-1	3
