mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-2	3/2	3/2	0	firstMeasure					2
2	2	-2	3/2	3/2	0						3
3	3	-2	3/2	3/2	0						4
4	4	-2	3/2	3/2	0						5
5	5	-2	3/2	3/2	0						6
6	6	-2	3/2	3/2	0						7
7	7	-2	3/2	3/2	0						8
8	8	-2	3/2	3/2	0						9
9	9	-2	3/2	3/2	0						10
10	10	-2	3/2	3/2	0						11
11	11	-2	3/2	3/2	0						12
12	12	-2	3/2	3/2	0						13
13	13	-2	3/2	3/2	0						14
14	14	-2	3/2	3/2	0						15
15	15	-2	3/2	3/2	0						16
16	16	-2	3/2	3/2	0						17
17	17	-2	3/2	3/2	0						18
18	18	-2	3/2	3/2	0						19
19	19	-2	3/2	3/2	0						20
20	20	-2	3/2	3/2	0						21
21	21	-2	3/2	3/2	0						22
22	22	-2	3/2	3/2	0						23
23	23	-2	3/2	3/2	0						24
24	24	-2	3/2	3/2	0						25
25	25	-2	3/2	3/2	0						26
26	26	-2	3/2	3/2	0						27
27	27	-2	3/2	3/2	0						28
28	28	-2	3/2	3/2	0						29
29	29	-2	3/2	3/2	0						30
30	30	-2	3/2	3/2	0	lastMeasure		end			-1
