mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	3.0	0	12/8	3/4	0						firstMeasure	2
2	1	3	3	3.0	0	12/8	3/4	3/4			1			start	3
3	2	6	6	6.0	0	12/8	3/2	0							4
4	3	12	12	6.0	0	12/8	3/2	0							5
5	4	18	18	6.0	0	12/8	3/2	0							6
6	5	24	24	6.0	0	12/8	3/2	0							7
7	6	30	30	6.0	0	12/8	3/2	0							8
8	7	36	36	6.0	0	12/8	3/2	0							9
9	8	42	42	6.0	0	12/8	3/2	0							10
10	9	48	48	6.0	0	12/8	3/2	0							11
11	10	54	54	6.0	0	12/8	3/2	0							12, 13
12	11		60	3.0	0	12/8	3/4	0	1					end	2
13	11	60	63	3.0	0	12/8	3/4	0	2	-1					14
14	11	63	66	3.0	0	12/8	3/4	3/4			1			start	15
15	12	66	69	6.0	0	12/8	3/2	0							16
16	13	72	75	6.0	0	12/8	3/2	0							17
17	14	78	81	6.0	0	12/8	3/2	0							18
18	15	84	87	6.0	0	12/8	3/2	0							19
19	16	90	93	6.0	0	12/8	3/2	0							20
20	17	96	99	6.0	0	12/8	3/2	0							21
21	18	102	105	6.0	0	12/8	3/2	0							22
22	19	108	111	6.0	0	12/8	3/2	0							23
23	20	114	117	6.0	0	12/8	3/2	0							24, 25
24	21		123	3.0	0	12/8	3/4	0	1					end	14
25	21	120	126	3.0	0	12/8	3/4	0	2	-1				lastMeasure	-1
