mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	2	6/4	3/2	0						firstMeasure	2
2	2	2	6/4	3/2	0							3
3	3	2	6/4	3/2	0							4
4	4	2	6/4	3/2	0							5
5	5	2	6/4	3/2	0							6
6	6	2	6/4	3/2	0							7
7	7	2	6/4	3/2	0					line		8
8	8	2	6/4	3/2	0							9
9	9	2	6/4	3/2	0							10
10	10	2	6/4	3/2	0							11
11	11	2	6/4	3/2	0							12
12	12	2	6/4	3/2	0							13
13	13	2	6/4	3/2	0							14
14	14	2	6/4	3/2	0							15
15	15	2	6/4	3/2	0							16
16	16	2	6/4	3/2	0							17
17	17	2	6/4	3/2	0							18
18	18	2	6/4	3/2	0							19
19	19	2	6/4	3/2	0							20
20	20	2	6/4	3/2	0							21
21	21	2	6/4	3/2	0							22
22	22	2	6/4	3/2	0							23
23	23	2	6/4	3/2	0							24
24	24	2	6/4	3/2	0							25
25	25	2	6/4	3/2	0							26
26	26	2	6/4	3/2	0							27
27	27	2	6/4	3/2	0							28
28	28	2	6/4	3/2	0							29
29	29	2	6/4	3/2	0							30
30	30	2	6/4	3/2	0							31
31	31	2	6/4	3/2	0							32
32	32	2	6/4	3/2	0							33
33	33	2	6/4	3/2	0							34
34	34	2	6/4	3/2	0							35
35	35	2	6/4	3/2	0				double	line	lastMeasure	-1
