mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.5	2	3/4	1/8	5/8		1			firstMeasure	2
2	1	1/2	3.0	2	3/4	3/4	0						3
3	2	7/2	3.0	2	3/4	3/4	0						4
4	3	13/2	3.0	2	3/4	3/4	0						5
5	4	19/2	3.0	2	3/4	3/4	0						6
6	5	25/2	3.0	2	3/4	3/4	0						7
7	6	31/2	3.0	2	3/4	3/4	0						8
8	7	37/2	3.0	2	3/4	3/4	0						9
9	8	43/2	3.0	2	3/4	3/4	0						10
10	9	49/2	3.0	2	3/4	3/4	0						11
11	10	55/2	3.0	2	3/4	3/4	0						12
12	11	61/2	3.0	2	3/4	3/4	0						13
13	12	67/2	3.0	2	3/4	3/4	0						14
14	13	73/2	3.0	2	3/4	3/4	0						15
15	14	79/2	3.0	2	3/4	3/4	0						16
16	15	85/2	3.0	2	3/4	3/4	0						17
17	16	91/2	3.0	2	3/4	3/4	0						18
18	17	97/2	3.0	2	3/4	3/4	0						19
19	18	103/2	3.0	2	3/4	3/4	0						20
20	19	109/2	3.0	2	3/4	3/4	0			end-start-repeat			21
21	20	115/2	3.0	2	3/4	3/4	0						22
22	21	121/2	3.0	2	3/4	3/4	0						23
23	22	127/2	3.0	2	3/4	3/4	0						24
24	23	133/2	3.0	2	3/4	3/4	0						25
25	24	139/2	3.0	2	3/4	3/4	0						26
26	25	145/2	3.0	2	3/4	3/4	0						27
27	26	151/2	3.0	2	3/4	3/4	0						28
28	27	157/2	3.0	2	3/4	3/4	0						29
29	28	163/2	3.0	2	3/4	3/4	0						30
30	29	169/2	3.0	2	3/4	3/4	0						31
31	30	175/2	3.0	2	3/4	3/4	0						32
32	31	181/2	3.0	2	3/4	3/4	0						33
33	32	187/2	3.0	2	3/4	3/4	0						34
34	33	193/2	3.0	2	3/4	3/4	0						35
35	34	199/2	3.0	2	3/4	3/4	0						36
36	35	205/2	3.0	2	3/4	3/4	0						37
37	36	211/2	3.0	2	3/4	3/4	0						38
38	37	217/2	3.0	2	3/4	3/4	0						39
39	38	223/2	3.0	2	3/4	3/4	0						40
40	39	229/2	3.0	2	3/4	3/4	0						41
41	40	235/2	3.0	2	3/4	3/4	0						42
42	41	241/2	2.5	2	3/4	5/8	0					end	1, -1
