mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-1	6/8	3/4	0	firstMeasure					2
2	2	-1	6/8	3/4	0						3
3	3	-1	6/8	3/4	0						4
4	4	-1	6/8	3/4	0						5
5	5	-1	6/8	3/4	0						6
6	6	-1	6/8	3/4	0						7
7	7	-1	6/8	3/4	0						8
8	8	-1	6/8	3/4	0						9
9	9	-1	6/8	3/4	0						10
10	10	-1	6/8	3/4	0						11
11	11	-1	6/8	3/4	0						12
12	12	-1	6/8	3/4	0						13
13	13	-1	6/8	3/4	0						14
14	14	-1	6/8	3/4	0						15
15	15	-1	6/8	3/4	0						16
16	16	-1	6/8	3/4	0						17
17	17	-1	6/8	3/4	0						18
18	18	-1	6/8	3/4	0						19
19	19	-1	6/8	3/4	0						20
20	20	-1	6/8	3/4	0						21
21	21	-1	6/8	3/4	0						22
22	22	-1	6/8	3/4	0						23
23	23	-1	6/8	3/4	0						24
24	24	-1	6/8	3/4	0						25
25	25	-1	6/8	3/4	0						26
26	26	-1	6/8	3/4	0						27
27	27	-1	6/8	3/4	0						28
28	28	-1	6/8	3/4	0						29
29	29	-1	6/8	3/4	0	endRepeat					1, -1
