mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	0	3/4	3/4	0	firstMeasure					2
2	2	0	3/4	3/4	0						3
3	3	0	3/4	3/4	0						4
4	4	0	3/4	3/4	0						5
5	5	0	3/4	3/4	0						6
6	6	0	3/4	3/4	0						7
7	7	0	3/4	3/4	0						8
8	8	0	3/4	3/4	0						9
9	9	0	3/4	3/4	0						10
10	10	0	3/4	3/4	0						11
11	11	0	3/4	3/4	0						12
12	12	0	3/4	3/4	0						13
13	13	0	3/4	3/4	0						14
14	14	0	3/4	3/4	0						15
15	15	0	3/4	3/4	0						16
16	16	0	3/4	3/4	0						17
17	17	0	3/4	3/4	0						18
18	18	0	3/4	3/4	0						19
19	19	0	3/4	3/4	0						20
20	20	0	3/4	3/4	0						21
21	21	0	3/4	3/4	0						22
22	22	0	3/4	3/4	0						23
23	23	0	3/4	3/4	0						24
24	24	0	3/4	3/4	0						25
25	25	0	3/4	3/4	0						26
26	26	0	3/4	3/4	0						27
27	27	0	3/4	3/4	0						28
28	28	0	3/4	3/4	0						29
29	29	0	3/4	3/4	0						30
30	30	0	3/4	3/4	0						31
31	31	0	3/4	3/4	0						32
32	32	0	3/4	3/4	0						33
33	33	0	3/4	3/4	0						34
34	34	0	3/4	3/4	0						35
35	35	0	3/4	3/4	0						36
36	36	0	3/4	3/4	0	lastMeasure		end			-1
