mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-1	3/2	3/2	0						firstMeasure	2
2	2	-1	3/2	3/2	0							3
3	3	-1	3/2	3/2	0							4
4	4	-1	3/2	3/2	0							5
5	5	-1	3/2	3/2	0							6
6	6	-1	3/2	3/2	0							7
7	7	-1	3/2	3/2	0							8
8	8	-1	3/2	3/2	0							9
9	9	-1	3/2	3/2	0							10
10	10	-1	3/2	3/2	0							11
11	11	-1	3/2	3/2	0							12
12	12	-1	3/2	3/2	0							13
13	13	-1	3/2	3/2	0							14
14	14	-1	3/2	3/2	0							15
15	15	-1	3/2	3/2	0							16
16	16	-1	3/2	3/2	0							17
17	17	-1	3/2	3/2	0							18
18	18	-1	3/2	3/2	0							19
19	19	-1	3/2	3/2	0							20
20	20	-1	3/2	3/2	0							21
21	21	-1	3/2	3/2	0							22
22	22	-1	3/2	3/2	0							23
23	23	-1	3/2	3/2	0							24
24	24	-1	3/2	3/2	0						end	1, -1
