mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1/2	0.5	1/8	1/8	6/8	1	1	1/8	1/8	1		7	73	C#5	5	0
1	1	1	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		3	69	A4	4	1
1	1	3/2	0.5	3/8	3/8	6/8	1	1	1/8	1/8	1		2	74	D5	5	2
1	1	2	0.5	1/2	1/2	6/8	1	1	1/8	1/8	1		5	71	B4	4	3
1	1	5/2	0.5	5/8	5/8	6/8	1	1	1/8	1/8	1		4	76	E5	5	4
2	2	3	0.5	0	0	6/8	1	1	1/8	1/8	1		3	69	A4	4	5
2	2	7/2	1.5	1/8	1/8	6/8	1	1	3/8	1/4	3/2		3	81	A5	5	6
2	2	5	1.0	1/2	1/2	6/8	1	1	1/4	1/4	1		8	80	G#5	5	7
3	3	6	0.5	0	0	6/8	1	1	1/8	1/8	1		3	81	A5	5	8
3	3	13/2	0.5	1/8	1/8	6/8	1	1	1/8	1/8	1		7	73	C#5	5	9
3	3	7	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		3	69	A4	4	10
3	3	15/2	0.5	3/8	3/8	6/8	1	1	1/8	1/8	1		5	71	B4	4	11
3	3	8	0.5	1/2	1/2	6/8	2	1	1/8	1/8	1		8	68	G#4	4	13
3	3	8	1.0	1/2	1/2	6/8	1	1	1/4	1/4	1	1	4	76	E5	5	12
3	3	17/2	0.5	5/8	5/8	6/8	2	1	1/8	1/8	1		4	64	E4	4	14
4	4	9	0.5	0	0	6/8	2	1	1/8	1/8	1		3	69	A4	4	20
4	4	9	0.5	0	0	6/8	1	1	1/8	1/8	1	-1	4	76	E5	5	15
4	4	19/2	0.5	1/8	1/8	6/8	2	1	1/8	1/8	1		6	66	F#4	4	21
4	4	19/2	1.0	1/8	1/8	6/8	1	1	1/4	1/4	1		9	75	D#5	5	16
4	4	10	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		5	71	B4	4	22
4	4	21/2	0.5	3/8	3/8	6/8	2	1	1/8	1/8	1		4	64	E4	4	23
4	4	21/2	0.5	3/8	3/8	6/8	1	1	1/8	1/8	1		4	76	E5	5	17
4	4	11	0.5	1/2	1/2	6/8	1	1	1/8	1/8	1		5	71	B4	4	18
4	4	11	1.0	1/2	1/2	6/8	2	1	1/4	1/4	1	1	4	76	E5	5	24
4	4	23/2	0.5	5/8	5/8	6/8	1	1	1/8	1/8	1		8	68	G#4	4	19
5	5	12	0.5	0	0	6/8	1	1	1/8	1/8	1		3	69	A4	4	25
5	5	12	0.5	0	0	6/8	2	1	1/8	1/8	1	-1	4	76	E5	5	30
5	5	25/2	0.5	1/8	1/8	6/8	1	1	1/8	1/8	1		6	66	F#4	4	26
5	5	25/2	1.0	1/8	1/8	6/8	2	1	1/4	1/4	1		9	75	D#5	5	31
5	5	13	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		5	71	B4	4	27
5	5	27/2	0.5	3/8	3/8	6/8	1	1	1/8	1/8	1		4	64	E4	4	28
5	5	27/2	0.5	3/8	3/8	6/8	2	1	1/8	1/8	1		4	76	E5	5	32
5	5	14	1.0	1/2	1/2	6/8	1	1	1/4	1/4	1	1	4	76	E5	5	29
5	5	14	0.5	1/2	1/2	6/8	2	1	1/8	1/8	1		8	80	G#5	5	33
5	5	29/2	0.5	5/8	5/8	6/8	2	1	1/8	1/8	1		4	76	E5	5	34
6	6	15	0.5	0	0	6/8	1	1	1/8	1/8	1	-1	4	76	E5	5	35
6	6	15	0.5	0	0	6/8	2	1	1/8	1/8	1		3	81	A5	5	38
6	6	31/2	1.5	1/8	1/8	6/8	1	1	3/8	1/4	3/2		2	74	D5	5	36
6	6	31/2	0.5	1/8	1/8	6/8	2	1	1/8	1/8	1		6	78	F#5	5	39
6	6	16	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		5	83	B5	5	40
6	6	33/2	0.5	3/8	3/8	6/8	2	1	1/8	1/8	1		4	76	E5	5	41
6	6	17	0.5	1/2	1/2	6/8	3	1	1/8	1/8	1		7	49	C#3	3	43
6	6	17	0.5	1/2	1/2	6/8	4	1	1/8	1/8	1		7	49	C#3	3	45
6	6	17	1.0	1/2	1/2	6/8	1	1	1/4	1/4	1		7	73	C#5	5	37
6	6	17	1.0	1/2	1/2	6/8	2	1	1/4	1/4	1	1	3	81	A5	5	42
6	6	35/2	0.5	5/8	5/8	6/8	3	1	1/8	1/8	1		3	45	A2	2	44
6	6	35/2	0.5	5/8	5/8	6/8	4	1	1/8	1/8	1		3	45	A2	2	46
7	7	18	0.5	0	0	6/8	3	1	1/8	1/8	1		2	50	D3	3	56
7	7	18	0.5	0	0	6/8	4	1	1/8	1/8	1		2	50	D3	3	61
7	7	18	1.5	0	0	6/8	1	1	3/8	1/4	3/2		5	71	B4	4	47
7	7	18	0.5	0	0	6/8	2	1	1/8	1/8	1	-1	3	81	A5	5	51
7	7	37/2	0.5	1/8	1/8	6/8	3	1	1/8	1/8	1		5	47	B2	2	57
7	7	37/2	0.5	1/8	1/8	6/8	4	1	1/8	1/8	1		5	47	B2	2	62
7	7	37/2	1.0	1/8	1/8	6/8	2	1	1/4	1/4	1		8	80	G#5	5	52
7	7	19	0.5	1/4	1/4	6/8	3	1	1/8	1/8	1		4	52	E3	3	58
7	7	19	0.5	1/4	1/4	6/8	4	1	1/8	1/8	1		4	52	E3	3	63
7	7	39/2	0.5	3/8	3/8	6/8	3	1	1/8	1/8	1		3	45	A2	2	59
7	7	39/2	0.5	3/8	3/8	6/8	4	1	1/8	1/8	1		3	45	A2	2	64
7	7	39/2	0.5	3/8	3/8	6/8	1	1	1/8	1/8	1		7	73	C#5	5	48
7	7	39/2	0.5	3/8	3/8	6/8	2	1	1/8	1/8	1		3	81	A5	5	53
7	7	20	1.0	1/2	1/2	6/8	3	1	1/4	1/4	1	1	3	57	A3	3	60
7	7	20	1.0	1/2	1/2	6/8	4	1	1/4	1/4	1	1	3	57	A3	3	65
7	7	20	0.5	1/2	1/2	6/8	1	1	1/8	1/8	1		7	73	C#5	5	49
