mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.5	0	0	4/4	2	1	3/8	1/4	3/2		3	69	A4	4	3
1	1	0	0	1.5	0	0	4/4	1	1	3/8	1/4	3/2		0	72	C5	5	0
1	1	3/2	3/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	69	A4	4	4
1	1	3/2	3/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	1
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	70	Bb4	4	5
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	2
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	-2	70	Bb4	4	6
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	-2	70	Bb4	4	9
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	7
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	69	A4	4	10
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	1	67	G4	4	11
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	8
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	1	67	G4	4	15
3	3	8	8	1.5	0	0	4/4	1	1	3/8	1/4	3/2		3	69	A4	4	12
3	3	9	9	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		-1	65	F4	4	16
3	3	19/2	19/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	13
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	14
3	3	11	11	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		1	67	G4	4	17
3	3	23/2	23/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-1	65	F4	4	18
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1		-1	65	F4	4	20
4	4	12	12	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	19
5	5	16	16	1.5	0	0	4/4	2	1	3/8	1/4	3/2		4	76	E5	5	24
5	5	16	16	1.5	0	0	4/4	1	1	3/8	1/4	3/2		1	79	G5	5	21
5	5	35/2	35/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		4	76	E5	5	25
5	5	35/2	35/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		1	79	G5	5	22
5	5	18	18	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	77	F5	5	26
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	81	A5	5	23
5	5	19	19	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	-1	77	F5	5	27
6	6	20	20	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	-1	77	F5	5	30
6	6	20	20	2.0	0	0	4/4	1	1	1/2	1/2	1		1	79	G5	5	28
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	76	E5	5	31
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	2	74	D5	5	32
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-1	77	F5	5	29
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	2	74	D5	5	36
7	7	24	24	1.5	0	0	4/4	1	1	3/8	1/4	3/2		4	76	E5	5	33
7	7	25	25	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		0	72	C5	5	37
7	7	51/2	51/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		1	79	G5	5	34
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	81	A5	5	35
7	7	27	27	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	74	D5	5	38
7	7	55/2	55/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		0	72	C5	5	39
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		5	71	B4	4	41
8	8	28	28	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	40
9	9	32	32	3.0	0	0	4/4	2	1	3/4	1/2	3/2		2	74	D5	5	43
9	9	34	34	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1	1	4	76	E5	5	42
9	9	35	35	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	72	C5	5	44
9	9	71/2	71/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-2	70	Bb4	4	45
10	10	36	36	1.0	0	0	4/4	2	1	1/4	1/4	1		3	69	A4	4	52
10	10	36	36	1.0	0	0	4/4	1	1	1/4	1/4	1	-1	4	76	E5	5	46
10	10	37	37	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		2	74	D5	5	47
10	10	37	37	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		-1	77	F5	5	53
10	10	75/2	75/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	48
10	10	38	38	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	49
10	10	77/2	77/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	50
10	10	39	39	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	76	E5	5	54
10	10	39	39	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1	1	1	79	G5	5	51
11	11	40	40	0.5	0	0	4/4	1	1	1/8	1/8	1	-1	1	79	G5	5	55
11	11	40	40	1.0	0	0	4/4	2	1	1/4	1/4	1		3	81	A5	5	60
11	11	81/2	81/2	1.0	1/8	1/8	4/4	1	1	1/4	1/4	1		-1	77	F5	5	56
11	11	41	41	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	79	G5	5	61
11	11	83/2	83/2	1.0	3/8	3/8	4/4	1	1	1/4	1/4	1		4	76	E5	5	57
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	77	F5	5	62
11	11	85/2	85/2	1.0	5/8	5/8	4/4	1	1	1/4	1/4	1		2	74	D5	5	58
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	76	E5	5	63
11	11	87/2	87/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	59
12	12	44	44	0.5	0	0	4/4	1	1	1/8	1/8	1		3	69	A4	4	64
12	12	44	44	0.5	0	0	4/4	2	1	1/8	1/8	1		3	81	A5	5	70
12	12	89/2	89/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	65
12	12	89/2	89/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		1	79	G5	5	71
12	12	45	45	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		0	72	C5	5	66
12	12	45	45	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		-1	77	F5	5	72
12	12	91/2	91/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	67
12	12	91/2	91/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		4	76	E5	5	73
12	12	46	46	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		0	72	C5	5	68
12	12	46	46	1.5	1/2	1/2	4/4	2	1	3/8	1/4	3/2		2	74	D5	5	74
12	12	95/2	95/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	69
12	12	95/2	95/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		2	74	D5	5	75
13	13	48	48	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	76
13	13	48	48	1.0	0	0	4/4	2	1	1/4	1/4	1		4	76	E5	5	79
13	13	49	49	2.0	1/4	1/4	4/4	1	1	1/2	1/2	1		-1	77	F5	5	77
13	13	50	50	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	1	79	G5	5	80
13	13	51	51	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	78
14	14	52	52	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	1	79	G5	5	83
14	14	52	52	2.0	0	0	4/4	1	1	1/2	1/2	1		3	81	A5	5	81
14	14	53	53	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		-1	77	F5	5	84
14	14	54	54	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	79	G5	5	82
14	14	55	55	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	4	76	E5	5	85
15	15	56	56	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	4	76	E5	5	88
15	15	56	56	2.0	0	0	4/4	1	1	1/2	1/2	1		-1	77	F5	5	86
15	15	57	57	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		2	74	D5	5	89
15	15	58	58	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	76	E5	5	87
15	15	59	59	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	73	C#5	5	90
16	16	60	60	1.5	0	0	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	91
16	16	60	60	1.5	0	0	4/4	2	1	3/8	1/4	3/2		2	74	D5	5	95
16	16	123/2	123/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	92
16	16	123/2	123/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-1	77	F5	5	96
16	16	62	62	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	93
16	16	62	62	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	79	G5	5	97
16	16	63	63	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	94
17	17	64	64	1.5	0	0	4/4	1	1	3/8	1/4	3/2		3	69	A4	4	98
17	17	64	64	1.5	0	0	4/4	2	1	3/8	1/4	3/2		0	72	C5	5	102
17	17	131/2	131/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		0	72	C5	5	103
17	17	131/2	131/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	81	A5	5	99
17	17	66	66	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	74	D5	5	104
17	17	66	66	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	79	G5	5	100
17	17	67	67	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	77	F5	5	101
18	18	68	68	1.5	0	0	4/4	2	1	3/8	1/4	3/2		1	67	G4	4	111
18	18	68	68	0.5	0	0	4/4	1	1	1/8	1/8	1		4	76	E5	5	105
18	18	137/2	137/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	106
18	18	69	69	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	107
18	18	139/2	139/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	69	A4	4	112
18	18	70	70	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		0	72	C5	5	108
18	18	70	70	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	74	D5	5	113
18	18	141/2	141/2	1.0	5/8	5/8	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	109
18	18	71	71	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	72	C5	5	114
18	18	143/2	143/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1	1	3	69	A4	4	110
19	19	72	72	0.5	0	0	4/4	1	1	1/8	1/8	1	-1	3	69	A4	4	115
19	19	72	72	1.0	0	0	4/4	2	1	1/4	1/4	1		-2	70	Bb4	4	122
19	19	145/2	145/2	1.0	1/8	1/8	4/4	1	1	1/4	1/4	1		1	67	G4	4	116
19	19	73	73	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	69	A4	4	123
19	19	147/2	147/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		-1	65	F4	4	117
19	19	74	74	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		2	62	D4	4	118
19	19	74	74	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		2	74	D5	5	124
19	19	149/2	149/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	119
19	19	149/2	149/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		0	72	C5	5	125
19	19	75	75	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		-1	65	F4	4	120
19	19	75	75	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		-2	70	Bb4	4	126
19	19	151/2	151/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	121
19	19	151/2	151/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	69	A4	4	127
20	20	76	76	1.5	0	0	4/4	1	1	3/8	1/4	3/2		-1	65	F4	4	128
20	20	76	76	1.5	0	0	4/4	2	1	3/8	1/4	3/2		1	67	G4	4	132
20	20	155/2	155/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	129
20	20	155/2	155/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	67	G4	4	133
20	20	78	78	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		-1	65	F4	4	130
20	20	78	78	1.5	1/2	1/2	4/4	2	1	3/8	1/4	3/2		3	69	A4	4	134
20	20	159/2	159/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		-1	65	F4	4	135
20	20	159/2	159/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	131
21	21	80	80	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	65	F4	4	140
21	21	80	80	1.5	0	0	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	136
21	21	81	81	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		-2	70	Bb4	4	141
21	21	163/2	163/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	137
21	21	82	82	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	138
21	21	83	83	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	139
21	21	83	83	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	69	A4	4	142
22	22	84	84	1.5	0	0	4/4	1	1	3/8	1/4	3/2		-1	65	F4	4	143
22	22	84	84	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	146
22	22	171/2	171/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	144
22	22	86	86	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-1	65	F4	4	145
22	22	86	86	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	69	A4	4	147
