mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		3	81	A5	5	0
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		8	80	G#5	5	1
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	79	G5	5	2
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		6	78	F#5	5	3
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	77	F5	5	4
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	76	E5	5	5
3	3	8	8	0.25	0	0	4/4	1	1	1/16	1/16	1		2	74	D5	5	6
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		2	74	D5	5	17
3	3	33/4	33/4	0.25	1/16	1/16	4/4	1	1	1/16	1/16	1		4	76	E5	5	7
3	3	17/2	17/2	0.25	1/8	1/8	4/4	1	1	1/16	1/16	1		-1	77	F5	5	8
3	3	35/4	35/4	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1		4	76	E5	5	9
3	3	9	9	0.25	1/4	1/4	4/4	1	1	1/16	1/16	1		2	74	D5	5	10
3	3	37/4	37/4	0.25	5/16	5/16	4/4	1	1	1/16	1/16	1		-1	77	F5	5	11
3	3	19/2	19/2	0.25	3/8	3/8	4/4	1	1	1/16	1/16	1		4	76	E5	5	12
3	3	39/4	39/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		2	74	D5	5	13
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	73	C#5	5	18
3	3	10	10	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		4	76	E5	5	14
3	3	21/2	21/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	15
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	72	C5	5	19
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1	1	3	81	A5	5	16
