mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	g.i{	g	i		i	i						{	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.5	0.0
1	1	1/4	1/4	4/4	3	1	v6	g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.75	0.0
1	1	1/2	1/2	4/4	3	1	iv6(2)	g	i		iv6(2)	iv		6	2				m	1	1	-3, 1, 2		0	-3	0	3	0.0	0.0	1.25	0.0
1	1	3/4	3/4	4/4	3	1	iv6	g	i		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	0	2	0.0	0.0	0.5	0.0
2	2	0	0	4/4	3	1	V(64)	g	i		V(64)	V			64				M	1	1	2, 1, -2		2	2	0	4	0.0	0.0	1.0	0.0
2	2	1/4	1/4	4/4	3	1	v	g	i		v	v							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	1.5	0.0
2	2	1/2	1/2	4/4	3	1	iv(2)	g	i		iv(2)	iv			2				m	1	1	2, -3, 1		0	2	0	2	0.0	0.0	0.75	0.0
2	2	3/4	3/4	4/4	3	1	iv	g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	0.75	0.0
3	3	0	0	4/4	3	1	V2	g	i		V2	V		2					Mm7	1	1	0, 2, 6, 3		2	0	0	4	0.0	0.0	1.125	0.0
3	3	1/4	1/4	4/4	3	1	i6	g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	0	4	0.0	0.0	1.125	0.0
3	3	1/2	1/2	4/4	3	1	ii7	g	i		ii7	ii		7					mm7	1	1	3, 0, 4, 1		3	3	0	3	0.0	0.0	0.875	0.0
3	3	3/4	3/4	4/4	3	1	V	g	i		V	V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	0.875	0.0
4	4	0	0	4/4	3	1	VI6|EC	g	i		VI6	VI		6			EC		M	1	1	1, -2, -3		-3	1	0	4	0.0	0.0	1.0	0.0
4	4	1/4	1/4	4/4	3	1	v6	g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	4	0.0	0.0	1.25	0.0
4	4	1/2	1/2	4/4	3	1	iv6(2)	g	i		iv6(2)	iv		6	2				m	1	1	-3, 1, 2		0	-3	0	3	0.0	0.0	1.5	0.0
4	4	3/4	3/4	4/4	3	1	iv6	g	i		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	0	1	0.0	0.0	0.25	0.0
5	5	0	0	4/4	3	1	V|HC}	g	i		V	V					HC	}	M	1	1	2, 6, 3		2	2	0	5	0.0	0.0	2.0	0.0
5	5	3/8	3/8	4/4	3	1	V2	g	i		V2	V		2					Mm7	1	1	0, 2, 6, 3		2	0	0	2	0.0	0.0	0.25	0.0
5	5	1/2	1/2	4/4	3	1	v.iv6(2)	g	v		iv6(2)	iv		6	2				m	1	1	-2, 2, 3		1	-2	0	2	0.0	0.0	1.0	0.0
5	5	3/4	3/4	4/4	3	1	iv6	g	v		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.5	0.0
6	6	0	0	4/4	3	1	V(64)	g	v		V(64)	V			64				M	1	1	3, 2, -1		3	3	0	4	0.0	0.0	1.0	0.0
6	6	1/4	1/4	4/4	3	1	v	g	v		v	v							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.5	0.0
6	6	1/2	1/2	4/4	3	1	iv(2)	g	v		iv(2)	iv			2				m	1	1	3, -2, 2		1	3	0	2	0.0	0.0	1.0	0.0
6	6	3/4	3/4	4/4	3	1	iv	g	v		iv	iv							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.5	0.0
7	7	0	0	4/4	3	1	V2	g	v		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	0	4	0.0	0.0	1.25	0.0
7	7	1/4	1/4	4/4	3	1	i6	g	v		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	1.25	0.0
7	7	1/2	1/2	4/4	3	1	iv.V2	g	iv		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1	0	2	0.0	0.0	0.5	0.0
7	7	3/4	3/4	4/4	3	1	i6	g	iv		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	1.0	0.0
8	8	0	0	4/4	3	1	ii7	g	iv		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2	0	4	0.0	0.0	1.0	0.0
8	8	1/4	1/4	4/4	3	1	V	g	iv		V	V							M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.25	0.0
8	8	1/2	1/2	4/4	3	1	i(9)|EC	g	iv		i(9)	i			9		EC		m	1	1	0, -3, 1	2	0	0	0	3	0.0	0.0	1.0	0.0
8	8	3/4	3/4	4/4	3	1	i	g	iv		i	i							m	1	1	0, -3, 1		0	0	1	3	0.25	0.125	0.625	0.16666666666666666
9	9	0	0	4/4	3	1	i.V6(2)	g	i		V6(2)	V		6	2				M	1	1	6, 3, -3		2	6	0	4	0.0	0.0	1.5	0.0
9	9	1/4	1/4	4/4	3	1	V65	g	i		V65	V		65					Mm7	1	1	6, 3, 0, 2		2	6	0	3	0.0	0.0	0.75	0.0
9	9	1/2	1/2	4/4	3	1	i(2)	g	i		i(2)	i			2				m	1	1	3, -2, 2		1	3	3	1	0.75	0.625	0.125	0.8333333333333334
9	9	3/4	3/4	4/4	3	1	V65/iv	g	i		V65/iv	V		65		iv			Mm7	1	1	5, 2, -1, 1		1	5	0	5	0.0	0.0	1.0	0.0
10	10	0	0	4/4	3	1	iv(2)	g	i		iv(2)	iv			2				m	1	1	2, -3, 1		0	2	2	2	0.5	0.5	0.75	0.4
10	10	1/4	1/4	4/4	3	1	iv	g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	3	0.0	0.0	1.25	0.0
10	10	1/2	1/2	4/4	3	1	V2	g	i		V2	V		2					Mm7	1	1	0, 2, 6, 3		2	0	0	2	0.0	0.0	0.625	0.0
10	10	3/4	3/4	4/4	3	1	i6	g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	0	3	0.0	0.0	0.5	0.0
10	10	7/8	7/8	4/4	3	1	iv	g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	3	0.0	0.0	0.375	0.0
11	11	0	0	4/4	3	1	V(64)	g	i		V(64)	V			64				M	1	1	2, 1, -2		2	2	0	4	0.0	0.0	1.0	0.0
11	11	1/4	1/4	4/4	3	1	V	g	i		V	V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
11	11	1/2	1/2	4/4	3	1	i|PAC}	g	i		i	i					PAC	}	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.0	0.0
11	11	3/4	3/4	4/4	3	1	v6{	g	i		v6	v		6				{	m	1	1	-1, 3, 2		2	-1	0	4	0.0	0.0	1.0	0.0
12	12	0	0	4/4	3	1	iv6(2)	g	i		iv6(2)	iv		6	2				m	1	1	-3, 1, 2		0	-3	0	4	0.0	0.0	1.75	0.0
12	12	1/4	1/4	4/4	3	1	iv6	g	i		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	0	1	0.0	0.0	0.25	0.0
12	12	1/2	1/2	4/4	3	1	V|HC}	g	i		V	V					HC	}	M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	2.0	0.0
