mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	d.i{	above	d	i		i	i						{	m	1	1	2, -1, 3		2	2	2	8	0.2	0.5	2.5	0.16666666666666666
1	1	3/4	3/4	4/4	4	1	#viio6	above	d	i		#viio6	#vii	o	6					o	1	1	4, 1, 7		7	4	0	4	0.0	0.0	1.0	0.0
2	2	0	0	4/4	4	1	i6	above	d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	4	0.0	0.0	1.5	0.0
2	2	1/4	1/4	4/4	4	1	iv7	above	d	i		iv7	iv		7					mm7	1	1	1, -2, 2, -1		1	1	0	2	0.0	0.0	0.5	0.0
2	2	1/2	1/2	4/4	4	1	V	above	d	i		V	V							M	1	1	3, 7, 4		3	3	0	6	0.0	0.0	2.0	0.0
3	3	0	0	4/4	4	1	iv6(2)	above	d	i		iv6(2)	iv		6	2				m	1	1	-2, 2, 3		1	-2	0	4	0.0	0.0	1.75	0.0
3	3	1/4	1/4	4/4	4	1	iv6	above	d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	1	0.0	0.0	0.25	0.0
3	3	1/2	1/2	4/4	4	1	V|HC}	above	d	i		V	V					HC	}	M	1	1	3, 7, 4		3	3	0	4	0.0	0.0	2.0	0.0
4	4	0	0	4/4	4	1	v.i{	above	d	v		i	i						{	m	1	1	3, 0, 4		3	3	2	8	0.2	0.5	2.5	0.16666666666666666
4	4	3/4	3/4	4/4	4	1	#viio6	above	d	v		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	0	4	0.0	0.0	1.0	0.0
5	5	0	0	4/4	4	1	i6	above	d	v		i6	i		6					m	1	1	0, 4, 3		3	0	0	4	0.0	0.0	1.5	0.0
5	5	1/4	1/4	4/4	4	1	iv7	above	d	v		iv7	iv		7					mm7	1	1	2, -1, 3, 0		2	2	0	2	0.0	0.0	0.5	0.0
5	5	1/2	1/2	4/4	4	1	V	above	d	v		V	V							M	1	1	4, 8, 5		4	4	0	6	0.0	0.0	2.0	0.0
6	6	0	0	4/4	4	1	iv6(2)	above	d	v		iv6(2)	iv		6	2				m	1	1	-1, 3, 4		2	-1	0	4	0.0	0.0	1.75	0.0
6	6	1/4	1/4	4/4	4	1	iv6	above	d	v		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	0	1	0.0	0.0	0.25	0.0
6	6	1/2	1/2	4/4	4	1	V|HC}	above	d	v		V	V					HC	}	M	1	1	4, 8, 5		4	4	0	8	0.0	0.0	2.0	0.0
7	7	0	0	4/4	4	1	#vi%7	above	d	v		#vi%7	#vi	%	7					%7	1	1	6, 3, 0, 4		6	6	0	4	0.0	0.0	1.0	0.0
7	7	1/4	1/4	4/4	4	1	#viio	above	d	v		#viio	#vii	o						o	1	1	8, 5, 2		8	8	0	4	0.0	0.0	1.25	0.0
7	7	1/2	1/2	4/4	4	1	i(4)	above	d	v		i(4)	i			4				m	1	1	3, 2, 4		3	3	0	3	0.0	0.0	0.75	0.0
7	7	3/4	3/4	4/4	4	1	i	above	d	v		i	i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.0	0.0
8	8	0	0	4/4	4	1	ii6(2)	above	d	v		ii6(2)	ii		6	2				m	1	1	2, 6, 0		5	2	1	3	0.25	0.75	1.25	0.375
8	8	1/4	1/4	4/4	4	1	bII6	above	d	v		bII6	bII		6					M	1	1	2, -1, -2		-2	2	1	1	0.5	0.125	0.125	0.5
8	8	1/2	1/2	4/4	4	1	V(9)	above	d	v		V(9)	V			9				M	1	1	4, 8, 5	-1	4	4	0	3	0.0	0.0	1.5	0.0
8	8	3/4	3/4	4/4	4	1	V	above	d	v		V	V							M	1	1	4, 8, 5		4	4	1	1	0.5	0.125	0.125	0.5
9	9	0	0	4/4	4	1	i	above	d	v		i	i							m	1	1	3, 0, 4		3	3	2	5	0.2857142857142857	0.25	2.0	0.1111111111111111
9	9	1/2	1/2	4/4	4	1	IV(9)	above	d	v		IV(9)	IV			9				M	1	1	2, 6, 3	4	2	2	1	3	0.25	0.125	1.125	0.1
9	9	3/4	3/4	4/4	4	1	IV	above	d	v		IV	IV							M	1	1	2, 6, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
10	10	0	0	4/4	4	1	V7	above	d	v		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	5	0.0	0.0	1.5	0.0
10	10	1/4	1/4	4/4	4	1	V(64)	above	d	v		V(64)	V			64				M	1	1	4, 3, 0		4	4	0	2	0.0	0.0	0.75	0.0
10	10	1/2	1/2	4/4	4	1	V(4)	above	d	v		V(4)	V			4				M	1	1	4, 3, 5		4	4	0	3	0.0	0.0	1.5	0.0
10	10	3/4	3/4	4/4	4	1	V	above	d	v		V	V							M	1	1	4, 8, 5		4	4	0	1	0.0	0.0	0.25	0.0
11	11	0	0	4/4	4	1	i|PAC}	above	d	v		i	i					PAC	}	m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.5	0.0
11	11	1/4	1/4	4/4	4	1	i.V{	above	d	i		V	V						{	M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	0.75	0.0
11	11	1/2	1/2	4/4	4	1	#vi%7	above	d	i		#vi%7	#vi	%	7					%7	1	1	5, 2, -1, 3		5	5	0	3	0.0	0.0	0.75	0.0
11	11	3/4	3/4	4/4	4	1	#viio	above	d	i		#viio	#vii	o						o	1	1	7, 4, 1		7	7	0	4	0.0	0.0	1.0	0.0
12	12	0	0	4/4	4	1	i(4)	above	d	i		i(4)	i			4				m	1	1	2, 1, 3		2	2	0	4	0.0	0.0	1.5	0.0
12	12	1/4	1/4	4/4	4	1	i	above	d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.75	0.0
12	12	1/2	1/2	4/4	4	1	ii6(2)	above	d	i		ii6(2)	ii		6	2				m	1	1	1, 5, -1		4	1	1	2	0.3333333333333333	0.5	1.0	0.3333333333333333
12	12	3/4	3/4	4/4	4	1	bII6	above	d	i		bII6	bII		6					M	1	1	1, -2, -3		-3	1	1	1	0.5	0.125	0.125	0.5
13	13	0	0	4/4	4	1	V(9)	above	d	i		V(9)	V			9				M	1	1	3, 7, 4	-2	3	3	0	4	0.0	0.0	1.75	0.0
13	13	1/4	1/4	4/4	4	1	V	above	d	i		V	V							M	1	1	3, 7, 4		3	3	1	1	0.5	0.125	0.125	0.5
13	13	1/2	1/2	4/4	4	1	i	above	d	i		i	i							m	1	1	2, -1, 3		2	2	2	5	0.2857142857142857	0.25	1.75	0.125
14	14	0	0	4/4	4	1	IV(9)	above	d	i		IV(9)	IV			9				M	1	1	1, 5, 2	3	1	1	1	4	0.2	0.125	1.375	0.08333333333333333
14	14	1/4	1/4	4/4	4	1	IV	above	d	i		IV	IV							M	1	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
14	14	1/2	1/2	4/4	4	1	V7	above	d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	4	0.0	0.0	1.25	0.0
14	14	3/4	3/4	4/4	4	1	V(64)	above	d	i		V(64)	V			64				M	1	1	3, 2, -1		3	3	0	2	0.0	0.0	0.5	0.0
15	15	0	0	4/4	4	1	V(4)	above	d	i		V(4)	V			4				M	1	1	3, 2, 4		3	3	0	4	0.0	0.0	1.75	0.0
15	15	1/4	1/4	4/4	4	1	V	above	d	i		V	V							M	1	1	3, 7, 4		3	3	0	1	0.0	0.0	0.25	0.0
15	15	1/2	1/2	4/4	4	1	i|PAC}	above	d	i		i	i					PAC	}	m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	1.625	0.0
15	15	3/4	3/4	4/4	4	1	VI6	above	d	i		VI6	VI		6					M	1	1	2, -1, -2		-2	2	0	2	0.0	0.0	0.375	0.0
16	16	0	0	4/4	4	1	v6(2)	above	d	i		v6(2)	v		6	2				m	1	1	0, 4, -2		3	0	0	6	0.0	0.0	1.625	0.0
16	16	1/4	1/4	4/4	4	1	v6	above	d	i		v6	v		6					m	1	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
16	16	1/2	1/2	4/4	4	1	iv6(2)	above	d	i		iv6(2)	iv		6	2				m	1	1	-2, 2, 3		1	-2	0	6	0.0	0.0	1.625	0.0
16	16	3/4	3/4	4/4	4	1	iv6	above	d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
17	17	0	0	4/4	4	1	V7	above	d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	5	0.0	0.0	2.5	0.0
17	17	1/4	1/4	4/4	4	1	V(64)	above	d	i		V(64)	V			64				M	1	1	3, 2, -1		3	3	0	2	0.0	0.0	0.75	0.0
17	17	1/2	1/2	4/4	4	1	V(4)	above	d	i		V(4)	V			4				M	1	1	3, 2, 4		3	3	0	1	0.0	0.0	0.5	0.0
17	17	3/4	3/4	4/4	4	1	V	above	d	i		V	V							M	1	1	3, 7, 4		3	3	0	1	0.0	0.0	0.25	0.0
18	18	0	0	4/4	4	1	i|PAC}	above	d	i		i	i					PAC	}	m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	4.0	0.0
