mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	b.i{	-0.11	9.5		/		b	i		i	i						{	m	1	1	5, 2, 6		5	5	2	10	0.16666666666666666	0.125	1.5	0.07692307692307693
1	1	1/2	1/2	4/4	4	1	V	-0.11	9.5		/		b	i		V	V							M	1	1	6, 10, 7		6	6	0	4	0.0	0.0	0.5	0.0
1	1	5/8	5/8	4/4	4	1	iv7	-0.11	9.5		/		b	i		iv7	iv		7					mm7	1	1	4, 1, 5, 2		4	4	0	4	0.0	0.0	0.5	0.0
1	1	3/4	3/4	4/4	4	1	V(4)	-0.11	9.5		/		b	i		V(4)	V			4				M	1	1	6, 5, 7		6	6	0	4	0.0	0.0	0.625	0.0
1	1	7/8	7/8	4/4	4	1	V	-0.11	9.5		/		b	i		V	V							M	1	1	6, 10, 7		6	6	0	4	0.0	0.0	0.375	0.0
2	2	0	0	4/4	4	1	i|PAC}	-0.11	9.5		/		b	i		i	i					PAC	}	m	1	1	5, 2, 6		5	5	0	8	0.0	0.0	1.0	0.0
2	2	1/4	1/4	4/4	4	1	V6	-0.11	9.5		/		b	i		V6	V		6					M	1	1	10, 7, 6		6	10	0	3	0.0	0.0	0.375	0.0
2	2	3/8	3/8	4/4	4	1	V	-0.11	9.5		/		b	i		V	V							M	1	1	6, 10, 7		6	6	0	5	0.0	0.0	0.5	0.0
2	2	1/2	1/2	4/4	4	1	i	-0.11	9.5		/		b	i		i	i							m	1	1	5, 2, 6		5	5	0	8	0.0	0.0	0.875	0.0
2	2	3/4	3/4	4/4	4	1	V6	-0.11	9.5		/		b	i		V6	V		6					M	1	1	10, 7, 6		6	10	0	3	0.0	0.0	0.375	0.0
2	2	7/8	7/8	4/4	4	1	V	-0.11	9.5		/		b	i		V	V							M	1	1	6, 10, 7		6	6	0	5	0.0	0.0	0.5	0.0
3	3	0	0	4/4	4	1	i	-0.11	9.5		/		b	i		i	i							m	1	1	5, 2, 6		5	5	0	3	0.0	0.0	0.375	0.0
3	3	1/8	1/8	4/4	4	1	v6	-0.11	9.5		/		b	i		v6	v		6					m	1	1	3, 7, 6		6	3	0	4	0.0	0.0	0.625	0.0
3	3	1/4	1/4	4/4	4	1	iv6(2)	-0.11	9.5		/		b	i		iv6(2)	iv		6	2				m	1	1	1, 5, 6		4	1	0	3	0.0	0.0	0.75	0.0
3	3	3/8	3/8	4/4	4	1	iv6	-0.11	9.5		/		b	i		iv6	iv		6					m	1	1	1, 5, 4		4	1	0	1	0.0	0.0	0.125	0.0
3	3	1/2	1/2	4/4	4	1	V|HC}	-0.11	9.5		/		b	i		V	V					HC	}	M	1	1	6, 10, 7		6	6	0	4	0.0	0.0	1.0	0.0
4	4	0	0	4/4	4	1	III.I{	-0.11	9.5		/		b	III		I	I						{	M	1	0	2, 6, 3		2	2	2	10	0.16666666666666666	0.125	1.5	0.07692307692307693
4	4	1/2	1/2	4/4	4	1	V	-0.11	9.5		/		b	III		V	V							M	1	0	3, 7, 4		3	3	0	4	0.0	0.0	0.5	0.0
4	4	5/8	5/8	4/4	4	1	IVM7	-0.11	9.5		/		b	III		IVM7	IV	M	7					MM7	1	0	1, 5, 2, 6		1	1	0	4	0.0	0.0	0.5	0.0
4	4	3/4	3/4	4/4	4	1	V(4)	-0.11	9.5		/		b	III		V(4)	V			4				M	1	0	3, 2, 4		3	3	0	4	0.0	0.0	0.625	0.0
4	4	7/8	7/8	4/4	4	1	V	-0.11	9.5		/		b	III		V	V							M	1	0	3, 7, 4		3	3	0	4	0.0	0.0	0.375	0.0
5	5	0	0	4/4	4	1	I|PAC}	-0.11	9.5		/		b	III		I	I					PAC	}	M	1	0	2, 6, 3		2	2	0	8	0.0	0.0	1.0	0.0
5	5	1/4	1/4	4/4	4	1	V6	-0.11	9.5		/		b	III		V6	V		6					M	1	0	7, 4, 3		3	7	0	3	0.0	0.0	0.375	0.0
5	5	3/8	3/8	4/4	4	1	V	-0.11	9.5		/		b	III		V	V							M	1	0	3, 7, 4		3	3	0	5	0.0	0.0	0.5	0.0
5	5	1/2	1/2	4/4	4	1	I	-0.11	9.5		/		b	III		I	I							M	1	0	2, 6, 3		2	2	0	8	0.0	0.0	0.875	0.0
5	5	3/4	3/4	4/4	4	1	V6	-0.11	9.5		/		b	III		V6	V		6					M	1	0	7, 4, 3		3	7	0	3	0.0	0.0	0.375	0.0
5	5	7/8	7/8	4/4	4	1	V	-0.11	9.5		/		b	III		V	V							M	1	0	3, 7, 4		3	3	0	5	0.0	0.0	0.5	0.0
6	6	0	0	4/4	4	1	I	-0.11	9.5		/		b	III		I	I							M	1	0	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
6	6	1/8	1/8	4/4	4	1	V6	-0.11	9.5		/		b	III		V6	V		6					M	1	0	7, 4, 3		3	7	0	4	0.0	0.0	0.625	0.0
6	6	1/4	1/4	4/4	4	1	ii7/V	-0.11	9.5		/		b	III		ii7/V	ii		7		V			mm7	1	0	5, 2, 6, 3		5	5	0	3	0.0	0.0	0.5	0.0
6	6	3/8	3/8	4/4	4	1	V7/V	-0.11	9.5		/		b	III		V7/V	V		7		V			Mm7	1	0	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.375	0.0
6	6	1/2	1/2	4/4	4	1	V|PAC}	-0.11	9.5		/		b	III		V	V					PAC	}	M	1	0	3, 7, 4		3	3	0	5	0.0	0.0	1.0	0.0
6	6	3/4	3/4	4/4	4	1	I	-0.11	9.5		/		b	III		I	I							M	1	0	2, 6, 3		2	2	0	1	0.0	0.0	0.125	0.0
6	6	7/8	7/8	4/4	4	1	V	-0.11	9.5		/	iii6	b	III		V	V							M	1	0	3, 7, 4		3	3	0	3	0.0	0.0	0.375	0.0
7	7	0	0	4/4	4	1	vi	-0.11	9.5		/		b	III		vi	vi							m	1	0	5, 2, 6		5	5	0	3	0.0	0.0	0.375	0.0
7	7	1/8	1/8	4/4	4	1	I6	-0.11	9.5		/		b	III		I6	I		6					M	1	0	6, 3, 2		2	6	0	4	0.0	0.0	0.5	0.0
7	7	1/4	1/4	4/4	4	1	IV	-0.11	9.5		/		b	III		IV	IV							M	1	0	1, 5, 2		1	1	0	4	0.0	0.0	0.875	0.0
7	7	3/8	3/8	4/4	4	1	I	-0.11	9.5		/		b	III		I	I							M	1	0	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
7	7	1/2	1/2	4/4	4	1	ii7	-0.11	9.5		/		b	III		ii7	ii		7					mm7	1	0	4, 1, 5, 2		4	4	0	4	0.0	0.0	0.75	0.0
7	7	3/4	3/4	4/4	4	1	V	-0.11	9.5		/		b	III		V	V							M	1	0	3, 7, 4		3	3	0	4	0.0	0.0	0.75	0.0
8	8	0	0	4/4	4	1	I(9)	-0.11	9.5		/		b	III		I(9)	I			9				M	1	0	2, 6, 3	4	2	2	0	6	0.0	0.0	1.25	0.0
8	8	1/4	1/4	4/4	4	1	I6	-0.11	9.5		/		b	III		I6	I		6					M	1	0	6, 3, 2		2	6	2	3	0.4	0.25	0.625	0.2857142857142857
