mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/4	3	1	e.v{					e	i		v	v						{	m	1	1	5, 2, 6		5.0	5.0	0	2	0.0	0.0	2.0	0.0
1	1	1	1	6/4	3	1	ii6					e	i		ii6	ii		6					m	1	1	3, 7, 6		6.0	3.0	0	1	0.0	0.0	0.5	0.0
2	2	0	0	6/4	3	1	i6(2)					e	i		i6(2)	i		6	2				m	1	1	1, 5, 6		4.0	1.0	0	2	0.0	0.0	1.5	0.0
2	2	1/2	1/2	6/4	3	1	i6					e	i		i6	i		6					m	1	1	1, 5, 4		4.0	1.0	0	4	0.0	0.0	2.5	0.0
3	3	0	0	6/4	3	1	iv(9)					e	i		iv(9)	iv			9				m	1	1	3, 0, 4	5	3.0	3.0	0	3	0.0	0.0	3.0	0.0
3	3	1/2	1/2	6/4	3	1	iv					e	i		iv	iv							m	1	1	3, 0, 4		3.0	3.0	0	3	0.0	0.0	1.5	0.0
4	4	0	0	6/4	3	1	V(9)					e	i		V(9)	V			9				M	1	1	5, 9, 6	0	5.0	5.0	0	3	0.0	0.0	2.0	0.0
4	4	1/2	1/2	6/4	3	1	V(64)					e	i		V(64)	V			64				M	1	1	5, 4, 1		5.0	5.0	0	2	0.0	0.0	1.0	0.0
4	4	1	1	6/4	3	1	#viio					e	i		#viio	#vii	o						o	1	1	9, 6, 3		9.0	9.0	0	3	0.0	0.0	1.5	0.0
5	5	0	0	6/4	3	1	i(9)					e	i		i(9)	i			9				m	1	1	4, 1, 5	6	4.0	4.0	0	3	0.0	0.0	2.0	0.0
5	5	1/2	1/2	6/4	3	1	i(4)					e	i		i(4)	i			4				m	1	1	4, 3, 5		4.0	4.0	0	2	0.0	0.0	1.0	0.0
5	5	1	1	6/4	3	1	viio/IV					e	i		viio/IV	vii	o			IV			o	1	1	8, 5, 2		8.0	8.0	0	3	0.0	0.0	1.5	0.0
6	6	0	0	6/4	3	1	IV(9)	0	9.67246	-0.0744108	/	e	i		IV(9)	IV			9				M	1	1	3, 7, 4	5	3.0	3.0	0	3	0.0	0.0	1.5	0.0
6	6	1/2	1/2	6/4	3	1	V7					e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5.0	5.0	0	3	0.0	0.0	1.5	0.0
6	6	1	1	6/4	3	1	VI					e	i		VI	VI							M	1	1	0, 4, 1		0.0	0.0	1	3	0.25	0.25	1.25	0.16666666666666666
7	7	0	0	6/4	3	1	iv7					e	i		iv7	iv		7					mm7	1	1	3, 0, 4, 1		3.0	3.0	0	3	0.0	0.0	1.5	0.0
7	7	1/2	1/2	6/4	3	1	V(4)					e	i		V(4)	V			4				M	1	1	5, 4, 6		5.0	5.0	0	3	0.0	0.0	2.75	0.0
7	7	5/4	5/4	6/4	3	1	V					e	i		V	V							M	1	1	5, 9, 6		5.0	5.0	0	1	0.0	0.0	0.25	0.0
8	8	0	0	6/4	3	1	i|PAC}					e	i		i	i					PAC	}	m	1	1	4, 1, 5		4.0	4.0	0	3	0.0	0.0	3.0	0.0
8	8	1	1	6/4	3	1	v6{					e	i		v6	v		6				{	m	1	1	2, 6, 5		5.0	2.0	0	6	0.0	0.0	3.0	0.0
9	9	1/2	1/2	6/4	3	1	iv6					e	i		iv6	iv		6					m	1	1	0, 4, 3		3.0	0.0	0	3	0.0	0.0	3.0	0.0
10	10	0	0	6/4	3	1	V|HC}					e	i		V	V					HC	}	M	1	1	5, 9, 6		5.0	5.0	0	3	0.0	0.0	4.5	0.0
