mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	3	1	c.i{	c	i		i	i						{	m	1	1	0, -3, 1		0.0	0.0	2	3	0.4	0.25	0.75	0.25
1	1	1/2	1/2	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	0	1	0.0	0.0	0.25	0.0
2	2	0	0	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
2	2	1/2	1/2	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.5	0.0
3	3	0	0	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	4	6	0.4	0.5	1.5	0.25
3	3	1/2	1/2	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
4	4	0	0	3/4	3	1	i	c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	2.0	0.0
4	4	1/2	1/2	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
5	5	0	0	3/4	3	1	VI6	c	i		VI6	VI		6					M	1	1	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	2.0	0.0
5	5	1/2	1/2	3/4	3	1	v6	c	i		v6	v		6					m	1	1	-2, 2, 1		1.0	-2.0	0	4	0.0	0.0	1.0	0.0
6	6	0	0	3/4	3	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0	0	4	0.0	0.0	2.0	0.0
6	6	1/2	1/2	3/4	3	1	V	c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
7	7	0	0	3/4	3	1	iv6	c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1.0	-4.0	1	4	0.2	0.25	1.75	0.125
7	7	1/2	1/2	3/4	3	1	iio64	c	i		iio64	ii	o	64					o	1	1	-4, 2, -1		2.0	-4.0	0	4	0.0	0.0	1.0	0.0
8	8	0	0	3/4	3	1	V|HC}	c	i		V	V					HC	}	M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	3.0	0.0
9	9	0	0	3/4	3	1	i/v{	c	i		i/v	i				v		{	m	1	1	1, -2, 2		1.0	1.0	2	4	0.3333333333333333	0.25	1.0	0.2
10	10	0	0	3/4	3	1	V/v	c	i		V/v	V				v			M	1	1	2, 6, 3		2.0	2.0	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
10	10	1/2	1/2	3/4	3	1	i/v	c	i		i/v	i				v			m	1	1	1, -2, 2		1.0	1.0	0	2	0.0	0.0	0.5	0.0
11	11	0	0	3/4	3	1	V/v	c	i		V/v	V				v			M	1	1	2, 6, 3		2.0	2.0	4	6	0.4	0.5	1.5	0.25
11	11	1/2	1/2	3/4	3	1	i/v	c	i		i/v	i				v			m	1	1	1, -2, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
12	12	0	0	3/4	3	1	V/v	c	i		V/v	V				v			M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	2.0	0.0
12	12	1/2	1/2	3/4	3	1	i/v	c	i		i/v	i				v			m	1	1	1, -2, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
13	13	0	0	3/4	3	1	V/v	c	i		V/v	V				v			M	1	1	2, 6, 3		2.0	2.0	0	4	0.0	0.0	2.0	0.0
