mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	4	1	b.i{						b	i		i	i						{	m	1	1	5, 2, 6		5	5	2	8	0.2	0.125	0.875	0.125
2	2	0	0	3/8	4	1	iv						b	i		iv	iv							m	1	1	4, 1, 5		4	4	2	8	0.2	0.125	0.875	0.125
3	3	0	0	3/8	4	1	V/III						b	i		V/III	V				III			M	1	1	3, 7, 4		3	3	2	8	0.2	0.125	0.875	0.125
4	4	0	0	3/8	4	1	III						b	i		III	III							M	1	1	2, 6, 3		2	2	2	8	0.2	0.125	0.875	0.125
5	5	0	0	3/8	4	1	VI						b	i		VI	VI							M	1	1	1, 5, 2		1	1	2	8	0.2	0.125	0.875	0.125
6	6	0	0	3/8	4	1	iv7						b	i		iv7	iv		7					mm7	1	1	4, 1, 5, 2		4	4	2	10	0.16666666666666666	0.125	0.875	0.125
7	7	0	0	3/8	4	1	V	0	6.05375		/		b	i		V	V							M	1	1	6, 10, 7		6	6	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
7	7	3/16	3/16	3/8	4	1	V2	-0.116823	6.58142		/		b	i		V2	V		2					Mm7	1	1	4, 6, 10, 7		6	4	0	4	0.0	0.0	0.25	0.0
7	7	1/4	1/4	3/8	4	1	i6						b	i		i6	i		6					m	1	1	2, 6, 5		5	2	0	5	0.0	0.0	0.5	0.0
8	8	0	0	3/8	4	1	ii%65						b	i		ii%65	ii	%	65					%7	1	1	4, 1, 5, 7		7	4	1	4	0.2	0.0625	0.4375	0.125
8	8	1/8	1/8	3/8	4	1	V(4)	-0.0918724	7.98745		/		b	i		V(4)	V			4				M	1	1	6, 5, 7		6	6	0	4	0.0	0.0	0.6875	0.0
8	8	1/4	1/4	3/8	4	1	V	0.183745	7.98307		/		b	i		V	V							M	1	1	6, 10, 7		6	6	0	3	0.0	0.0	0.3125	0.0
9	9	0	0	3/8	4	1	i|PAC}	-2.58829	6.95373		/		b	i		i	i					PAC	}	m	1	1	5, 2, 6		5	5	0	4	0.0	0.0	0.625	0.0
9	9	1/8	1/8	3/8	4	1	III.vi{	0.0918724	7.26677		/		b	III		vi	vi						{	m	1	0	5, 2, 6		5	5	1	4	0.2	0.0625	0.6875	0.08333333333333333
10	10	0	0	3/8	4	1	V(2)	-0.230946	7.75454	-0.73171	/	vii%2	b	III		V(2)	V			2				M	1	0	5, 7, 4		3	5	0	3	0.0	0.0	0.375	0.0
10	10	1/8	1/8	3/8	4	1	iii6	0.275617	7.76246		/		b	III		iii6	iii		6					m	1	0	3, 7, 6		6	3	0	3	0.0	0.0	0.375	0.0
