mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	4	1	g.i{	-2.02105	-2.5	/	g	i		i	i						{	m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
2	2	0	0	3/4	4	1	V				g	i		V	V							M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
2	2	1/4	1/4	3/4	4	1	i				g	i		i	i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	1.0	0.0
3	3	0	0	3/4	4	1	V				g	i		V	V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
3	3	1/4	1/4	3/4	4	1	i				g	i		i	i							m	1	1	1, -2, 2		1	1	0	6	0.0	0.0	2.0	0.0
4	4	0	0	3/4	4	1	#viio(2)				g	i		#viio(2)	#vii	o		2				o	1	1	1, 3, 0		6	1	0	4	0.0	0.0	1.25	0.0
4	4	1/4	1/4	3/4	4	1	#viio				g	i		#viio	#vii	o						o	1	1	6, 3, 0		6	6	0	5	0.0	0.0	1.75	0.0
5	5	0	0	3/4	4	1	V(4)/iv				g	i		V(4)/iv	V			4	iv			M	1	1	1, 0, 2		1	1	0	4	0.0	0.0	1.5	0.0
5	5	1/4	1/4	3/4	4	1	V/iv				g	i		V/iv	V				iv			M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
5	5	1/2	1/2	3/4	4	1	V7/iv				g	i		V7/iv	V		7		iv			Mm7	1	1	1, 5, 2, -1		1	1	0	4	0.0	0.0	1.0	0.0
6	6	0	0	3/4	4	1	iv(9)				g	i		iv(9)	iv			9				m	1	1	0, -3, 1	2	0	0	0	6	0.0	0.0	2.0	0.0
6	6	1/2	1/2	3/4	4	1	iv				g	i		iv	iv							m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
7	7	0	0	3/4	4	1	V65				g	i		V65	V		65					Mm7	1	1	6, 3, 0, 2		2	6	0	4	0.0	0.0	1.25	0.0
7	7	1/4	1/4	3/4	4	1	i				g	i		i	i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
7	7	1/2	1/2	3/4	4	1	V7				g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	4	0.0	0.0	1.0	0.0
8	8	0	0	3/4	4	1	VI				g	i		VI	VI							M	1	1	-3, 1, -2		-3	-3	0	4	0.0	0.0	2.25	0.0
