mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	7/8	2/2	4	1	b.i{					b	i		i	i						{	m	1	1	5, 2, 6		5	5	0	17	0.0	0.0	3.5	0.0
2	1	3/4	3/4	2/2	4	1	V6					b	i		V6	V		6					M	1	1	10, 7, 6		6	10	1	4	0.2	0.125	0.875	0.125
3	2	0	0	2/2	4	1	i					b	i		i	i							m	1	1	5, 2, 6		5	5	0	5	0.0	0.0	1.0	0.0
3	2	1/4	1/4	2/2	4	1	i6					b	i		i6	i		6					m	1	1	2, 6, 5		5	2	4	3	0.5714285714285714	0.5	0.375	0.5714285714285714
3	2	1/2	1/2	2/2	4	1	V(64)					b	i		V(64)	V			64				M	1	1	6, 5, 2		6	6	0	5	0.0	0.0	1.0	0.0
3	2	3/4	3/4	2/2	4	1	V7					b	i		V7	V		7					Mm7	1	1	6, 10, 7, 4		6	6	0	5	0.0	0.0	1.0	0.0
4	3	0	0	2/2	4	1	i					b	i		i	i							m	1	1	5, 2, 6		5	5	0	5	0.0	0.0	1.625	0.0
4	3	1/4	1/4	2/2	4	1	VI6					b	i		VI6	VI		6					M	1	1	5, 2, 1		1	5	0	3	0.0	0.0	0.375	0.0
4	3	1/2	1/2	2/2	4	1	V/III					b	i		V/III	V				III			M	1	1	3, 7, 4		3	3	0	8	0.0	0.0	2.0	0.0
5	4	0	0	2/2	4	1	I/III					b	i		I/III	I				III			M	1	1	2, 6, 3		2	2	0	5	0.0	0.0	1.125	0.0
5	4	1/4	1/4	2/2	4	1	I6/III					b	i		I6/III	I		6		III			M	1	1	6, 3, 2		2	6	0	5	0.0	0.0	0.875	0.0
5	4	1/2	1/2	2/2	4	1	ii7/III					b	i		ii7/III	ii		7		III			mm7	1	1	4, 1, 5, 2		4	4	0	5	0.0	0.0	1.0	0.0
