mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
21	21	9/8	9/8	12/8	1	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	0.0	3.0	0.0	0.0	0.375	0.0
22	22	0	0	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	6.0	0.0	0.0	0.75	0.0
22	22	3/8	3/8	12/8	1	1	#viio		a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	2.0	6.0	0.25	0.5	0.75	0.4
22	22	3/4	3/4	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	8.0	0.0	0.0	1.25	0.0
22	22	9/8	9/8	12/8	1	1	V7		a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0.0	6.0	0.0	0.0	0.75	0.0
23	23	0	0	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	8.0	0.0	0.0	1.25	0.0
23	23	3/8	3/8	12/8	1	1	#viio		a	i		#viio	#vii	o						o	1	1	8, 5, 2		8	8	0.0	6.0	0.0	0.0	0.75	0.0
23	23	3/4	3/4	12/8	1	1	i	i6	a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	4.0	0.0	0.0	0.75	0.0
23	23	9/8	9/8	12/8	1	1	#viio6/iv	V43/iv	a	i		#viio6/iv	#vii	o	6		iv			o	1	1	4, 1, 7		7	4	0.0	4.0	0.0	0.0	0.75	0.0
24	24	0	0	12/8	1	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2	2	0.0	10.0	0.0	0.0	1.75	0.0
24	24	3/8	3/8	12/8	1	1	V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	3, 7, 4, 1		3	3	2.0	6.0	0.25	0.5	0.75	0.4
24	24	3/4	3/4	12/8	1	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2	2	0.0	6.0	0.0	0.0	0.75	0.0
24	24	9/8	9/8	12/8	1	1	#viio/iv		a	i		#viio/iv	#vii	o			iv			o	1	1	7, 4, 1		7	7	0.0	6.0	0.0	0.0	0.75	0.0
25	25	0	0	12/8	1	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2	2	0.0	6.0	0.0	0.0	0.75	0.0
25	25	3/8	3/8	12/8	1	1	#viio/iv		a	i		#viio/iv	#vii	o			iv			o	1	1	7, 4, 1		7	7	2.0	6.0	0.25	0.5	0.75	0.4
25	25	3/4	3/4	12/8	1	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2	2	3.0	3.0	0.5	0.625	0.625	0.5
25	25	9/8	9/8	12/8	1	1	V		a	i		V	V							M	1	1	4, 8, 5		4	4	1.0	3.0	0.25	0.125	0.625	0.16666666666666666
26	26	0	0	12/8	1	1	iv6		a	i		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	2.0	6.0	0.25	0.5	1.25	0.2857142857142857
26	26	3/8	3/8	12/8	1	1	III6		a	i		III6	III		6					M	1	1	4, 1, 0		0	4	2.0	4.0	0.3333333333333333	0.5	0.75	0.4
26	26	3/4	3/4	12/8	1	1	bII6		a	i		bII6	bII		6					M	1	1	2, -1, -2		-2	2	2.0	4.0	0.3333333333333333	0.5	0.75	0.4
26	26	9/8	9/8	12/8	1	1	i6		a	i		i6	i		6					m	1	1	0, 4, 3		3	0	0.0	4.0	0.0	0.0	0.75	0.0
27	27	0	0	12/8	1	1	#viio6	V43	a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	4.0	4.0	0.5	0.78125	0.96875	0.44642857142857145
27	27	3/8	3/8	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	5.0	0.0	0.0	1.75	0.0
27	27	3/4	3/4	12/8	1	1	V(4)		a	i		V(4)	V			4				M	1	1	4, 3, 5		4	4	0.0	2.0	0.0	0.0	1.3125	0.0
27	27	5/4	5/4	12/8	1	1	V		a	i		V	V							M	1	1	4, 8, 5		4	4	0.0	1.0	0.0	0.0	0.1875	0.0
28	28	0	0	12/8	1	1	i|PAC}		a	i		i	i					PAC	}	m	1	1	3, 0, 4		3	3	3.0	8.0	0.2727272727272727	0.625	2.375	0.20833333333333334
28	28	3/4	3/4	12/8	1	1	iv		a	i		iv	iv							m	1	1	2, -1, 3		2	2	3.0	3.0	0.5	0.625	0.625	0.5
28	28	9/8	9/8	12/8	1	1	V		a	i		V	V							M	1	1	4, 8, 5		4	4	1.0	3.0	0.25	0.125	0.625	0.16666666666666666
29	29	0	0	12/8	1	1	iv6		a	i		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	2.0	6.0	0.25	0.5	1.25	0.2857142857142857
29	29	3/8	3/8	12/8	1	1	III6		a	i		III6	III		6					M	1	1	4, 1, 0		0	4	2.0	4.0	0.3333333333333333	0.5	0.75	0.4
29	29	3/4	3/4	12/8	1	1	bII6		a	i		bII6	bII		6					M	1	1	2, -1, -2		-2	2	2.0	4.0	0.3333333333333333	0.5	0.75	0.4
29	29	9/8	9/8	12/8	1	1	i6		a	i		i6	i		6					m	1	1	0, 4, 3		3	0	0.0	4.0	0.0	0.0	0.75	0.0
30	30	0	0	12/8	1	1	#viio6	V43	a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	4.0	4.0	0.5	0.78125	0.96875	0.44642857142857145
30	30	3/8	3/8	12/8	1	1	i		a	i		i	i							m	1	1	3, 0, 4		3	3	0.0	5.0	0.0	0.0	1.75	0.0
30	30	3/4	3/4	12/8	1	1	V(4)		a	i		V(4)	V			4				M	1	1	4, 3, 5		4	4	0.0	2.0	0.0	0.0	1.3125	0.0
30	30	19/16	19/16	12/8	1	1	V		a	i		V	V							M	1	1	4, 8, 5		4	4	0.0	1.0	0.0	0.0	0.1875	0.0
31	31	0	0	12/8	1	1	i|PAC}		a	i		i	i					PAC	}	m	1	1	3, 0, 4		3	3	0.0	4.0	0.0	0.0	5.0	0.0
