mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	placement	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	C.I{				above		C	I		I	I						{	M	0	0	0, 4, 1		0	0	2	14	0.125	0.125	2.875	0.041666666666666664
1	1	3/4	3/4	4/4	4	1	ii6				above		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	2	4	0.3333333333333333	0.125	0.875	0.125
2	2	0	0	4/4	4	1	V				above		C	I		V	V							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	1.5	0.0
2	2	3/8	3/8	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.5	0.0
2	2	1/2	1/2	4/4	4	1	IV				above		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	1	4	0.2	0.0625	0.4375	0.125
2	2	5/8	5/8	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.5	0.0
2	2	3/4	3/4	4/4	4	1	ii7				above		C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2	0	4	0.0	0.0	0.6875	0.0
2	2	7/8	7/8	4/4	4	1	V7				above		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.3125	0.0
3	3	0	0	4/4	4	1	I|IAC}				above		C	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0	0	7	0.0	0.0	1.0	0.0
3	3	1/4	1/4	4/4	4	1	V6				above		C	I		V6	V		6					M	0	0	5, 2, 1		1	5	0	7	0.0	0.0	0.875	0.0
3	3	1/2	1/2	4/4	4	1	IV6				above		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3	0	7	0.0	0.0	0.875	0.0
3	3	3/4	3/4	4/4	4	1	iii6				above		C	I		iii6	iii		6					m	0	0	1, 5, 4		4	1	0	7	0.0	0.0	0.875	0.0
4	4	0	0	4/4	4	1	ii6				above		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	0	7	0.0	0.0	0.875	0.0
4	4	1/4	1/4	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	7	0.0	0.0	0.875	0.0
4	4	1/2	1/2	4/4	4	1	ii				above		C	I		ii	ii							m	0	0	2, -1, 3		2	2	2	4	0.3333333333333333	0.25	0.875	0.2222222222222222
4	4	3/4	3/4	4/4	4	1	V7				above	V65	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	7	0.0	0.0	0.875	0.0
5	5	0	0	4/4	4	1	I(9)				above		C	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0	0	7	0.0	0.0	1.125	0.0
5	5	1/4	1/4	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.625	0.0
5	5	3/8	3/8	4/4	4	1	IV				above		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
5	5	1/2	1/2	4/4	4	1	V(4)				above		C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1	0	7	0.0	0.0	1.0	0.0
5	5	3/4	3/4	4/4	4	1	V	0.0951655	8.02814	/	above	V6	C	I		V	V							M	0	0	1, 5, 2		1	1	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
6	6	0	0	4/4	4	1	V.ii(9)	0.0951655	7.77628	/	above		C	V		ii(9)	ii			9				m	0	0	3, 0, 4	5	3	3	0	8	0.0	0.0	1.125	0.0
