mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	placement	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
6	6	1/4	1/4	4/4	4	1	V7	0	7.89144	/	above		C	V		V7	V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	7	0.0	0.0	1.0	0.0
6	6	1/2	1/2	4/4	4	1	I(9)				above		C	V		I(9)	I			9				M	0	0	1, 5, 2	3	1	1	0	6	0.0	0.0	1.0	0.0
6	6	3/4	3/4	4/4	4	1	I				above	I6	C	V		I	I							M	0	0	1, 5, 2		1	1	0	6	0.0	0.0	0.875	0.0
7	7	0	0	4/4	4	1	ii7				above	ii65	C	V		ii7	ii		7					mm7	0	0	3, 0, 4, 1		3	3	2	7	0.2222222222222222	0.125	0.875	0.125
7	7	1/4	1/4	4/4	4	1	V				above		C	V		V	V							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	1.0	0.0
7	7	1/2	1/2	4/4	4	1	I|PAC}				above		C	V		I	I					PAC	}	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
7	7	3/4	3/4	4/4	4	1	I.V{				above		C	I		V	V						{	M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.5	0.0
8	8	0	0	4/4	4	1	vi7	0	3.5	/	above		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3	3	4	0.42857142857142855	0.6875	0.6875	0.5
8	8	3/8	3/8	4/4	4	1	viio				above		C	I		viio	vii	o						o	0	0	5, 2, -1		5	5	0	2	0.0	0.0	0.25	0.0
8	8	1/2	1/2	4/4	4	1	I(4)				above		C	I		I(4)	I			4				M	0	0	0, -1, 1		0	0	4	3	0.5714285714285714	0.25	0.625	0.2857142857142857
8	8	3/4	3/4	4/4	4	1	I				above		C	I		I	I							M	0	0	0, 4, 1		0	0	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
9	9	0	0	4/4	4	1	V(4)				above		C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1	2	4	0.3333333333333333	0.125	0.875	0.125
9	9	1/4	1/4	4/4	4	1	vi.#viio7				above		C	vi		#viio7	#vii	o	7					o7	0	1	8, 5, 2, -1		8	8	1	6	0.14285714285714285	0.0625	1.0625	0.05555555555555555
9	9	1/2	1/2	4/4	4	1	i(9)				above		C	vi		i(9)	i			9				m	0	1	3, 0, 4	5	3	3	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
9	9	3/4	3/4	4/4	4	1	i6				above		C	vi		i6	i		6					m	0	1	0, 4, 3		3	0	0	5	0.0	0.0	0.625	0.0
9	9	7/8	7/8	4/4	4	1	iv				above		C	vi		iv	iv							m	0	1	2, -1, 3		2	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
10	10	0	0	4/4	4	1	V(4)				above		C	vi		V(4)	V			4				M	0	1	4, 3, 5		4	4	3	8	0.2727272727272727	0.375	1.3125	0.2222222222222222
10	10	3/8	3/8	4/4	4	1	V				above		C	vi		V	V							M	0	1	4, 8, 5		4	4	0	3	0.0	0.0	0.3125	0.0
10	10	1/2	1/2	4/4	4	1	i|PAC}				above		C	vi		i	i					PAC	}	m	0	1	3, 0, 4		3	3	0	5	0.0	0.0	1.375	0.0
10	10	3/4	3/4	4/4	4	1	VI6				above		C	vi		VI6	VI		6					M	0	1	3, 0, -1		-1	3	0	4	0.0	0.0	0.625	0.0
11	11	0	0	4/4	4	1	iio				above	viio/III	C	vi		iio	ii	o						o	0	1	5, 2, -1		5	5	1	5	0.16666666666666666	0.0625	1.3125	0.045454545454545456
11	11	1/4	1/4	4/4	4	1	VII6				above	V6/III	C	vi		VII6	VII		6					M	0	1	5, 2, 1		1	5	3	4	0.42857142857142855	0.1875	0.5625	0.25
11	11	1/2	1/2	4/4	4	1	iii.VI				above		C	iii		VI	VI							M	0	1	0, 4, 1		0	0	1	4	0.2	0.0625	1.1875	0.05
11	11	3/4	3/4	4/4	4	1	iv6				above		C	iii		iv6	iv		6					m	0	1	0, 4, 3		3	0	0	1	0.0	0.0	0.25	0.0
11	11	7/8	7/8	4/4	4	1	iio6				above		C	iii		iio6	ii	o	6					o	0	1	3, 0, 6		6	3	1	3	0.25	0.0625	0.3125	0.16666666666666666
12	12	0	0	4/4	4	1	V7				above		C	iii		V7	V		7					Mm7	0	1	5, 9, 6, 3		5	5	2	6	0.25	0.25	0.75	0.25
12	12	1/4	1/4	4/4	4	1	V(4)				above		C	iii		V(4)	V			4				M	0	1	5, 4, 6		5	5	0	4	0.0	0.0	0.6875	0.0
12	12	3/8	3/8	4/4	4	1	V				above		C	iii		V	V							M	0	1	5, 9, 6		5	5	0	3	0.0	0.0	0.3125	0.0
12	12	1/2	1/2	4/4	4	1	i|PAC}				above		C	iii		i	i					PAC	}	m	0	1	4, 1, 5		4	4	0	4	0.0	0.0	1.0	0.0
12	12	3/4	3/4	4/4	4	1	I.I{				above		C	I		I	I						{	M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.375	0.0
12	12	7/8	7/8	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
13	13	0	0	4/4	4	1	ii6				above	ii65	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	1	3	0.25	0.125	0.625	0.16666666666666666
13	13	1/4	1/4	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.75	0.0
13	13	1/2	1/2	4/4	4	1	ii6				above	ii65	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	1	3	0.25	0.125	0.625	0.16666666666666666
13	13	3/4	3/4	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.625	0.0
13	13	7/8	7/8	4/4	4	1	I				above		C	I		I	I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.375	0.0
14	14	0	0	4/4	4	1	IV				above		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	6	11	0.35294117647058826	0.625	1.375	0.3125
14	14	1/2	1/2	4/4	4	1	V|HC}				above		C	I		V	V					HC	}	M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	1.0	0.0
14	14	3/4	3/4	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	5	0.0	0.0	0.75	0.0
15	15	0	0	4/4	4	1	vi7				above		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3	1	5	0.16666666666666666	0.0625	1.0625	0.05555555555555555
15	15	1/4	1/4	4/4	4	1	ii7				above		C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2	1	6	0.14285714285714285	0.0625	0.9375	0.0625
15	15	1/2	1/2	4/4	4	1	V7				above		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	1	4	0.2	0.0625	0.9375	0.0625
15	15	3/4	3/4	4/4	4	1	IM7				above		C	I		IM7	I	M	7					MM7	0	0	0, 4, 1, 5		0	0	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
16	16	0	0	4/4	4	1	IV7				above	ii6(2)	C	I		IV7	IV		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	1	4	0.2	0.125	0.875	0.125
16	16	1/4	1/4	4/4	4	1	V6/V				above		C	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6	1	5	0.16666666666666666	0.0625	0.9375	0.0625
16	16	1/2	1/2	4/4	4	1	V|HC}				above		C	I		V	V					HC	}	M	0	0	1, 5, 2		1	1	2	7	0.2222222222222222	0.125	0.875	0.125
16	16	3/4	3/4	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	2	0.0	0.0	0.25	0.0
16	16	7/8	7/8	4/4	4	1	I	-0.0951655	5.99394	/	above		C	I		I	I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
17	17	0	0	4/4	4	1	IV				above		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	4	4	0.5	0.5	0.5	0.5
17	17	1/4	1/4	4/4	4	1	IV6				above		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.875	0.0
17	17	3/8	3/8	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
17	17	1/2	1/2	4/4	4	1	ii7				above	ii65	C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2	0	5	0.0	0.0	1.0	0.0
17	17	3/4	3/4	4/4	4	1	V				above		C	I		V	V							M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	0.75	0.0
18	18	0	0	4/4	4	1	I|PAC}				above		C	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
18	18	1/4	1/4	4/4	4	1	V6{				above		C	I		V6	V		6				{	M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	0.75	0.0
18	18	1/2	1/2	4/4	4	1	vi				above	IV6	C	I		vi	vi							m	0	0	3, 0, 4		3	3	0	3	0.0	0.0	1.0	0.0
18	18	3/4	3/4	4/4	4	1	I64				above		C	I		I64	I		64					M	0	0	1, 0, 4		0	1	1	3	0.25	0.0625	0.6875	0.08333333333333333
19	19	0	0	4/4	4	1	IV				above		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
19	19	1/4	1/4	4/4	4	1	I6				above		C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	5	0.0	0.0	1.0	0.0
19	19	1/2	1/2	4/4	4	1	IV				above		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.25	0.75	0.25
19	19	3/4	3/4	4/4	4	1	I				above		C	I		I	I							M	0	0	0, 4, 1		0	0	1	4	0.2	0.125	0.875	0.125
20	20	0	0	4/4	4	1	V(4)				above		C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1	0	4	0.0	0.0	1.75	0.0
20	20	1/4	1/4	4/4	4	1	V				above		C	I		V	V							M	0	0	1, 5, 2		1	1	0	1	0.0	0.0	0.25	0.0
20	20	1/2	1/2	4/4	4	1	I|PAC}				above		C	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	2.0	0.0
