mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
15	15	0	0	4/4	4	1	V(9)	c	v		V(9)	V			9				M	1	1	2, 6, 3	-3	2	2	3	4	0.42857142857142855	0.375	0.625	0.375
15	15	1/4	1/4	4/4	4	1	V6	c	v		V6	V		6					M	1	1	6, 3, 2		2	6	1	6	0.14285714285714285	0.125	1.125	0.1
15	15	1/2	1/2	4/4	4	1	i(9)	c	v		i(9)	i			9				m	1	1	1, -2, 2	3	1	1	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
15	15	3/4	3/4	4/4	4	1	i6	c	v		i6	i		6					m	1	1	-2, 2, 1		1	-2	1	6	0.14285714285714285	0.125	0.875	0.125
16	16	0	0	4/4	4	1	IV(9)	c	v		IV(9)	IV			9				M	1	1	0, 4, 1	2	0	0	1	6	0.14285714285714285	0.125	0.875	0.125
16	16	1/4	1/4	4/4	4	1	iv6	c	v		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	1	6	0.14285714285714285	0.125	1.125	0.1
16	16	1/2	1/2	4/4	4	1	V7	c	v		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	6	0.0	0.0	0.75	0.0
16	16	3/4	3/4	4/4	4	1	VI	c	v		VI	VI							M	1	1	-3, 1, -2		-3	-3	0	6	0.0	0.0	1.0	0.0
17	17	0	0	4/4	4	1	ii%65	c	v		ii%65	ii	%	65					%7	1	1	0, -3, 1, 3		3	0	0	6	0.0	0.0	1.25	0.0
17	17	1/4	1/4	4/4	4	1	V	c	v		V	V							M	1	1	2, 6, 3		2	2	0	5	0.0	0.0	0.75	0.0
17	17	1/2	1/2	4/4	4	1	i|PAC}	c	v		i	i					PAC	}	m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	2.0	0.0
18	18	0	0	4/4	4	1	i.V{	c	i		V	V						{	M	1	1	1, 5, 2		1	1	2	3	0.4	0.25	0.5	0.3333333333333333
18	18	1/4	1/4	4/4	4	1	V6	c	i		V6	V		6					M	1	1	5, 2, 1		1	5	0	5	0.0	0.0	0.75	0.0
18	18	1/2	1/2	4/4	4	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	1.25	0.0
18	18	3/4	3/4	4/4	4	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	5	0.0	0.0	0.75	0.0
19	19	0	0	4/4	4	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1	0	6	0.0	0.0	1.25	0.0
19	19	1/4	1/4	4/4	4	1	V6	c	i		V6	V		6					M	1	1	5, 2, 1		1	5	0	5	0.0	0.0	0.75	0.0
19	19	1/2	1/2	4/4	4	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.25	1.0	0.2
19	19	3/4	3/4	4/4	4	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	5	0.0	0.0	0.75	0.0
20	20	0	0	4/4	4	1	VII.V	c	VII		V	V							M	1	0	-1, 3, 0		-1	-1	2	4	0.3333333333333333	0.25	1.0	0.2
20	20	1/4	1/4	4/4	4	1	V6	c	VII		V6	V		6					M	1	0	3, 0, -1		-1	3	0	5	0.0	0.0	0.75	0.0
20	20	1/2	1/2	4/4	4	1	I	c	VII		I	I							M	1	0	-2, 2, -1		-2	-2	0	6	0.0	0.0	1.25	0.0
20	20	3/4	3/4	4/4	4	1	I6	c	VII		I6	I		6					M	1	0	2, -1, -2		-2	2	0	5	0.0	0.0	0.75	0.0
