mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	3	1	g.i{		g	i		i	i						{	m	1	1	1, -2, 2		1	1	1	3	0.25	0.125	0.625	0.16666666666666666
2	1	1/2	1/2	3/4	3	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
3	2	0	0	3/4	3	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	1	3	0.25	0.125	0.875	0.125
3	2	1/2	1/2	3/4	3	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
4	3	0	0	3/4	3	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.0	0.0
4	3	1/4	1/4	3/4	3	1	#viio6		g	i		#viio6	#vii	o	6					o	1	1	3, 0, 6		6	3	3	4	0.42857142857142855	0.375	0.875	0.3
4	3	1/2	1/2	3/4	3	1	#viio	V65	g	i		#viio	#vii	o						o	1	1	6, 3, 0		6	6	0	3	0.0	0.0	0.75	0.0
5	4	0	0	3/4	3	1	i6		g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	0	4	0.0	0.0	2.0	0.0
5	4	1/2	1/2	3/4	3	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.0	0.0
6	5	0	0	3/4	3	1	ii/III		g	i		ii/III	ii				III			m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
6	5	1/4	1/4	3/4	3	1	V7/III		g	i		V7/III	V		7		III			Mm7	1	1	-1, 3, 0, -3		-1	-1	0	7	0.0	0.0	2.0	0.0
7	6	0	0	3/4	3	1	I/III}		g	i		I/III	I				III		}	M	1	1	-2, 2, -1		-2	-2	0	9	0.0	0.0	3.0	0.0
8	7	0	0	3/4	3	1	iv6(2)		g	i		iv6(2)	iv		6	2				m	1	1	-3, 1, 2		0	-3	2	2	0.5	0.5	0.5	0.5
8	7	1/4	1/4	3/4	3	1	V65	viio	g	i		V65	V		65					Mm7	1	1	6, 3, 0, 2		2	6	1	5	0.16666666666666666	0.125	1.875	0.0625
9	8	0	0	3/4	3	1	i(4)		g	i		i(4)	i			4				m	1	1	1, 0, 2		1	1	0	4	0.0	0.0	1.25	0.0
9	8	1/4	1/4	3/4	3	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.75	0.0
9	8	1/2	1/2	3/4	3	1	VI6		g	i		VI6	VI		6					M	1	1	1, -2, -3		-3	1	0	4	0.0	0.0	1.0	0.0
10	9	0	0	3/4	3	1	ii%2		g	i		ii%2	ii	%	2					%7	1	1	1, 3, 0, -3		3	1	0	4	0.0	0.0	1.0	0.0
10	9	1/4	1/4	3/4	3	1	V6		g	i		V6	V		6					M	1	1	6, 3, 2		2	6	0	4	0.0	0.0	1.0	0.0
10	9	1/2	1/2	3/4	3	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
11	10	0	0	3/4	3	1	iv6(2)		g	i		iv6(2)	iv		6	2				m	1	1	-3, 1, 2		0	-3	0	4	0.0	0.0	1.0	0.0
11	10	1/4	1/4	3/4	3	1	iio64	ii%43	g	i		iio64	ii	o	64					o	1	1	-3, 3, 0		3	-3	1	4	0.2	0.125	1.875	0.0625
12	11	0	0	3/4	3	1	V|HC}		g	i		V	V					HC	}	M	1	1	2, 6, 3		2	2	1	17	0.05555555555555555	0.125	6.125	0.02
15	14	0	0	3/4	3	1	i6		g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.125	0.875	0.125
15	14	1/2	1/2	3/4	3	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
16	15	0	0	3/4	3	1	i6		g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	3	7	0.3	0.375	1.625	0.1875
16	15	1/2	1/2	3/4	3	1	V		g	i		V	V							M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
17	16	0	0	3/4	3	1	i(9)		g	i		i(9)	i			9				m	1	1	1, -2, 2	3	1	1	0	4	0.0	0.0	1.5	0.0
17	16	1/4	1/4	3/4	3	1	i6		g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	0	3	0.0	0.0	1.0	0.0
17	16	1/2	1/2	3/4	3	1	i		g	i		i	i							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.5	0.0
18	17	0	0	3/4	3	1	III.iii(4)		g	III		iii(4)	iii			4				m	1	0	2, 1, 3		2	2	0	4	0.0	0.0	1.5	0.0
18	17	1/4	1/4	3/4	3	1	iii6		g	III		iii6	iii		6					m	1	0	-1, 3, 2		2	-1	0	3	0.0	0.0	1.0	0.0
18	17	1/2	1/2	3/4	3	1	iii		g	III		iii	iii							m	1	0	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
19	18	0	0	3/4	3	1	IV(9)		g	III		IV(9)	IV			9				M	1	0	-3, 1, -2	-1	-3	-3	0	4	0.0	0.0	1.5	0.0
19	18	1/4	1/4	3/4	3	1	IV6		g	III		IV6	IV		6					M	1	0	1, -2, -3		-3	1	0	3	0.0	0.0	1.0	0.0
19	18	1/2	1/2	3/4	3	1	vii%7		g	III		vii%7	vii	%	7					%7	1	0	3, 0, -3, 1		3	3	0	2	0.0	0.0	0.5	0.0
20	19	0	0	3/4	3	1	I(4)		g	III		I(4)	I			4				M	1	0	-2, -3, -1		-2	-2	0	4	0.0	0.0	1.5	0.0
20	19	1/4	1/4	3/4	3	1	I		g	III		I	I							M	1	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	1.0	0.0
20	19	1/2	1/2	3/4	3	1	iii6	V(6)	g	III		iii6	iii		6					m	1	0	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
21	20	0	0	3/4	3	1	IV65		g	III		IV65	IV		65					Mm7	1	0	1, -2, -5, -3		-3	1	1	3	0.25	0.25	1.25	0.16666666666666666
21	20	1/4	1/4	3/4	3	1	viio	V65	g	III		viio	vii	o						o	1	0	3, 0, -3		3	3	0	3	0.0	0.0	1.0	0.0
21	20	1/2	1/2	3/4	3	1	V7		g	III		V7	V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	0	2	0.0	0.0	0.5	0.0
22	21	0	0	3/4	3	1	I(9)		g	III		I(9)	I			9				M	1	0	-2, 2, -1	0	-2	-2	0	4	0.0	0.0	1.75	0.0
