mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	c.i{					c	i		i	i						{	m	1	1	0, -3, 1		0.0	0.0	0	8	0.0	0.0	1.625	0.0
1	1	1/2	1/2	4/4	4	1	V6					c	i		V6	V		6					M	1	1	5, 2, 1		1.0	5.0	0	4	0.0	0.0	0.5	0.0
1	1	5/8	5/8	4/4	4	1	i					c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
1	1	3/4	3/4	4/4	4	1	V					c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.5	0.0
1	1	7/8	7/8	4/4	4	1	i					c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
2	2	0	0	4/4	4	1	V6					c	i		V6	V		6					M	1	1	5, 2, 1		1.0	5.0	0	4	0.0	0.0	1.0	0.0
2	2	3/8	3/8	4/4	4	1	VI6					c	i		VI6	VI		6					M	1	1	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	0.625	0.0
2	2	1/2	1/2	4/4	4	1	V7/III					c	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0	0	3	0.0	0.0	0.5	0.0
2	2	5/8	5/8	4/4	4	1	IIIM7					c	i		IIIM7	III	M	7					MM7	1	1	-3, 1, -2, 2		-3.0	-3.0	0	3	0.0	0.0	0.5	0.0
2	2	3/4	3/4	4/4	4	1	VIM7					c	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4.0	-4.0	0	3	0.0	0.0	0.5	0.0
2	2	7/8	7/8	4/4	4	1	ii%7					c	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2.0	2.0	0	3	0.0	0.0	0.375	0.0
3	3	0	0	4/4	4	1	v7					c	i		v7	v		7					mm7	1	1	1, -2, 2, -1		1.0	1.0	0	4	0.0	0.0	0.625	0.0
3	3	1/8	1/8	4/4	4	1	i7					c	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0.0	0.0	0	3	0.0	0.0	0.5	0.0
3	3	1/4	1/4	4/4	4	1	iv7					c	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1.0	-1.0	0	3	0.0	0.0	0.5	0.0
3	3	3/8	3/8	4/4	4	1	V7/III					c	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0	0	3	0.0	0.0	0.5	0.0
3	3	1/2	1/2	4/4	4	1	IIIM7					c	i		IIIM7	III	M	7					MM7	1	1	-3, 1, -2, 2		-3.0	-3.0	0	3	0.0	0.0	0.5	0.0
3	3	5/8	5/8	4/4	4	1	VIM7					c	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4.0	-4.0	0	3	0.0	0.0	0.5	0.0
3	3	3/4	3/4	4/4	4	1	ii%7					c	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2.0	2.0	0	3	0.0	0.0	0.5	0.0
3	3	7/8	7/8	4/4	4	1	V7					c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	3	0.0	0.0	0.375	0.0
4	4	0	0	4/4	4	1	i					c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	0.625	0.0
