mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	0					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	1					
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2					
1	1	0	0	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	3					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	4					
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	5					
1	1	0	0	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	6					
1	1	2	2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	7					
1	1	0	0	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	8					
1	1	2	2	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	9					
2	2	3	3	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	10					
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	11					
2	2	3	3	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	12					
2	2	3	3	0.0	0	0	FiguredBass	3/4	4	1	0				1/2	#			
2	2	3	3	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	13					
3	3	6	6	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	14					
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	15					
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	16					
3	3	6	6	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	17					
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	18					
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	19					
3	3	6	6	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	20					
3	3	8	8	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	21					
3	3	6	6	0.0	0	0	FiguredBass	3/4	4	1	0				1/2	5			
3	3	6	6	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	22					
3	3	8	8	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	23					
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	24					
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	25					
4	4	9	9	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	26					
4	4	9	9	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	27					
5	5	12	12	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	28					
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	29					
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	30					
5	5	12	12	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	31					
5	5	12	12	0.0	0	0	FiguredBass	3/4	4	1	0				3/4	6			
5	5	12	12	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	32					
6	6	15	15	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	33					
6	6	15	15	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	34					
