mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	0	0	0	0.0	0	7/8	Tempo	4/4	1	1	0					Presto	120.0	1.0				
1	0	0	0	0.5	0	7/8	Chord	4/4	1	1	1/8	1/8	1	0								
2	1	1/2	1/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	1								
2	1	1	1	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	2								
2	1	3/2	3/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	3								
2	1	2	2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	4								
2	1	5/2	5/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	5								
2	1	4	4	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	6								
2	1	4	4	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	7								
2	1	2	2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	8								
2	1	5/2	5/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6		
2	1	5/2	5/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	9								
2	1	3	3	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	10								
2	1	7/2	7/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	11								
2	1	4	4	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	12								
3	2	9/2	9/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	13								
3	2	5	5	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	14								
3	2	11/2	11/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	15								
3	2	6	6	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	16								
3	2	13/2	13/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	17								
3	2	8	8	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	18								
3	2	9/2	9/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	19								
3	2	5	5	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	20								
3	2	11/2	11/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	21								
3	2	6	6	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	22								
3	2	13/2	13/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	23								
3	2	8	8	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	24								
3	2	9/2	9/2	0.0	0	0	FiguredBass	4/4	3	1	0								3/8	6		
3	2	9/2	9/2	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	25								
3	2	6	6	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	26								
3	2	13/2	13/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	#		
3	2	13/2	13/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	27								
3	2	7	7	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	28								
3	2	15/2	15/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0								1/8	#		
3	2	15/2	15/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	29								
3	2	8	8	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	30								
4	3	17/2	17/2	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	31								
4	3	21/2	21/2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	32								
4	3	17/2	17/2	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	33								
4	3	21/2	21/2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	34								
4	3	17/2	17/2	0.0	0	0	FiguredBass	4/4	3	1	0								1/8	6		
4	3	17/2	17/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	35								
4	3	9	9	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	36								
4	3	19/2	19/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0								1/8	6		
4	3	19/2	19/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	37								
4	3	10	10	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	38								
4	3	21/2	21/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/8	6		
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	39								
4	3	11	11	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	40								
4	3	23/2	23/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	41								
4	3	12	12	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	42								
5	4	25/2	25/2	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	43								
5	4	29/2	29/2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	44								
5	4	25/2	25/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	45								
5	4	27/2	27/2	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	46								
5	4	31/2	31/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	47								
5	4	25/2	25/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	48								
5	4	13	13	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	49								
5	4	27/2	27/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	50								
5	4	14	14	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	51								
5	4	29/2	29/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0								1/4	6		
5	4	29/2	29/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	52								
5	4	15	15	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	53								
