mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0				Grave							
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=40	40.0	𝅘𝅥	40.0	1.0		
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	0								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	1								
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2								
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3								
1	1	0	0	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	4								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	5								
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	6								
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	7								
1	1	0	0	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	8								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	9								
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	6+
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	10								
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	b
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	11								
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	12								
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	13								
2	2	4	4	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	6
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	14								
3	3	8	8	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	15								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	16								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	17								
3	3	8	8	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	18								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	19								
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	20								
3	3	8	8	0.0	0	0	FiguredBass	4/4	3	1	0										3/8	b
3	3	8	8	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	21								
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	22								
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	6
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	23								
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	24								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	25								
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	26								
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	27								
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	28								
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	6
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	29								
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	30								
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1	1	1	31								
5	5	16	16	0.0	0	0	FiguredBass	4/4	3	1	0										1	#
5	5	16	16	4.0	0	0	Chord	4/4	3	1	1	1	1	32								
