mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	StaffText	6/4	1	1	0				Adagio				
1	1	4	4	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	0					
1	1	4	4	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	1					
1	1	4	4	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6		
1	1	4	4	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	2					
2	2	6	6	4.0	0	0	Chord	6/4	1	1	1	1	1	3					
2	2	10	10	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	4					0
2	2	11	11	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	5					
2	2	6	6	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	6					
2	2	8	8	2.0	1/2	1/2	Chord	6/4	2	1	1/2	1/2	1	7					
2	2	10	10	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	8					
2	2	6	6	2.0	0	0	Chord	6/4	3	1	1/2	1/2	1	9					
2	2	8	8	0.0	1/2	1/2	FiguredBass	6/4	3	1	0					1/2	7	#	
2	2	8	8	2.0	1/2	1/2	Chord	6/4	3	1	1/2	1/2	1	10					
2	2	10	10	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	5		
2	2	10	10	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	11					
3	3	12	12	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	12					
3	3	14	14	4.0	1/2	1/2	Chord	6/4	1	1	1	1	1	13					
3	3	12	12	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	14					
3	3	14	14	3.0	1/2	1/2	Chord	6/4	2	1	3/4	1/2	3/2	15					
3	3	17	17	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	16					
3	3	12	12	0.0	0	0	FiguredBass	6/4	3	1	0					1/2	7	5	
3	3	12	12	2.0	0	0	Chord	6/4	3	1	1/2	1/2	1	17					
3	3	14	14	0.0	1/2	1/2	FiguredBass	6/4	3	1	0					1	5	4#	
3	3	14	14	4.0	1/2	1/2	Chord	6/4	3	1	1	1	1	18					
4	4	18	18	6.0	0	0	Chord	6/4	1	1	3/2	1	3/2	19					
4	4	18	18	6.0	0	0	Chord	6/4	2	1	3/2	1	3/2	20					
4	4	18	18	6.0	0	0	Chord	6/4	3	1	3/2	1	3/2	21					
