mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0				𝅘𝅥=130	130.0	𝅘𝅥	130.0	0.0			
1	0	0	0	0.5	0	5/8	Chord	3/4	1	1	1/8	1/8	1	0								
1	0	0	0	0.5	0	5/8	Chord	3/4	2	1	1/8	1/8	1	1								
1	0	0	0	0.5	0	5/8	Chord	3/4	3	1	1/8	1/8	1	2								
1	0	0	0	0.5	0	5/8	Chord	3/4	4	1	1/8	1/8	1	3								
2	1	1/2	1/2	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	4								
2	1	2	2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	5								
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	6								
2	1	1/2	1/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	7								
2	1	2	2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	8								
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	9								
2	1	1/2	1/2	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	10								
2	1	1/2	1/2	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	11								
3	2	7/2	7/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	12								
3	2	9/2	9/2	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	13								
3	2	6	6	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	14								
3	2	7/2	7/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	15								
3	2	9/2	9/2	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	16								
3	2	6	6	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	17								
3	2	7/2	7/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	18								
3	2	9/2	9/2	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	19								
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	20								
3	2	7/2	7/2	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	21								
3	2	9/2	9/2	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	22								
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	23								
4	3	13/2	13/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	24								
4	3	15/2	15/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	25								
4	3	17/2	17/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	26								
4	3	13/2	13/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	27								
4	3	15/2	15/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	28								
4	3	17/2	17/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	29								
4	3	13/2	13/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	30								
4	3	17/2	17/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	31								
4	3	13/2	13/2	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	32								
4	3	17/2	17/2	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	6	
4	3	17/2	17/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	33								
5	4	19/2	19/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	34								
5	4	21/2	21/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	35								
5	4	11	11	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	36								
5	4	23/2	23/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	37								
5	4	19/2	19/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	38								
5	4	23/2	23/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	39								
5	4	12	12	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	40								
5	4	19/2	19/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	41								
5	4	23/2	23/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	42								
5	4	19/2	19/2	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	7	
5	4	19/2	19/2	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	43								
5	4	21/2	21/2	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/4	6	
5	4	23/2	23/2	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	7	
5	4	23/2	23/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	44								
6	5	25/2	25/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	45								
6	5	27/2	27/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	46								
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	47								
6	5	25/2	25/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	48								
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	49								
6	5	25/2	25/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	50								
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	51								
6	5	25/2	25/2	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	7	
6	5	25/2	25/2	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	52								
6	5	27/2	27/2	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/4	6	
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	53								
7	6	31/2	31/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	54								
7	6	33/2	33/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	55								
7	6	17	17	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	56								
7	6	35/2	35/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	57								
7	6	31/2	31/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	58								
7	6	17	17	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	59								
7	6	35/2	35/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	60								
7	6	18	18	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	61								
7	6	31/2	31/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	62								
7	6	35/2	35/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	63								
7	6	18	18	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	64								
7	6	31/2	31/2	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	7	
7	6	31/2	31/2	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	65								
7	6	33/2	33/2	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/4	6	
7	6	35/2	35/2	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/8	7	
7	6	35/2	35/2	0.5	1/2	1/2	Chord	3/4	4	1	1/8	1/8	1	66								
7	6	18	18	0.5	5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	67								
8	7	37/2	37/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	68								
8	7	39/2	39/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	69								
8	7	41/2	41/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	70								
8	7	37/2	37/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	71								
8	7	41/2	41/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	72								
8	7	37/2	37/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	73								
8	7	41/2	41/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	74								
8	7	37/2	37/2	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	7	
8	7	37/2	37/2	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	75								
8	7	39/2	39/2	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/4	6	
8	7	41/2	41/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	76								
9	8	43/2	43/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	77								
9	8	22	22	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	78								
9	8	45/2	45/2	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	79								
9	8	43/2	43/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	80								
9	8	45/2	45/2	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	81								
9	8	43/2	43/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	82								
9	8	45/2	45/2	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	83								
9	8	43/2	43/2	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	6	5
9	8	43/2	43/2	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	84								
9	8	45/2	45/2	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/4	5	4
9	8	45/2	45/2	2.0	1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	85								
9	8	47/2	47/2	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	3	
10	9	49/2	49/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	86								
10	9	53/2	53/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	87								
10	9	49/2	49/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	88								
10	9	53/2	53/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	89								
10	9	49/2	49/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	90								
10	9	53/2	53/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	91								
10	9	49/2	49/2	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	92								
10	9	53/2	53/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	93								
11	10	55/2	55/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	94								
11	10	57/2	57/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	95								
11	10	59/2	59/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	96								
11	10	55/2	55/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	97								
11	10	59/2	59/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	98								
11	10	55/2	55/2	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	99								
11	10	57/2	57/2	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	100								
11	10	55/2	55/2	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	4	2
11	10	55/2	55/2	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	101								
11	10	57/2	57/2	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/2	6	
11	10	57/2	57/2	2.0	1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	102								
12	11	61/2	61/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	103								
12	11	63/2	63/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	104								
12	11	65/2	65/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	105								
12	11	61/2	61/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	106								
12	11	65/2	65/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	107								
12	11	61/2	61/2	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	108								
12	11	65/2	65/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	109								
12	11	61/2	61/2	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	110								
