mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	0	0	0	0.0	0	1	Tempo	3/2	1	1	0					Largo	100.0	1.0				
1	0	0	0	2.0	0	1	Chord	3/2	1	1	1/2	1/2	1	0								
1	0	0	0	2.0	0	1	Chord	3/2	2	1	1/2	1/2	1	1								
1	0	0	0	2.0	0	1	Chord	3/2	3	1	1/2	1/2	1	2								
1	0	0	0	0.0	0	1	StaffText	3/2	4	1	0				A.I{							
1	0	0	0	2.0	0	1	Chord	3/2	4	1	1/2	1/2	1	3								
2	1	2	2	3.0	0	0	Chord	3/2	1	1	3/4	1/2	3/2	4								
2	1	5	5	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	5								
2	1	6	6	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	6								0
2	1	7	7	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	7								
2	1	2	2	3.0	0	0	Chord	3/2	2	1	3/4	1/2	3/2	8								
2	1	5	5	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	9								
2	1	6	6	1.0	1	1	Chord	3/2	2	1	1/4	1/4	1	10								1
2	1	7	7	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	11								
2	1	2	2	1.0	0	0	Chord	3/2	3	1	1/4	1/4	1	12								
2	1	3	3	1.0	1/4	1/4	Chord	3/2	3	1	1/4	1/4	1	13								
2	1	4	4	1.0	1/2	1/2	Chord	3/2	3	1	1/4	1/4	1	14								
2	1	5	5	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	15								
2	1	6	6	1.0	1	1	Chord	3/2	3	1	1/4	1/4	1	16								
2	1	7	7	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	17								
2	1	2	2	0.0	0	0	FiguredBass	3/2	4	1	0								1/4	6		
2	1	2	2	0.0	0	0	StaffText	3/2	4	1	0				V6							
2	1	2	2	1.0	0	0	Chord	3/2	4	1	1/4	1/4	1	18								
2	1	3	3	1.0	1/4	1/4	Chord	3/2	4	1	1/4	1/4	1	19								
2	1	4	4	1.0	1/2	1/2	Chord	3/2	4	1	1/4	1/4	1	20								
2	1	5	5	1.0	3/4	3/4	Chord	3/2	4	1	1/4	1/4	1	21								
2	1	6	6	0.0	1	1	StaffText	3/2	4	1	0				I							
2	1	6	6	1.0	1	1	Chord	3/2	4	1	1/4	1/4	1	22								
2	1	7	7	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	23								
3	2	8	8	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	24								
3	2	10	10	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	25								
3	2	12	12	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	26								2
3	2	13	13	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	27								
3	2	8	8	4.0	0	0	Chord	3/2	2	1	1	1	1	28								
3	2	12	12	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	29								
3	2	8	8	1.0	0	0	Chord	3/2	3	1	1/4	1/4	1	30								
3	2	9	9	1.0	1/4	1/4	Chord	3/2	3	1	1/4	1/4	1	31								
3	2	10	10	1.0	1/2	1/2	Chord	3/2	3	1	1/4	1/4	1	32								
3	2	11	11	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	33								
3	2	12	12	1.0	1	1	Chord	3/2	3	1	1/4	1/4	1	34								
3	2	13	13	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	35								
3	2	8	8	0.0	0	0	FiguredBass	3/2	4	1	0								1/4	#		
3	2	8	8	0.0	0	0	StaffText	3/2	4	1	0				V							
3	2	8	8	1.0	0	0	Chord	3/2	4	1	1/4	1/4	1	36								
3	2	9	9	1.0	1/4	1/4	Chord	3/2	4	1	1/4	1/4	1	37								
3	2	10	10	1.0	1/2	1/2	Chord	3/2	4	1	1/4	1/4	1	38								
3	2	11	11	1.0	3/4	3/4	Chord	3/2	4	1	1/4	1/4	1	39								
3	2	12	12	0.0	1	1	FiguredBass	3/2	4	1	0								1/4	6		
3	2	12	12	1.0	1	1	Chord	3/2	4	1	1/4	1/4	1	40								
3	2	13	13	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	41								
4	3	14	14	3.0	0	0	Chord	3/2	1	1	3/4	1/2	3/2	42								
4	3	17	17	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	43								
4	3	18	18	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	44								3
4	3	19	19	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	45								
4	3	14	14	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	46								
4	3	16	16	1.0	1/2	1/2	Chord	3/2	2	1	1/4	1/4	1	47								4
4	3	17	17	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	48								
4	3	18	18	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	49								
4	3	14	14	1.0	0	0	Chord	3/2	3	1	1/4	1/4	1	50								
4	3	15	15	1.0	1/4	1/4	Chord	3/2	3	1	1/4	1/4	1	51								
4	3	16	16	1.0	1/2	1/2	Chord	3/2	3	1	1/4	1/4	1	52								
4	3	17	17	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	53								
4	3	18	18	1.0	1	1	Chord	3/2	3	1	1/4	1/4	1	54								
4	3	19	19	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	55								
4	3	14	14	0.0	0	0	FiguredBass	3/2	4	1	0								1/4	7		
4	3	14	14	0.0	0	0	StaffText	3/2	4	1	0				vi7							
4	3	14	14	1.0	0	0	Chord	3/2	4	1	1/4	1/4	1	56								
4	3	15	15	1.0	1/4	1/4	Chord	3/2	4	1	1/4	1/4	1	57								
4	3	16	16	0.0	1/2	1/2	FiguredBass	3/2	4	1	0								1/4	6\		
4	3	16	16	0.0	1/2	1/2	StaffText	3/2	4	1	0				viio6/V							
4	3	16	16	1.0	1/2	1/2	Chord	3/2	4	1	1/4	1/4	1	58								
4	3	17	17	1.0	3/4	3/4	Chord	3/2	4	1	1/4	1/4	1	59								
4	3	18	18	0.0	1	1	FiguredBass	3/2	4	1	0								1/4	6		
4	3	18	18	0.0	1	1	StaffText	3/2	4	1	0				V6/V							
4	3	18	18	1.0	1	1	Chord	3/2	4	1	1/4	1/4	1	60								
4	3	19	19	0.0	5/4	5/4	StaffText	3/2	4	1	0				V7/V							
4	3	19	19	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	61								
5	4	20	20	3.0	0	0	Chord	3/2	1	1	3/4	1/2	3/2	62								
5	4	23	23	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	63								
5	4	24	24	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	64								5
5	4	25	25	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	65								
5	4	20	20	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	66								
5	4	22	22	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	67								
5	4	24	24	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	68								
5	4	20	20	1.0	0	0	Chord	3/2	3	1	1/4	1/4	1	69								
5	4	21	21	1.0	1/4	1/4	Chord	3/2	3	1	1/4	1/4	1	70								
5	4	22	22	1.0	1/2	1/2	Chord	3/2	3	1	1/4	1/4	1	71								
5	4	23	23	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	72								
5	4	24	24	1.0	1	1	Chord	3/2	3	1	1/4	1/4	1	73								
5	4	25	25	1.0	5/4	5/4	Chord	3/2	3	1	1/4	1/4	1	74								
5	4	20	20	0.0	0	0	FiguredBass	3/2	4	1	0								1/4	9	#	
5	4	20	20	0.0	0	0	StaffText	3/2	4	1	0				V(9)							
5	4	20	20	1.0	0	0	Chord	3/2	4	1	1/4	1/4	1	75								
5	4	21	21	1.0	1/4	1/4	Chord	3/2	4	1	1/4	1/4	1	76								
5	4	22	22	0.0	1/2	1/2	FiguredBass	3/2	4	1	0								1/4	8		
5	4	22	22	0.0	1/2	1/2	StaffText	3/2	4	1	0				V							
5	4	22	22	1.0	1/2	1/2	Chord	3/2	4	1	1/4	1/4	1	77								
5	4	23	23	1.0	3/4	3/4	Chord	3/2	4	1	1/4	1/4	1	78								
5	4	24	24	0.0	1	1	FiguredBass	3/2	4	1	0								1/4	6		
5	4	24	24	1.0	1	1	Chord	3/2	4	1	1/4	1/4	1	79								
5	4	25	25	1.0	5/4	5/4	Chord	3/2	4	1	1/4	1/4	1	80								
6	5	26	26	3.0	0	0	Chord	3/2	1	1	3/4	1/2	3/2	81								
6	5	29	29	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	82								
6	5	30	30	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	83								
