mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
18	18	51/2	51/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	180							
18	18	26	26	0.25	1/8	1/8	Chord	3/8	3	1	1/16	1/16	1	181							
18	18	105/4	105/4	0.25	3/16	3/16	Chord	3/8	3	1	1/16	1/16	1	182							
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	183							
18	18	51/2	51/2	0.0	0	0	FiguredBass	3/8	4	1	0							1/8	4+	2	
18	18	51/2	51/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	184							
18	18	26	26	0.25	1/8	1/8	Chord	3/8	4	1	1/16	1/16	1	185							
18	18	105/4	105/4	0.25	3/16	3/16	Chord	3/8	4	1	1/16	1/16	1	186							
18	18	53/2	53/2	0.0	1/4	1/4	FiguredBass	3/8	4	1	0							1/8	6	5	
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	187							
19	19	27	27	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	188							
19	19	28	28	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	189							
19	19	27	27	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	190							
19	19	55/2	55/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	191							
19	19	27	27	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	192							
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	193							
19	19	28	28	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	194							
19	19	27	27	0.0	0	0	FiguredBass	3/8	4	1	0							1/8	5	4	
19	19	27	27	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	195							
19	19	55/2	55/2	0.0	1/8	1/8	FiguredBass	3/8	4	1	0							1/8	3		
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	196							
19	19	28	28	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	197							
20	20	57/2	57/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	198							
20	20	57/2	57/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	199							
20	20	29	29	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	200							
20	20	57/2	57/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	201							
20	20	29	29	0.5	1/8	1/8	Chord	3/8	3	1	1/8	1/8	1	202							
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	203							
20	20	57/2	57/2	0.0	0	0	FiguredBass	3/8	4	1	0							1/8	7		
20	20	57/2	57/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	204							
20	20	29	29	0.0	1/8	1/8	FiguredBass	3/8	4	1	0							1/8	7		
20	20	29	29	0.5	1/8	1/8	Chord	3/8	4	1	1/8	1/8	1	205							
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	206							
21	21	30	30	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	207							
21	21	30	30	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	208							
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	209							
21	21	31	31	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	210							
21	21	30	30	1.0	0	0	Chord	3/8	3	1	1/4	1/4	1	211							
21	21	31	31	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	212							
21	21	30	30	0.0	0	0	FiguredBass	3/8	4	1	0							1/8	7		
21	21	30	30	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	213							
21	21	61/2	61/2	0.0	1/8	1/8	FiguredBass	3/8	4	1	0							1/8	6		
21	21	31	31	0.0	1/4	1/4	FiguredBass	3/8	4	1	0							1/8	7		
21	21	31	31	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	214							
22	22	63/2	63/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	215							
22	22	63/2	63/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	216							
22	22	32	32	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	217							
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	218							
22	22	63/2	63/2	1.0	0	0	Chord	3/8	3	1	1/4	1/4	1	219							
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	220							
22	22	63/2	63/2	0.0	0	0	FiguredBass	3/8	4	1	0							1/8	7		
22	22	63/2	63/2	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	221							
22	22	32	32	0.0	1/8	1/8	FiguredBass	3/8	4	1	0							1/8	6		
22	22	65/2	65/2	0.0	1/4	1/4	FiguredBass	3/8	4	1	0							1/8	7		
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	222							
23	23	33	33	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	223							
23	23	33	33	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	224							
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	225							
23	23	34	34	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	226							
23	23	33	33	1.0	0	0	Chord	3/8	3	1	1/4	1/4	1	227							
23	23	34	34	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	228							
23	23	33	33	0.0	0	0	FiguredBass	3/8	4	1	0							1/8	7		
23	23	33	33	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	229							
23	23	67/2	67/2	0.0	1/8	1/8	FiguredBass	3/8	4	1	0							1/8	6		
23	23	34	34	0.0	1/4	1/4	FiguredBass	3/8	4	1	0							1/8	7		
23	23	34	34	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	230							
24	24	69/2	69/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	231							
24	24	35	35	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	232							
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	233							
24	24	69/2	69/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	234							
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	235							
24	24	69/2	69/2	1.0	0	0	Chord	3/8	3	1	1/4	1/4	1	236							
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8	1/8	1	237							
24	24	69/2	69/2	0.0	0	0	FiguredBass	3/8	4	1	0							1/4	7		
24	24	69/2	69/2	1.0	0	0	Chord	3/8	4	1	1/4	1/4	1	238							
24	24	71/2	71/2	0.0	1/4	1/4	FiguredBass	3/8	4	1	0							1/8	5		
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	4	1	1/8	1/8	1	239							
25	25	36	36	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	240							
25	25	73/2	73/2	0.75	1/8	1/8	Chord	3/8	1	1	3/16	1/8	3/2	241							
25	25	149/4	149/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	242							
25	25	36	36	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	243							
25	25	73/2	73/2	1.0	1/8	1/8	Chord	3/8	2	1	1/4	1/4	1	244							
25	25	36	36	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	245							
25	25	73/2	73/2	1.0	1/8	1/8	Chord	3/8	3	1	1/4	1/4	1	246							
25	25	36	36	0.0	0	0	FiguredBass	3/8	4	1	0							1/8	7	5	
25	25	36	36	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	247							
25	25	73/2	73/2	0.0	1/8	1/8	FiguredBass	3/8	4	1	0							1/8	5	4	
25	25	73/2	73/2	1.0	1/8	1/8	Chord	3/8	4	1	1/4	1/4	1	248							
25	25	37	37	0.0	1/4	1/4	FiguredBass	3/8	4	1	0							1/8	3		
26	26	75/2	75/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	249							
26	26	38	38	0.75	1/8	1/8	Chord	3/8	1	1	3/16	1/8	3/2	250							
26	26	155/4	155/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	251							
26	26	75/2	75/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	252							
26	26	75/2	75/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	253							
26	26	38	38	1.0	1/8	1/8	Chord	3/8	3	1	1/4	1/4	1	254							
26	26	75/2	75/2	0.5	0	0	Chord	3/8	4	1	1/8	1/8	1	255							
26	26	38	38	1.0	1/8	1/8	Chord	3/8	4	1	1/4	1/4	1	256							
27	27	39	39	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	257							
