mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	system_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	SystemText	6/4	1	1	0				Adagio				
1	1	4	4	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	0					
1	1	4	4	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	1					
1	1	4	4	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	5		
1	1	4	4	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	2					
2	2	6	6	4.0	0	0	Chord	6/4	1	1	1	1	1	3					
2	2	10	10	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	4					
2	2	6	6	4.0	0	0	Chord	6/4	2	1	1	1	1	5					
2	2	10	10	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	6					
2	2	6	6	0.0	0	0	FiguredBass	6/4	3	1	0					1	6		
2	2	6	6	4.0	0	0	Chord	6/4	3	1	1	1	1	7					
2	2	10	10	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6		
2	2	10	10	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	8					
3	3	12	12	4.0	0	0	Chord	6/4	1	1	1	1	1	9					
3	3	16	16	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	10					
3	3	12	12	4.0	0	0	Chord	6/4	2	1	1	1	1	11					
3	3	16	16	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	12					
3	3	12	12	0.0	0	0	FiguredBass	6/4	3	1	0					1	6	#	
3	3	12	12	4.0	0	0	Chord	6/4	3	1	1	1	1	13					
3	3	16	16	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6		
3	3	16	16	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	14					
4	4	18	18	6.0	0	0	Chord	6/4	1	1	3/2	1	3/2	15					
4	4	18	18	6.0	0	0	Chord	6/4	2	1	3/2	1	3/2	16					
4	4	18	18	0.0	0	0	FiguredBass	6/4	3	1	0					3/2	#		
4	4	18	18	6.0	0	0	Chord	6/4	3	1	3/2	1	3/2	17					
5	5	28	28	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	18					
5	5	28	28	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	19					
5	5	28	28	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	20					
6	6	30	30	4.0	0	0	Chord	6/4	1	1	1	1	1	21					
6	6	34	34	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	22					
6	6	30	30	4.0	0	0	Chord	6/4	2	1	1	1	1	23					
6	6	34	34	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	24					
6	6	30	30	0.0	0	0	FiguredBass	6/4	3	1	0					1	6		
6	6	30	30	4.0	0	0	Chord	6/4	3	1	1	1	1	25					
6	6	34	34	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6		
6	6	34	34	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	26					
7	7	36	36	4.0	0	0	Chord	6/4	1	1	1	1	1	27					
7	7	40	40	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	28					
7	7	36	36	4.0	0	0	Chord	6/4	2	1	1	1	1	29					
7	7	40	40	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	30					
7	7	36	36	0.0	0	0	FiguredBass	6/4	3	1	0					1	6		
7	7	36	36	4.0	0	0	Chord	6/4	3	1	1	1	1	31					
7	7	40	40	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	6+		
7	7	40	40	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	32					
8	8	42	42	4.0	0	0	Chord	6/4	1	1	1	1	1	33					
8	8	46	46	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	34					
8	8	42	42	4.0	0	0	Chord	6/4	2	1	1	1	1	35					
8	8	46	46	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	36					
8	8	42	42	0.0	0	0	FiguredBass	6/4	3	1	0					1	#		
8	8	42	42	4.0	0	0	Chord	6/4	3	1	1	1	1	37					
8	8	46	46	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	38					
9	9	48	48	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	39					0
9	9	50	50	2.0	1/2	1/2	Chord	6/4	1	1	1/2	1/2	1	40					
9	9	52	52	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	41					
9	9	48	48	4.0	0	0	Chord	6/4	2	1	1	1	1	42					
9	9	52	52	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	43					
9	9	48	48	0.0	0	0	FiguredBass	6/4	3	1	0					1	76		
9	9	48	48	4.0	0	0	Chord	6/4	3	1	1	1	1	44					
9	9	52	52	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	5		
9	9	52	52	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	45					
10	10	54	54	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	46					1
10	10	56	56	2.0	1/2	1/2	Chord	6/4	1	1	1/2	1/2	1	47					
10	10	58	58	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	48					
10	10	54	54	4.0	0	0	Chord	6/4	2	1	1	1	1	49					
10	10	58	58	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	50					
10	10	54	54	0.0	0	0	FiguredBass	6/4	3	1	0					1	5	43	
10	10	54	54	4.0	0	0	Chord	6/4	3	1	1	1	1	51					
10	10	58	58	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	52					
11	11	60	60	4.0	0	0	Chord	6/4	1	1	1	1	1	53					
11	11	64	64	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	54					
11	11	60	60	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	55					2
11	11	62	62	2.0	1/2	1/2	Chord	6/4	2	1	1/2	1/2	1	56					
11	11	64	64	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	57					
11	11	60	60	0.0	0	0	FiguredBass	6/4	3	1	0					1	76		
11	11	60	60	4.0	0	0	Chord	6/4	3	1	1	1	1	58					
11	11	64	64	0.0	1	1	FiguredBass	6/4	3	1	0					1/2	5		
11	11	64	64	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	59					
12	12	66	66	4.0	0	0	Chord	6/4	1	1	1	1	1	60					
12	12	70	70	2.0	1	1	Chord	6/4	1	1	1/2	1/2	1	61					
12	12	66	66	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	62					3
12	12	68	68	2.0	1/2	1/2	Chord	6/4	2	1	1/2	1/2	1	63					
12	12	70	70	2.0	1	1	Chord	6/4	2	1	1/2	1/2	1	64					
12	12	66	66	0.0	0	0	FiguredBass	6/4	3	1	0					1	43		
12	12	66	66	4.0	0	0	Chord	6/4	3	1	1	1	1	65					
12	12	70	70	2.0	1	1	Chord	6/4	3	1	1/2	1/2	1	66					
