mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0				Corrente Allegro									
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0					𝅗𝅥.=63	189.0	𝅗𝅥.	63.0	0.0				
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	0										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	1										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2										
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	3										
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	4										
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	5										
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	6										
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	7										
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	8										
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	9										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	10										
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	11										
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	12										
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	13										
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	14										
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	15										
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	16										
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	17										
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	18										
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	19										
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	20										
5	5	13	13	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/8	6		
5	5	13	13	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	21										
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	22										
5	5	14	14	0.0	1/2	1/2	FiguredBass	3/4	3	1	0										1/4	6	4	
5	5	14	14	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	23										
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	24										
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	25										
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	26										
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	27										
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	28										
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	29										
6	6	15	15	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	6	5	
6	6	15	15	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	30										
6	6	16	16	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/4	6		
6	6	16	16	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	31										
6	6	17	17	0.0	1/2	1/2	FiguredBass	3/4	3	1	0										1/4	7		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	32										
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	33										
7	7	19	19	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	34										
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	35										
7	7	19	19	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	36										
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	37										
7	7	18	18	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	38										
7	7	19	19	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/4	5		
7	7	19	19	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	39										
7	7	20	20	0.0	1/2	1/2	FiguredBass	3/4	3	1	0										1/4	6		
7	7	20	20	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	40										
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	41										
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	42										
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	43										
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	44										
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	45										
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	46										
8	8	21	21	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	4	2	
8	8	21	21	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	47										
8	8	22	22	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/2	56		
8	8	22	22	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	48										
9	9	24	24	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	49										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	50										
9	9	24	24	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	51										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	52										
9	9	24	24	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	4	2	
9	9	24	24	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	53										
9	9	25	25	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/2	56		
9	9	25	25	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	54										
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	55										
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	56										
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	57										
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	58										
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	59										
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	60										
10	10	27	27	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	4	2	
10	10	27	27	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	61										
10	10	28	28	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/2	56		
10	10	28	28	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	62										
11	11	30	30	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	63										
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	64										
11	11	30	30	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	65										
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	66										
11	11	30	30	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	4	2	
11	11	30	30	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	67										
11	11	31	31	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/4	5		
11	11	31	31	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	68										
11	11	32	32	0.0	1/2	1/2	FiguredBass	3/4	3	1	0										1/4	6		
11	11	32	32	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	69										
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	70										
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	71										
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	72										
12	12	33	33	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	73										
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	74										
12	12	33	33	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	5		
12	12	33	33	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	75										
12	12	34	34	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/4	6		
12	12	34	34	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	76										
12	12	35	35	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	77										
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	78										
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	79										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	80										
13	13	36	36	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	81										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	82										
13	13	36	36	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	6	5	
13	13	36	36	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	83										
13	13	37	37	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/4	6	h	
13	13	37	37	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	84										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	85										
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	86										
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	87										
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	88										
14	14	39	39	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	89										
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	90										
14	14	39	39	0.0	0	0	FiguredBass	3/4	3	1	0										1/2	98		
14	14	39	39	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	91										
14	14	41	41	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	92										
15	15	42	42	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	93										
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	94										
15	15	42	42	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	95										
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	96										
15	15	42	42	0.0	0	0	FiguredBass	3/4	3	1	0										1/2	7	h	
15	15	42	42	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	97										
15	15	44	44	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	98										
16	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	99										
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	100										
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	101										
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	102										
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	103										
16	16	45	45	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	104										
16	16	46	46	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/4	7	h	
16	16	46	46	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	105										
16	16	47	47	0.0	1/2	1/2	FiguredBass	3/4	3	1	0										1/4	5		
16	16	47	47	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	106										
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	107										
17	17	49	49	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	108										
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	109										
17	17	49	49	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	110										
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	111										
17	17	48	48	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	7		
17	17	48	48	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	112										
17	17	49	49	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/4	5	4	
17	17	49	49	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	113										
17	17	50	50	0.0	1/2	1/2	FiguredBass	3/4	3	1	0										1/4	h		
17	17	50	50	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	114										
18	18	51	51	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	115										
18	18	51	51	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	116										
18	18	51	51	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	117										
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	118										
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	119										
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	120										
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	121										
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	122										
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	123										
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	124										
21	21	61	61	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	125										
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	126										
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	127										
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	128										
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	129										
22	22	64	64	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	130										
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	131										
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	132										
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	133										
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	134										
23	23	67	67	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	135										
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	136										
23	23	67	67	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	137										
23	23	67	67	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/8	6		
23	23	67	67	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	138										
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	139										
23	23	68	68	0.0	1/2	1/2	FiguredBass	3/4	3	1	0										1/4	6	4	
23	23	68	68	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	140										
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	141										
24	24	70	70	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	142										
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	143										
24	24	70	70	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	144										
24	24	69	69	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	6	5	
24	24	69	69	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	145										
24	24	70	70	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/4	6		
24	24	70	70	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	146										
24	24	71	71	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	147										
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	148										
25	25	73	73	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	149										
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	150										
25	25	72	72	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	151										
25	25	72	72	0.0	0	0	FiguredBass	3/4	3	1	0										1/2	98		
25	25	72	72	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	152										
25	25	74	74	0.0	1/2	1/2	FiguredBass	3/4	3	1	0										1/4	6		
25	25	74	74	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	153										
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	154										
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	155										
26	26	75	75	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	156										
26	26	75	75	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	6	5	
26	26	75	75	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	157										
26	26	76	76	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/4	5		
26	26	76	76	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	158										
26	26	77	77	0.0	1/2	1/2	FiguredBass	3/4	3	1	0										1/4	7		
26	26	77	77	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	159										
27	27	78	78	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	160										
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	161										
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	162										
27	27	78	78	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	163										
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	164										
27	27	78	78	0.0	0	0	FiguredBass	3/4	3	1	0										1/2	98		
27	27	78	78	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	165										
27	27	80	80	0.0	1/2	1/2	FiguredBass	3/4	3	1	0										1/4	6		
27	27	80	80	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	166										
28	28	81	81	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	167										
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	168										
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	169										
28	28	82	82	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	170										
28	28	81	81	0.0	0	0	FiguredBass	3/4	3	1	0										1/4	6	5	
28	28	81	81	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	171										
28	28	82	82	0.0	1/4	1/4	FiguredBass	3/4	3	1	0										1/2	#		
28	28	82	82	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	172										
29	29	84	84	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	173										
