mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	0	0	0	0.0	0	7/8	Tempo	4/4	1	1	0				Allemandaadagio	54.0	1.0					
1	0	1/4	1/4	0.25	1/16	15/16	Chord	4/4	1	1	1/16	1/16	1	0								
1	0	1/4	1/4	0.25	1/16	15/16	Chord	4/4	2	1	1/16	1/16	1	1								
1	0	1/4	1/4	0.25	1/16	15/16	Chord	4/4	3	1	1/16	1/16	1	2								
2	1	1/2	1/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	3								
2	1	5/4	5/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	4								
2	1	3/2	3/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	5								
2	1	9/4	9/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	6								
2	1	5/2	5/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	7								
2	1	3	3	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	8								
2	1	4	4	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	9								
2	1	17/4	17/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	10								
2	1	1/2	1/2	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	11								
2	1	5/4	5/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	12								
2	1	3/2	3/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	13								
2	1	5/2	5/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	14								
2	1	4	4	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	15								
2	1	17/4	17/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	16								
2	1	1/2	1/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	17								
2	1	3/2	3/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	6			
2	1	3/2	3/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	18								
2	1	5/2	5/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/4	#			
2	1	5/2	5/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	19								
2	1	7/2	7/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/4	6			
2	1	7/2	7/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	20								
3	2	9/2	9/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	21								0
3	2	5	5	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	22								0
3	2	21/4	21/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	23								
3	2	11/2	11/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	24								
3	2	25/4	25/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	25								
3	2	13/2	13/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	26								
3	2	8	8	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	27								
3	2	33/4	33/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	28								
3	2	9/2	9/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	29								
3	2	5	5	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	30								
3	2	11/2	11/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	31								
3	2	25/4	25/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	32								
3	2	13/2	13/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	33								
3	2	8	8	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	34								
3	2	33/4	33/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	35								
3	2	9/2	9/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6	4+	2	
3	2	9/2	9/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	36								
3	2	5	5	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	37								
3	2	21/4	21/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	38								
3	2	11/2	11/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	#			
3	2	11/2	11/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	39								
3	2	6	6	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	40								
3	2	13/2	13/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	41								
3	2	15/2	15/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	42								
4	3	17/2	17/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	43								
4	3	9	9	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	44								
4	3	10	10	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	45								1
4	3	41/4	41/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	46								
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	47								
4	3	11	11	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	48								
4	3	12	12	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	49								
4	3	49/4	49/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	50								
4	3	17/2	17/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	51								
4	3	9	9	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	52								
4	3	19/2	19/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	53								
4	3	41/4	41/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	54								
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	55								
4	3	11	11	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	56								
4	3	23/2	23/2	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	57								
4	3	49/4	49/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	58								
4	3	17/2	17/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	5			
4	3	17/2	17/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	59								
4	3	9	9	0.0	1/8	1/8	FiguredBass	4/4	3	1	0							1/8	6	4		
4	3	9	9	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	60								
4	3	19/2	19/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	6	5		
4	3	19/2	19/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	61								
4	3	21/2	21/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	62								
4	3	11	11	0.25	5/8	5/8	Chord	4/4	3	1	1/16	1/16	1	63								
4	3	45/4	45/4	0.25	11/16	11/16	Chord	4/4	3	1	1/16	1/16	1	64								
4	3	23/2	23/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	5			
4	3	23/2	23/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	65								
4	3	12	12	0.0	7/8	7/8	FiguredBass	4/4	3	1	0							1/8	6			
5	4	25/2	25/2	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	66								
5	4	53/4	53/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	67								
5	4	27/2	27/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	68								2
5	4	55/4	55/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	69								
5	4	14	14	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	70								3
5	4	57/4	57/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	71								
5	4	29/2	29/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	72								
5	4	15	15	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	73								
5	4	16	16	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	74								
5	4	65/4	65/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	75								
5	4	25/2	25/2	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	76								
5	4	53/4	53/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	77								
5	4	27/2	27/2	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	78								4
5	4	55/4	55/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	79								
5	4	14	14	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	80								5
5	4	57/4	57/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	81								
5	4	29/2	29/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	82								
5	4	15	15	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	83								
5	4	16	16	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	84								
5	4	65/4	65/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	85								
5	4	25/2	25/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	86								
5	4	13	13	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	87								
5	4	53/4	53/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	88								
5	4	27/2	27/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	6	5	b	
