mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
6	5	13	13	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	29									
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	30									
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	31									
6	5	13	13	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	32									
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	33									
6	5	13	13	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	34									
6	5	15	15	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6		
6	5	15	15	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	35									
7	6	16	16	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	36									
7	6	17	17	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	37									
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	38									
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	39									
7	6	17	17	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	40									
7	6	16	16	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	7		
7	6	16	16	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	41									
7	6	17	17	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	7	b	
7	6	17	17	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	42									
8	7	19	19	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	43									
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	44									
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	45									
8	7	19	19	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	46									
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	47									
8	7	19	19	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	7	b	
8	7	19	19	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	48									
8	7	21	21	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	49									
9	8	22	22	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	50									
9	8	45/2	45/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	51									
9	8	23	23	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	52									
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	53									
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	54									
9	8	23	23	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	55									
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	56									
9	8	22	22	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	57									
9	8	23	23	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/4	7		
9	8	23	23	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	58									
9	8	24	24	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6		
10	9	25	25	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	59									
10	9	25	25	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	60									
10	9	25	25	0.0	0	0	FiguredBass	3/4	3	1	0									3/8	#		
10	9	25	25	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	61									
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	62									
10	9	27	27	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	63									
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	64									
11	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	65									
11	10	29	29	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	66									
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	67									
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	68									
11	10	29	29	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	69									
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	70									
11	10	28	28	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6		
11	10	28	28	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	71									
11	10	29	29	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	7	#	
11	10	29	29	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	72									
12	11	31	31	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	73									
12	11	31	31	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	74									
12	11	31	31	0.0	0	0	FiguredBass	3/4	3	1	0									3/8	b		
12	11	31	31	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	75									
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	76									
12	11	33	33	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	77									
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	78									
13	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	79									
13	12	35	35	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	80									
13	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	81									
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	82									
13	12	35	35	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	83									
13	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	84									
13	12	34	34	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6		
13	12	34	34	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	85									
13	12	35	35	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	7b		
13	12	35	35	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	86									
14	13	37	37	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	87									
14	13	37	37	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	88									
14	13	37	37	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	89									
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	90									
14	13	39	39	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	91									
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	92									
15	14	40	40	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	93									
15	14	41	41	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	94									
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	95									
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	96									
15	14	41	41	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	97									
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	98									
15	14	40	40	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6		
15	14	40	40	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	99									
15	14	41	41	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	7	#	
15	14	41	41	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	100									
16	15	43	43	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	101									
16	15	43	43	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	102									
16	15	43	43	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	103									
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	104									
16	15	45	45	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	105									
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	106									
17	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	107									
17	16	47	47	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	108									
17	16	97/2	97/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	109									
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	110									
17	16	47	47	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	111									
17	16	97/2	97/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	112									
17	16	46	46	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	7		
17	16	46	46	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	113									
17	16	47	47	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									3/8	8	#	
17	16	47	47	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	114									
17	16	97/2	97/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0									1/8	7		
18	17	49	49	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	115									
18	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	116									
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	117									
18	17	49	49	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	118									
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	119									
18	17	49	49	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	120									
18	17	51	51	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6		
18	17	51	51	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	121									
19	18	52	52	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	122									
19	18	53	53	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	123									
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	124									
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	125									
19	18	53	53	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	126									
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	127									
19	18	52	52	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	5		
19	18	52	52	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	128									
19	18	53	53	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	8	6	
19	18	53	53	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	129									
20	19	55	55	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	130									
20	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	131									
20	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	132									
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	133									
20	19	55	55	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	134									
20	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	135									
20	19	57	57	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	136									
20	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	137									
20	19	55	55	0.0	0	0	FiguredBass	3/4	3	1	0									3/8	7	#	
20	19	55	55	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	138									
20	19	113/2	113/2	0.0	3/8	3/8	FiguredBass	3/4	3	1	0									1/8	6		
20	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	139									
20	19	57	57	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	#		
20	19	57	57	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	140									
21	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	141									
21	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	142									
21	20	59	59	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	143									
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	144									
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	145									
21	20	59	59	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	146									
21	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	147									
21	20	58	58	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	148									
21	20	59	59	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									3/8	5	4	
21	20	59	59	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	149									
21	20	121/2	121/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0									1/8	#		
22	21	61	61	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	150									
22	21	61	61	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	151									
22	21	61	61	0.0	0	0	FiguredBass	3/4	3	1	0									5/4	#		
22	21	61	61	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	152									
23	22	64	64	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	153									
23	22	64	64	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	154									
23	22	64	64	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	155									
24	22	133/2	133/2	0.5	1/8	5/8	Chord	3/4	1	1	1/8	1/8	1	156									
24	22	133/2	133/2	0.5	1/8	5/8	Chord	3/4	2	1	1/8	1/8	1	157									
24	22	133/2	133/2	0.0	1/8	5/8	FiguredBass	3/4	3	1	0									9/8	#		
24	22	133/2	133/2	0.5	1/8	5/8	Chord	3/4	3	1	1/8	1/8	1	158									
25	23	67	67	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	159									
25	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	160									
25	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	161									
25	23	67	67	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	162									
25	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	163									
25	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	164									
25	23	67	67	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	165									
26	24	70	70	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	166									
26	24	71	71	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	167									
26	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	168									
26	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	169									
26	24	71	71	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	170									
26	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	171									
26	24	70	70	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	172									
26	24	71	71	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/4	6		
26	24	71	71	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	173									
26	24	72	72	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	174									
27	25	73	73	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	175									
27	25	73	73	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	176									
27	25	73	73	0.0	0	0	FiguredBass	3/4	3	1	0									3/4	b		
27	25	73	73	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	177									
27	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	178									
27	25	75	75	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	179									
27	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	180									
28	26	76	76	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	181									
28	26	77	77	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	182									
28	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	183									
28	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	184									
28	26	77	77	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	185									
28	26	76	76	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6		
28	26	76	76	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	186									
28	26	77	77	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	187									
28	26	78	78	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6		
28	26	78	78	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	188									
29	27	79	79	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	189									
29	27	79	79	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	190									
29	27	79	79	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	191									
29	27	161/2	161/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	192									
29	27	81	81	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	193									
29	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	194									
30	28	82	82	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	195									
30	28	83	83	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	196									
30	28	169/2	169/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	197									
30	28	82	82	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	198									
30	28	83	83	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	199									
30	28	82	82	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6		
30	28	82	82	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	200									
30	28	83	83	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	201									
30	28	84	84	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6		
30	28	84	84	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	202									
31	29	85	85	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	203									
31	29	173/2	173/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	204									
31	29	87	87	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	205									
31	29	85	85	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	206									
31	29	173/2	173/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	207									
31	29	87	87	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	208									
31	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	209									
31	29	85	85	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	210									
31	29	173/2	173/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	211									
31	29	87	87	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/8	7	b	
31	29	87	87	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	212									
31	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	213									
32	30	88	88	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	214									
32	30	177/2	177/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	215									
32	30	89	89	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	216									
32	30	181/2	181/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	217									
32	30	88	88	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	218									
32	30	177/2	177/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	219									
32	30	89	89	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	220									
32	30	181/2	181/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	221									
32	30	88	88	0.0	0	0	FiguredBass	3/4	3	1	0									1/8	6	5	
32	30	88	88	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	222									
32	30	177/2	177/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	223									
32	30	89	89	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	224									
32	30	90	90	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	225									
33	31	91	91	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	226									
33	31	91	91	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	227									
33	31	91	91	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	228									
34	32	94	94	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	229									
34	32	95	95	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	230									
34	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	231									
34	32	94	94	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	232									
34	32	95	95	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	233									
34	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	234									
34	32	94	94	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	235									
34	32	95	95	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	6	5	
34	32	95	95	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	236									
35	33	97	97	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	237									
35	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	238									
35	33	99	99	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	239									
35	33	97	97	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	240									
35	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	241									
35	33	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	242									
35	33	97	97	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	b		
35	33	97	97	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	243									
35	33	99	99	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	7	#	
35	33	99	99	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	244									
36	34	100	100	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	245									0
36	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	246									
36	34	101	101	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	247		ornamentTrill							
36	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	248									
36	34	100	100	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	249									
36	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	250									
36	34	101	101	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	251									
36	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	252									
36	34	100	100	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	253									
36	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	254									
36	34	101	101	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									3/8	5	4	
36	34	101	101	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	255									
36	34	205/2	205/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0									1/8	#		
37	35	103	103	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	256									
37	35	103	103	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	257									
37	35	103	103	0.0	0	0	FiguredBass	3/4	3	1	0									3/8	b		
37	35	103	103	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	258									
37	35	209/2	209/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	259									
